artist_name,artist_id,followers,popularity,avg_top_track_popularity,estimated_revenue,date
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6474936,86,82.9,42941.775552,2025-06-28
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23644856,92,89.4,169108.010112,2025-06-28
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22198285,92,84.1,149350.06148,2025-06-28
Anitta,7FNnA9vBm6EKceENgCGRMb,13186096,82,74.0,78061.68832,2025-06-28
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2134135,79,75.4,12873.10232,2025-06-28
RAC,4AGwPDdh1y8hochNzHy5HC,170018,57,51.5,700.4741600000001,2025-06-28
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6201895,82,78.1,38749.439959999996,2025-06-28
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2288221,82,77.9,14260.193272,2025-06-28
