artist_name,artist_id,followers,popularity,avg_top_track_popularity,estimated_revenue,date
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6454428,86,83.0,42857.40192,2025-06-23
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23559842,92,89.3,168311.511248,2025-06-23
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22136284,91,83.9,148578.738208,2025-06-23
Anitta,7FNnA9vBm6EKceENgCGRMb,13184584,82,74.0,78052.73728,2025-06-23
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2130970,79,75.3,12836.96328,2025-06-23
RAC,4AGwPDdh1y8hochNzHy5HC,170037,56,51.5,700.55244,2025-06-23
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6188070,82,77.1,38168.01576,2025-06-23
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2277588,81,76.8,13993.500672,2025-06-23
