SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,POSITION,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,GAMES_PLAYED,GOALS,ASSISTS,POINTS,WINS,LOSSES,WL_RATIO,OT_WINS,OT_LOSSES,SO_WINS,SO_LOSSES,SO_WL_RATIO,GOALS_AGAINST,EVEN_STR_GOALS_AGAINST,PP_GOALS_AGAINST,SH_GOALS_AGAINST,SHOTS_AGAINST,EVEN_STR_SHOTS_AGAINST,PP_SHOTS_AGAINST,SH_SHOTS_AGAINST,OT_GOALS_AGAINST,SAVES,SAVESPG,EVEN_STR_SAVES,PP_SAVES,SH_SAVES,GAA,SAVE_PCT,BRICK_WALL,SHUTOUTS,GAMES_STARTED,CREDIT_FOR_GAME,SO_SAVE_PCT,SO_GA,MIN_PLAYED,PENALTIES,PIM,GOONY_BIG_PADS,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20260228,2,WPJ,133899,Thomas Milic,G,ASSIGNED_TO_MINORS,22,"6'0""",175,Canada,"New Westminster, BC",True,3,0,0,0,0,1,0.0,0,0,0,0,,8,8,0,0,62,56,3,3,0,54,18.0,48,3,3,3.462,0.871,74.31666667,0,2,1,0.0,0,139,1,2,1.25,0,8,0,0,0,8318,0,0,0,WPG,,
2025-2026,20260228,22,COL,39281,Trent Miner,G,ASSIGNED_TO_MINORS,25,"6'1""",185,Canada,"Brandon, MB",True,4,0,0,0,1,0,inf,0,3,0,1,0.0,8,8,0,0,104,87,15,2,2,97,24.25,80,15,2,2.029,0.933,85.37777778,1,2,4,0.5,1,237,0,0,0.0,0,17,0,0,0,14194,0,0,0,COL,Central,Western
2025-2026,20260228,14,MTL,15525,Samuel Montembeault,G,ROSTER,29,"6'3""",214,Canada,"Quebec, QC",True,24,0,0,0,10,8,1.25,5,3,0,1,0.0,76,56,19,1,602,473,117,12,2,526,21.92,417,98,11,3.37,0.874,74.97777778,0,21,21,0.5,1,1353,0,0,0.0,0,92,0,0,0,81192,0,0,0,MTL,Atlantic,Eastern
2025-2026,20260228,29,ANA,5163,Petr Mrazek,G,ROSTER,34,"6'1""",190,Czech Republic,Ostrava,False,10,0,0,0,3,5,0.6,2,0,0,0,,35,25,10,0,247,197,43,7,0,212,21.2,172,33,7,4.071,0.858,70.28333333,0,7,8,0.0,0,516,0,0,0.0,0,41,0,0,0,30953,0,0,0,ANA,Pacific,Western
2025-2026,20260228,10,PIT,56590,Sergei Murashov,G,ASSIGNED_TO_MINORS,21,"6'0""",167,Russia,,False,5,0,0,0,1,1,1.0,0,2,0,0,,12,10,2,0,116,89,26,1,2,104,20.8,79,24,1,2.56,0.897,80.62777778,1,4,4,0.0,0,281,0,0,0.0,0,17,0,0,0,16877,0,0,0,PIT,Metropolitan,Eastern
2025-2026,20260228,143,SEA,5894,Matt Murray,G,ROSTER,31,"6'4""",178,Canada,"Thunder Bay, ON",False,5,0,0,0,0,2,0.0,0,1,0,1,0.0,8,4,4,0,102,83,15,4,0,94,18.8,79,11,4,2.213,0.922,83.80555556,0,4,3,0.5,2,217,0,0,0.0,0,17,0,0,0,13013,0,0,0,SEA,Pacific,Western
2025-2026,20260228,26,SJS,11703,Alex Nedeljkovic,G,ROSTER,30,"6'0""",189,USA,"Parma, OH",False,25,0,1,1,10,9,1.11,3,2,0,1,0.0,68,51,15,2,675,556,93,26,1,607,24.28,505,78,24,2.908,0.899,78.79444444,0,17,21,0.67,1,1403,3,9,5.62,1,91,0,0,0,84188,0,0,0,SJS,Pacific,Western
2025-2026,20260228,27,DAL,18035,Jake Oettinger,G,ROSTER,27,"6'4""",205,USA,"Lakeville, MN",False,37,0,1,1,23,10,2.3,2,4,3,1,3.0,100,73,22,5,972,801,141,30,3,872,23.57,728,119,25,2.733,0.897,79.66666667,2,37,37,0.75,3,2195,0,0,0.0,0,143,0,0,0,131710,0,0,0,DAL,Central,Western
2025-2026,20260228,21,VAN,28419,Jiri Patera,G,ASSIGNED_TO_MINORS,27,"6'2""",209,Czech Republic,Praha,True,1,0,0,0,0,1,0.0,0,0,0,0,,7,5,2,0,40,32,8,0,0,33,33.0,27,6,0,7.392,0.825,50.18333333,0,1,1,0.0,0,57,0,0,0.0,0,6,0,0,0,3409,0,0,0,VAN,Pacific,Western
2025-2026,20260228,24,EDM,5467,Calvin Pickard,G,ASSIGNED_TO_MINORS,33,"6'1""",210,Canada,"Winnipeg, MB",False,16,0,0,0,5,6,0.83,0,2,0,0,,53,42,9,2,410,340,58,12,2,357,22.31,298,49,10,3.68,0.871,73.10555556,0,13,13,0.0,0,864,0,0,0.0,0,59,0,0,0,51848,0,0,0,EDM,Pacific,Western
