season,snapshot_date,team_id,team,team_abbr,games_played,wins,losses,wl_ratio,gf,ga,gf_pg,ga_pg,gpg_diff,sf_pg,shot_pct,pts,fo_pct,pp,ppg,pp_pct,pk,pkga,pk_pct,st_pct,p,pim,unf_errors,off,def,goal,grit,balance,pyth_win_pct,pyth_wins,wins_above_expected,team_abbr_canon,division,conference,source_file
2024,11/1/2025,24,Edmonton Oilers,NA,12,5,4,1.25,38,38,3.17,3.17,0,29.33,10.8,13,51.6,33,10,30.3,30,5,83.3,113.6,31,62,2.3,57.79,54.66,54.31,10.52,44.32,0.5,6,-1,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,4,Florida Panthers,NA,11,5,5,1,27,30,2.45,2.73,-0.28,28.91,8.49,11,47.9,44,9,20.5,38,8,78.9,99.4,48,105,2.98,32.75,57.05,57.94,82.64,57.6,0.45,4.91,0.09,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,28,Los Angeles Kings,NA,12,5,3,1.67,36,37,3,3.08,-0.08,28.67,10.47,14,48.7,33,6,18.2,50,13,74,92.2,52,116,3.142,42.92,46.34,43.18,52.49,46.23,0.49,5.84,-0.84,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,25,Minnesota Wild,NA,12,3,6,0.5,32,47,2.67,3.92,-1.25,30.33,8.79,9,47.8,48,14,29.2,25,10,60,89.2,29,69,2.67,47.32,25.29,29.49,38.6,35.17,0.32,3.8,-0.8,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,14,Montreal Canadiens,NA,11,8,3,2.67,40,33,3.64,3,0.64,25.82,14.08,16,51.2,32,9,28.1,36,9,75,103.1,46,106,3.076,65.95,51.64,50.17,37.54,51.32,0.6,6.55,1.45,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,18,Nashville Predators,NA,12,4,6,0.67,29,41,2.42,3.42,-1,27.25,8.87,10,51.9,36,4,11.1,41,5,87.8,98.9,51,111,3.191,21.35,52.63,48.77,45.15,41.98,0.33,4,0,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,7,New Jersey Devils,NA,11,8,3,2.67,41,35,3.73,3.18,0.55,29.18,12.77,16,48.2,31,10,32.3,39,6,84.6,116.9,41,87,2.806,73.23,58.56,51.55,53.1,59.11,0.58,6.37,1.63,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,8,New York Islanders,NA,11,5,5,1,37,39,3.36,3.55,-0.19,29.55,11.38,11,51.3,41,6,14.6,36,9,75,89.6,48,127,3.732,50.14,33.1,37.99,61.25,45.62,0.47,5.2,-0.2,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,9,New York Rangers,NA,12,5,5,1,28,28,2.33,2.33,0,28.83,8.09,12,54.4,30,4,13.3,31,4,87.1,100.4,37,83,2.286,22.21,74.73,74.56,65.15,59.16,0.5,6,-1,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,13,Ottawa Senators,NA,12,6,5,1.2,45,47,3.75,3.92,-0.17,29.92,12.53,13,59.7,45,13,28.9,37,14,62.2,91.1,50,118,3.5,72.66,20.1,22.93,59.97,43.92,0.48,5.73,0.27,NA,NA,NA,nhl_team_stats_20251101.csv
