RANK,PLAYER,NATION,POSITION,SQUAD,AGE,YEAR_BORN,MP,STARTS,PCT_STARTS,MINUTES,90_MINS,G,GPG,A,APG,PTS,PTSPG,G_PK,G_REG,PK,PK_ATT,CRDY,CRDR,TOT_CRDS,XG,XGPG,NPXG,XAG,NPXG_XAG,PRGC,PRGP,PRGR
150,Cecelia Kizer,us USA,"FW,MF",Royals,28-007,1997,6,5,0.833333333,336,3.7,1,0.166666667,0,0,1,0.166666667,1,0,0,0,0,0,0,0.4,0.066666667,0.4,0.4,0.8,5,5,13
297,Cortnee Vine,au AUS,FW,Courage,27-097,1998,6,3,0.5,265,2.9,1,0.166666667,0,0,1,0.166666667,1,0,0,0,0,0,0,1.6,0.266666667,1.6,0.7,2.2,4,4,18
106,Nádia Gomes,pt POR,"MF,FW",Chicago Stars,28-248,1996,7,1,0.142857143,181,2,1,0.142857143,0,0,1,0.142857143,1,0,0,0,1,0,1,0.1,0.014285714,0.1,0.1,0.2,3,0,13
13,Ary Borges,br BRA,MF,Louisville,25-199,1999,9,6,0.666666667,515,5.7,1,0.111111111,0,0,1,0.111111111,0,1,1,1,0,0,0,2,0.222222222,1.3,0.1,1.4,4,18,15
39,Courtney Brown,us USA,"MF,FW",Spirit,24-232,2000,9,4,0.444444444,307,3.4,1,0.111111111,0,0,1,0.111111111,1,0,0,0,0,0,0,1.2,0.133333333,1.2,0.2,1.3,5,9,17
127,Macey Hodge,us USA,MF,Angel City,24-072,2001,10,6,0.6,498,5.5,1,0.1,0,0,1,0.1,1,0,0,0,4,0,4,0.2,0.02,0.2,0.1,0.3,1,15,2
139,Ellie Jean,us USA,DF,Louisville,28-165,1997,10,10,1,900,10,1,0.1,0,0,1,0.1,1,0,0,0,0,0,0,0.7,0.07,0.7,0.1,0.8,6,19,2
163,Payton Linnehan,us USA,"FW,MF",Thorns,24-112,2001,10,4,0.4,362,4,1,0.1,0,0,1,0.1,1,0,0,0,0,0,0,1.1,0.11,1.1,0.4,1.5,12,7,52
283,Mina Tanaka,jp JPN,"MF,FW",Royals,31-078,1994,10,9,0.9,831,9.2,1,0.1,0,0,1,0.1,1,0,0,0,1,0,1,1.6,0.16,1.6,1.1,2.7,7,25,37
301,Kennedy Wesley,us USA,DF,Wave,24-129,2001,10,8,0.8,700,7.8,1,0.1,0,0,1,0.1,1,0,0,0,1,1,2,0.2,0.02,0.2,0.1,0.2,0,14,1
28,Hannah Betfort,us USA,FW,Courage,26-192,1999,11,3,0.272727273,406,4.5,1,0.090909091,0,0,1,0.090909091,1,0,0,0,2,0,2,1.7,0.154545455,1.7,0.4,2.1,10,8,33
