"MATCH_ID","Team","Opponent","Venue","xG","xG_Opp","Goals","OppGoals","Win_Flag","Draw_Flag","xG_Diff","Home_Flag","Pred_Win_Prob_basic","Pred_Win_Prob_home"
160,"Pride","Spirit","HOME",1.5,1,2,0,1,0,0.5,0,0.527937776950742,0.527937776950742
161,"Thorns","Royals","HOME",2,1.7,1,2,0,0,0.3,0,0.481119710288976,0.481119710288976
162,"Red Stars","Gotham FC","HOME",0.2,2.2,0,2,0,0,-2,0,0.0970061616146299,0.0970061616146299
163,"Thorns","Pride","HOME",1.3,0.5,2,0,1,0,0.8,0,0.59700580688996,0.59700580688996
164,"Courage","Angel City","HOME",1.6,1,1,1,0,1,0.6,0,0.551214747043787,0.551214747043787
165,"Royals","Reign","HOME",2.5,0.1,3,0,1,0,2.4,0,0.869029203018943,0.869029203018943
166,"Spirit","Louisville","HOME",3.4,1.4,4,1,1,0,2,0,0.820177855658716,0.820177855658716
167,"Bay FC","Current","HOME",0.8,1.3,0,1,0,0,-0.5,0,0.304649114812119,0.304649114812119
168,"Wave","Dash","HOME",1.1,1.5,0,2,0,0,-0.4,0,0.324856094452748,0.324856094452748
169,"Current","Wave","HOME",2.5,0.8,4,1,1,0,1.7,0,0.774939529452288,0.774939529452288
170,"Reign","Dash","HOME",1.6,1.5,2,1,1,0,0.1,0,0.434630859384672,0.434630859384672
171,"Louisville","Thorns","HOME",0.9,1,1,0,1,0,-0.1,0,0.3892641211852,0.3892641211852
172,"Angel City","Royals","HOME",1.2,1.4,1,1,0,1,-0.2,0,0.367229952863915,0.367229952863915
173,"Spirit","Red Stars","HOME",2.5,0.6,2,0,1,0,1.9,0,0.805939792888375,0.805939792888375
174,"Gotham FC","Pride","HOME",2,1.9,3,1,1,0,0.1,0,0.434630859384672,0.434630859384672
175,"Bay FC","Courage","HOME",1.7,0.7,1,0,1,0,1,0,0.641166204350392,0.641166204350392
176,"Pride","Reign","HOME",2.9,1.4,3,2,1,0,1.5,0,0.740581128544693,0.740581128544693
177,"Thorns","Angel City","HOME",1.5,0.9,3,0,1,0,0.6,0,0.551214747043787,0.551214747043787
178,"Royals","Gotham FC","HOME",1.1,3.4,1,4,0,0,-2.3,0,0.0750157725152201,0.0750157725152201
179,"Courage","Spirit","HOME",0.4,0.7,0,1,0,0,-0.3,0,0.345736961895435,0.345736961895435
180,"Red Stars","Current","HOME",1.3,1.9,1,3,0,0,-0.6,0,0.285168162605529,0.285168162605529
181,"Wave","Louisville","HOME",1.8,1.8,3,1,1,0,0,0,0.411760054732995,0.411760054732995
182,"Dash","Bay FC","HOME",1.1,2.1,2,3,0,0,-1,0,0.215207328329425,0.215207328329425
183,"Current","Courage","HOME",1.7,1.4,1,0,1,0,0.3,0,0.481119710288976,0.481119710288976
184,"Pride","Red Stars","HOME",4.9,1.2,4,1,1,0,3.7,0,0.957330445187479,0.957330445187479
185,"Spirit","Bay FC","HOME",1.7,1.5,2,1,1,0,0.2,0,0.457783392069402,0.457783392069402
186,"Gotham FC","Thorns","HOME",0.8,0.7,2,1,1,0,0.1,0,0.434630859384672,0.434630859384672
187,"Spirit","Gotham FC","HOME",2,0.8,1,1,0,1,1.2,0,0.683056510732473,0.683056510732473
188,"Pride","Current","HOME",2.4,2.6,3,2,1,0,-0.2,0,0.367229952863915,0.367229952863915
189,"Pride","Spirit","HOME",0.4,1.8,1,0,1,0,-1.4,0,0.15860196912018,0.15860196912018
190,"Current","Thorns","HOME",1.9,1.2,3,1,1,0,0.7,0,0.574269512671443,0.574269512671443
191,"Royals","Bay FC","HOME",1,0.8,1,1,0,1,0.2,0,0.457783392069402,0.457783392069402
192,"Dash","Spirit","HOME",1,1.4,1,2,0,0,-0.4,0,0.324856094452748,0.324856094452748
193,"Pride","Chicago Stars","HOME",2.1,1.1,6,0,1,0,1,0,0.641166204350392,0.641166204350392
194,"Angel City","Wave","HOME",0.7,1.3,1,1,0,1,-0.6,0,0.285168162605529,0.285168162605529
195,"Reign","Gotham FC","HOME",0.7,1.4,1,1,0,1,-0.7,0,0.26645557566802,0.26645557566802
196,"Louisville","Courage","HOME",1.7,1.2,1,1,0,1,0.5,0,0.527937776950742,0.527937776950742
197,"Thorns","Angel City","HOME",1.7,0.5,1,1,0,1,1.2,0,0.683056510732473,0.683056510732473
198,"Courage","Reign","HOME",1.3,1.1,1,2,0,0,0.2,0,0.457783392069402,0.457783392069402
199,"Spirit","Current","HOME",1.2,3.1,0,2,0,0,-1.9,0,0.105530680960961,0.105530680960961
200,"Chicago Stars","Dash","HOME",1.1,2.2,1,2,0,0,-1.1,0,0.199802364133541,0.199802364133541
201,"Gotham FC","Pride","HOME",1.1,1,0,2,0,0,0.1,0,0.434630859384672,0.434630859384672
202,"Wave","Royals","HOME",2.2,1.1,3,2,1,0,1.1,0,0.66242994510484,0.66242994510484
203,"Bay FC","Louisville","HOME",0.9,1.4,2,0,1,0,-0.5,0,0.304649114812119,0.304649114812119
204,"Pride","Wave","HOME",1.8,0.3,2,1,1,0,1.5,0,0.740581128544693,0.740581128544693
205,"Current","Royals","HOME",3.1,0.2,3,0,1,0,2.9,0,0.913801778227892,0.913801778227892
206,"Dash","Gotham FC","HOME",0.1,0.4,0,0,0,1,-0.3,0,0.345736961895435,0.345736961895435
207,"Spirit","Bay FC","HOME",1.1,1.3,2,0,1,0,-0.2,0,0.367229952863915,0.367229952863915
208,"Chicago Stars","Louisville","HOME",0.9,1.8,0,1,0,0,-0.9,0,0.231456478548247,0.231456478548247
209,"Thorns","Courage","HOME",1.7,2.2,0,0,0,1,-0.5,0,0.304649114812119,0.304649114812119
210,"Angel City","Reign","HOME",1.4,1.5,2,1,1,0,-0.1,0,0.3892641211852,0.3892641211852
211,"Dash","Angel City","HOME",1.8,1.6,1,3,0,0,0.2,0,0.457783392069402,0.457783392069402
