Season,Wk,Home_Team,xG_Home,Score,xG_Away,Away_Team,Attendance,Venue,Referee
2024,27,Spirit,1.7,2–1,1.5,Bay FC,19215,Audi Field,Katja Koroleva
2024,27,Gotham FC,0.8,2–1,0.7,Thorns,15540,Red Bull Arena,Danielle Chesky
2024,27,Spirit,2,(3) 1–1 (0),0.8,Gotham FC,19365,Audi Field,Matthew Thompson
2024,27,Pride,2.4,3–2,2.6,Current,14524,Inter&Co Stadium,Danielle Chesky
2024,27,Pride,0.4,1–0,1.8,Spirit,11500,CPKC Stadium (Neutral Site),Alyssa Nichols
2025,1,Current,1.9,3–1,1.2,Thorns,11500,CPKC Stadium,Alyssa Nichols
2025,1,Royals,1,1–1,0.8,Bay FC,10624,America First Field,Jaclyn Metz
2025,1,Dash,1,1–2,1.4,Spirit,7671,Shell Energy Stadium,Matthew Thompson
2025,1,Pride,2.1,6–0,1.1,Chicago Stars,19237,Inter&Co Stadium,Shawn Tehini
2025,1,Angel City,0.7,1–1,1.3,Wave,19728,BMO Stadium,Katja Koroleva
2025,1,Reign,0.7,1–1,1.4,Gotham FC,8467,Lumen Field,Alex Billeter
2025,1,Louisville,1.7,1–1,1.2,Courage,2847,Lynn Family Stadium,Adorae Monroy
2025,2,Thorns,1.7,1–1,0.5,Angel City,15839,Providence Park,Greg Dopka
2025,2,Courage,1.3,1–2,1.1,Reign,8158,First Horizon Stadium at WakeMed Soccer ...,Elvis Osmanovic
2025,2,Spirit,1.2,0–2,3.1,Current,19254,Audi Field,Elijio Arreguin
2025,2,Chicago Stars,1.1,1–2,2.2,Dash,3376,SeatGeek Stadium,Iryna Petrunok
2025,2,Gotham FC,1.1,0–2,1,Pride,9718,Sports Illustrated Stadium,Brad Jensen
2025,2,Wave,2.2,3–2,1.1,Royals,18465,Snapdragon Stadium,Shawn Tehini
2025,2,Bay FC,0.9,2–0,1.4,Louisville,14742,PayPal Park,Danielle Chesky
2025,3,Pride,1.8,2–1,0.3,Wave,7071,Inter&Co Stadium,Adorae Monroy
2025,3,Current,3.1,3–0,0.2,Royals,11500,CPKC Stadium,Marie Durr
2025,3,Dash,0.1,0–0,0.4,Gotham FC,5658,Shell Energy Stadium,Shawn Tehini
2025,3,Spirit,1.1,2–0,1.3,Bay FC,12140,Audi Field,Natalie Simon
2025,3,Chicago Stars,0.9,0–1,1.8,Louisville,1806,SeatGeek Stadium,Laura Rodriguez
2025,3,Thorns,1.7,0–0,2.2,Courage,15967,Providence Park,Elton Garcia
2025,3,Angel City,1.4,2–1,1.5,Reign,15384,BMO Stadium,Gerald Flores
2025,4,Dash,1.8,1–3,1.6,Angel City,5263,Shell Energy Stadium,Jaclyn Metz
2025,4,Reign,1.3,0–1,1.5,Pride,7721,Lumen Field,Greg Dopka
2025,4,Louisville,0.9,0–2,0.6,Spirit,7886,Lynn Family Stadium,Mathew Corrigan
2025,4,Royals,0.8,0–1,2.4,Thorns,5051,America First Field,Iryna Petrunok
2025,4,Bay FC,1.7,1–2,1.5,Chicago Stars,12320,PayPal Park,Brad Jensen
2025,4,Gotham FC,2.4,3–1,0.7,Courage,7115,Sports Illustrated Stadium,Joshua Encarnacion
2025,4,Wave,0.6,0–2,1.1,Current,10873,Snapdragon Stadium,John Griggs
2025,5,Louisville,1.4,1–4,0.7,Wave,4431,Lynn Family Stadium,Jaclyn Metz
2025,5,Pride,1.6,0–1,1.4,Spirit,9021,Inter&Co Stadium,Elton Garcia
2025,5,Current,1.6,2–0,0.6,Dash,11500,CPKC Stadium,Katja Koroleva
2025,5,Reign,1.1,1–0,1.2,Thorns,7609,Lumen Field,Jeremy Scheer
