Season,Wk,Home_Team,xG_Home,Score,xG_Away,Away_Team,Attendance,Venue,Referee
2024,12,Thorns,1.4,1–0,0.4,Courage,21025,Providence Park,
2024,13,Louisville,0.4,0–2,1.2,Gotham FC,6412,Lynn Family Stadium,
2024,13,Current,2.2,2–2,0.3,Red Stars,11500,CPKC Stadium,Gerald Flores
2024,13,Spirit,1.5,1–1,1,Wave,19897,Audi Field,
2024,13,Courage,1,0–0,2,Pride,4776,Sahlen's Stadium at WakeMed Soccer Park,
2024,13,Reign,0.5,0–0,0.7,Thorns,9052,Lumen Field,
2024,13,Dash,0.7,0–0,2,Angel City,6147,Shell Energy Stadium,
2024,13,Bay FC,0.8,0–1,0.8,Royals,10367,PayPal Park,
2024,1,Gotham FC,0.9,2–1,0.3,Wave,10718,Red Bull Arena,
2024,7,Angel City,1.5,3–2,2,Louisville,16735,BMO Stadium,
2024,14,Dash,0.6,0–0,0.5,Wave,6473,Shell Energy Stadium,
2024,14,Pride,3.9,6–0,0.4,Royals,9656,Inter&Co Stadium,
2024,14,Thorns,0.7,1–4,2.2,Current,20024,Providence Park,
2024,14,Reign,2,1–1,0.7,Louisville,10715,Lumen Field,
2024,14,Gotham FC,1.2,0–2,1.6,Spirit,8396,Red Bull Arena,
2024,14,Courage,1.2,3–1,0.7,Red Stars,5256,Sahlen's Stadium at WakeMed Soccer Park,
2024,14,Bay FC,1.1,1–0,1.2,Angel City,15640,PayPal Park,
2024,15,Louisville,0.5,0–1,1.2,Bay FC,8096,Lynn Family Stadium,
2024,15,Wave,2.1,0–3,1.7,Red Stars,24115,Snapdragon Stadium,
2024,15,Current,3.1,2–0,0.3,Dash,11500,CPKC Stadium,Greg Dopka
2024,15,Spirit,1.3,0–1,0.4,Courage,15717,Audi Field,
2024,15,Gotham FC,1.1,1–1,0.7,Reign,7064,Red Bull Arena,
2024,15,Angel City,1.2,0–3,2.4,Pride,22000,BMO Stadium,
2024,15,Royals,1.8,0–0,0.9,Thorns,8677,America First Field,
2024,16,Red Stars,0.9,1–0,0.8,Dash,5566,SeatGeek Stadium,
2024,16,Current,1.4,1–2,2.1,Pride,11500,CPKC Stadium,Joshua Encarnacion
2024,16,Thorns,2.4,1–0,1,Wave,18011,Providence Park,
2024,16,Reign,2.4,1–1,1.6,Royals,6276,Lumen Field,
2024,16,Courage,1.9,3–1,0.8,Louisville,4738,Sahlen's Stadium at WakeMed Soccer Park,
2024,16,Angel City,1.6,1–2,2.6,Gotham FC,16542,BMO Stadium,Katja Koroleva
2024,16,Bay FC,1.4,0–3,2.4,Spirit,11384,PayPal Park,
2024,17,Wave,0.9,1–2,2.7,Angel City,20500,Snapdragon Stadium,Eric Tattersall
2024,17,Gotham FC,1,2–0,0.4,Thorns,10640,Red Bull Arena,
2024,17,Dash,1.3,0–1,2.6,Pride,6514,Shell Energy Stadium,
2024,17,Louisville,2,3–1,0.6,Red Stars,6607,Lynn Family Stadium,
2024,17,Royals,0.8,2–1,1.4,Bay FC,14539,America First Field,
2024,17,Spirit,0.6,4–1,0.9,Current,17130,Audi Field,Brad Jensen
2024,17,Reign,2.1,1–0,0.4,Courage,16598,Lumen Field,
