Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,PTSPG,APG,GPG,EVG,PPG,SHG,GWG,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
605,Lenni Hameenaho,21,NJD,RW,33,2,6,8,-3,14,0.242424242,0.181818182,0.060606061,2,0,0,0,47,4.3,91,401:59:00,12:11,0,5,0,16,20,6,12
606,Jansen Harkins,28,ANA,C,44,3,5,8,-6,28,0.181818182,0.113636364,0.068181818,3,0,0,0,37,8.1,78,421:59:00,9:35,95,90,51.4,24,113,6,27
607,Kevin Hayes,33,PIT,RW,28,4,4,8,-1,8,0.285714286,0.142857143,0.142857143,4,0,0,1,45,8.9,81,349:16:00,12:28,56,83,40.3,10,32,4,20
608,Mattias Janmark,33,EDM,C,43,1,7,8,-8,22,0.186046512,0.162790698,0.023255814,1,0,0,0,24,4.2,53,509:54:00,11:51,7,12,36.8,13,10,5,14
609,Calle Järnkrok,34,TOR,C,56,6,2,8,-15,8,0.142857143,0.035714286,0.107142857,6,0,0,0,45,13.3,79,663:00:00,11:50,28,30,48.3,11,33,4,19
610,Johnathan Kovacevic,28,NJD,D,34,0,8,8,0,38,0.235294118,0.235294118,0,0,0,0,0,30,0,78,607:28:00,17:52,0,0,,39,57,9,28
611,Sonny Milano,29,WSH,LW,31,4,4,8,0,4,0.258064516,0.129032258,0.129032258,4,0,0,2,33,12.1,57,275:23:00,8:53,8,4,66.7,3,9,4,19
612,Reid Schaefer,22,NSH,LW,47,6,2,8,-12,17,0.170212766,0.042553191,0.127659574,6,0,0,1,39,15.4,83,453:09:00,9:38,1,7,12.5,30,108,5,19
613,Donovan Sebrango,24,2TM,D,42,0,8,8,-5,68,0.19047619,0.19047619,0,0,0,0,0,33,0,100,634:22:00,15:06,0,0,,32,77,5,27
613,Donovan Sebrango,24,OTT,D,2,0,0,0,-1,5,0,0,0,0,0,0,0,1,0,5,30:27:00,15:14,0,0,,0,1,0,1
613,Donovan Sebrango,24,FLA,D,40,0,8,8,-4,63,0.2,0.2,0,0,0,0,0,32,0,95,603:55:00,15:06,0,0,,32,76,5,26
614,Jaccob Slavin,31,CAR,D,39,1,7,8,8,4,0.205128205,0.179487179,0.025641026,1,0,0,1,63,1.6,127,831:06:00,21:19,0,0,,54,6,32,37
615,Conor Timmins,27,BUF,D,39,0,8,8,-8,18,0.205128205,0.205128205,0,0,0,0,0,44,0,108,731:43:00,18:46,0,0,,81,29,8,45
616,Sammy Blais,29,2TM,LW,21,3,5,8,2,10,0.380952381,0.238095238,0.142857143,3,0,0,0,18,16.7,28,176:56:00,8:26,1,2,33.3,12,78,4,2
616,Sammy Blais,29,TOR,LW,8,1,2,3,-2,4,0.375,0.25,0.125,1,0,0,0,7,14.3,11,66:17:00,8:17,1,0,100,5,28,1,2
616,Sammy Blais,29,MTL,LW,13,2,3,5,4,6,0.384615385,0.230769231,0.153846154,2,0,0,0,11,18.2,17,110:39:00,8:31,0,2,0,7,50,3,0
617,Jacob Bryson,28,2TM,D,50,2,6,8,-9,10,0.16,0.12,0.04,2,0,0,0,22,9.1,60,543:09:00,10:52,0,0,,29,14,5,17
617,Jacob Bryson,28,BUF,D,35,2,3,5,-1,8,0.142857143,0.085714286,0.057142857,2,0,0,0,12,16.7,40,351:14:00,10:02,0,0,,20,9,2,11
617,Jacob Bryson,28,WPG,D,15,0,3,3,-8,2,0.2,0.2,0,0,0,0,0,10,0,20,191:55:00,12:48,0,0,,9,5,3,6
618,Ilya Solovyov,25,2TM,D,30,1,7,8,0,16,0.266666667,0.233333333,0.033333333,1,0,0,0,23,4.3,68,382:24:00,12:45,0,0,,33,35,5,19
618,Ilya Solovyov,25,COL,D,16,1,2,3,-1,6,0.1875,0.125,0.0625,1,0,0,0,14,7.1,43,185:03:00,11:34,0,0,,19,19,3,6
618,Ilya Solovyov,25,PIT,D,14,0,5,5,1,10,0.357142857,0.357142857,0,0,0,0,0,9,0,25,197:21:00,14:06,0,0,,14,16,2,13
619,Lukas Reichel,23,3TM,LW,29,3,5,8,-2,6,0.275862069,0.172413793,0.103448276,3,0,0,1,24,12.5,52,361:01:00,12:27,46,71,39.3,16,9,5,20
619,Lukas Reichel,23,CHI,LW,5,2,2,4,1,2,0.8,0.4,0.4,2,0,0,0,6,33.3,10,49:19:00,9:52,2,5,28.6,3,1,1,4
619,Lukas Reichel,23,VAN,LW,14,0,1,1,-5,4,0.071428571,0.071428571,0,0,0,0,0,9,0,26,183:30:00,13:06,44,66,40,8,6,1,9
619,Lukas Reichel,23,BOS,LW,10,1,2,3,2,0,0.3,0.2,0.1,1,0,0,1,9,11.1,16,128:12:00,12:49,0,0,,5,2,3,7
620,Nathan Bastian,28,DAL,RW,36,6,1,7,4,21,0.194444444,0.027777778,0.166666667,6,0,0,0,25,24,43,311:12:00,8:39,0,2,0,7,85,1,11
621,Hunter Brzustewicz,21,CGY,D,34,2,5,7,0,4,0.205882353,0.147058824,0.058823529,2,0,0,0,33,6.1,76,548:46:00,16:08,0,0,,23,24,5,26
622,Danil But,20,UTA,LW,29,3,4,7,1,8,0.24137931,0.137931034,0.103448276,2,1,0,0,43,7,94,361:37:00,12:28,7,14,33.3,18,16,4,18
623,Brandon Carlo,29,TOR,D,55,0,7,7,4,37,0.127272727,0.127272727,0,0,0,0,0,66,0,142,1065:06:00,19:22,0,0,,98,65,7,53
624,Declan Chisholm,26,WSH,D,26,1,6,7,3,4,0.269230769,0.230769231,0.038461538,1,0,0,0,20,5,52,356:52:00,13:44,0,0,,22,11,5,28
625,Nate Danielson,21,DET,C,28,2,5,7,-7,4,0.25,0.178571429,0.071428571,2,0,0,0,31,6.5,59,309:29:00,11:03,55,91,37.7,9,8,8,17
626,Vincent Desharnais,29,SJS,D,53,1,6,7,7,68,0.132075472,0.113207547,0.018867925,1,0,0,1,34,2.9,101,963:24:00,18:11,0,0,,83,103,10,50
627,Trent Frederic,27,EDM,C,74,4,3,7,-15,58,0.094594595,0.040540541,0.054054054,4,0,0,1,77,5.2,139,816:54:00,11:02,89,67,57.1,22,193,9,35
628,Marc Gatcomb,26,NYI,F,49,3,4,7,-3,10,0.142857143,0.081632653,0.06122449,3,0,0,0,55,5.5,94,494:16:00,10:05,1,3,25,24,192,6,12
629,Joel Hanley,34,CGY,D,68,0,7,7,-5,44,0.102941176,0.102941176,0,0,0,0,0,43,0,118,997:33:00,14:40,0,0,,90,42,10,53
630,William Karlsson,33,VEG,C,14,4,3,7,-1,4,0.5,0.214285714,0.285714286,2,1,1,1,30,13.3,48,212:03:00,15:09,91,67,57.6,13,3,3,11
631,Ville Koivunen,22,PIT,RW,39,2,5,7,-10,10,0.179487179,0.128205128,0.051282051,1,1,0,0,36,5.6,86,496:46:00,12:44,2,0,100,14,5,11,18
632,Nick Leddy,34,SJS,D,32,1,6,7,-9,6,0.21875,0.1875,0.03125,1,0,0,0,16,6.3,51,571:51:00,17:52,0,0,,40,7,5,21
633,Kyle MacLean,26,NYI,F,59,2,5,7,-6,40,0.118644068,0.084745763,0.033898305,2,0,0,0,43,4.7,95,620:39:00,10:31,48,31,60.8,23,121,8,30
634,Stefan Noesen,32,NJD,RW,38,3,4,7,-12,33,0.184210526,0.105263158,0.078947368,2,1,0,1,52,5.8,93,446:40:00,11:45,16,17,48.5,15,33,3,23
635,Jani Nyman,21,SEA,RW,28,4,3,7,-5,6,0.25,0.107142857,0.142857143,3,1,0,0,33,12.1,70,295:54:00,10:34,2,4,33.3,6,23,1,13
636,Zack Ostapchuk,22,SJS,C,59,4,3,7,-11,45,0.118644068,0.050847458,0.06779661,4,0,0,2,44,9.1,75,595:35:00,10:06,236,221,51.6,29,140,8,20
637,Brayden Pachal,26,CGY,D,39,1,6,7,-1,47,0.179487179,0.153846154,0.025641026,1,0,0,0,28,3.6,85,541:09:00,13:53,0,0,,40,89,7,31
638,Brett Pesce,31,NJD,D,37,1,6,7,-11,6,0.189189189,0.162162162,0.027027027,1,0,0,0,45,2.2,87,751:17:00,20:18,0,0,,80,11,16,23
639,Luke Schenn,36,2TM,D,50,1,6,7,-12,43,0.14,0.12,0.02,1,0,0,0,35,2.9,96,683:14:00,13:40,0,0,,57,149,7,44
639,Luke Schenn,36,WPG,D,46,1,6,7,-11,32,0.152173913,0.130434783,0.02173913,1,0,0,0,32,3.1,89,632:06:00,13:44,0,0,,54,139,7,40
639,Luke Schenn,36,BUF,D,4,0,0,0,-1,11,0,0,0,0,0,0,0,3,0,7,51:08:00,12:47,0,0,,3,10,0,4
640,Cole Schwindt,24,FLA,RW,29,5,2,7,2,2,0.24137931,0.068965517,0.172413793,5,0,0,0,25,20,45,291:06:00,10:02,91,115,44.2,11,39,3,8
641,Landon Slaggert,23,CHI,LW,53,3,4,7,-2,16,0.132075472,0.075471698,0.056603774,3,0,0,1,47,6.4,83,559:23:00,10:33,1,2,33.3,24,79,4,12
642,Jack St. Ivany,26,PIT,D,20,0,7,7,4,6,0.35,0.35,0,0,0,0,0,17,0,43,326:31:00,16:20,0,0,,24,48,4,22
643,Taylor Ward,27,LAK,F,36,3,4,7,0,7,0.194444444,0.111111111,0.083333333,3,0,0,0,38,7.9,99,340:53:00,9:28,4,6,40,9,38,2,20
644,John Beecher,24,2TM,C,35,3,4,7,-6,31,0.2,0.114285714,0.085714286,2,0,1,0,37,8.1,68,365:12:00,10:26,85,111,43.4,31,23,6,14
644,John Beecher,24,BOS,C,6,1,0,1,-1,0,0.166666667,0,0.166666667,1,0,0,0,6,16.7,10,62:26:00,10:24,0,3,0,4,7,0,1
644,John Beecher,24,CGY,C,29,2,4,6,-5,31,0.206896552,0.137931034,0.068965517,1,0,1,0,31,6.5,58,302:46:00,10:26,85,108,44,27,16,6,13
645,Michael Benning,24,FLA,D,18,2,4,6,-4,2,0.333333333,0.222222222,0.111111111,2,0,0,0,15,13.3,51,304:14:00,16:54,0,0,,16,4,5,18
646,Simon Benoit,27,TOR,D,73,0,6,6,-22,41,0.082191781,0.082191781,0,0,0,0,0,60,0,146,1262:37:00,17:18,0,0,,114,194,12,68
647,Zach Bogosian,35,MIN,D,41,2,4,6,8,18,0.146341463,0.097560976,0.048780488,2,0,0,0,30,6.7,76,596:19:00,14:33,0,1,0,37,47,10,32
648,Jaroslav Chmelar,22,NYR,RW,28,4,2,6,-2,11,0.214285714,0.071428571,0.142857143,4,0,0,1,23,17.4,42,256:14:00,9:09,0,4,0,16,53,6,4
649,Connor Clifton,30,PIT,D,50,2,4,6,5,53,0.12,0.08,0.04,2,0,0,1,35,5.7,114,838:17:00,16:46,0,0,,84,180,13,40
650,Brendan Gaunce,31,CBJ,C,25,2,4,6,-1,12,0.24,0.16,0.08,0,0,2,1,29,6.9,61,297:34:00,11:54,103,78,56.9,21,44,6,7
651,Jordan Greenway,28,BUF,LW,40,1,5,6,-10,29,0.15,0.125,0.025,1,0,0,0,32,3.1,68,497:48:00,12:27,8,25,24.2,22,57,6,19
652,Daemon Hunt,23,MIN,D,32,0,6,6,-3,6,0.1875,0.1875,0,0,0,0,0,19,0,43,397:43:00,12:26,0,0,,43,21,2,14
653,Pierre-Olivier Joseph,26,VAN,D,31,1,5,6,-16,8,0.193548387,0.161290323,0.032258065,1,0,0,0,22,4.5,55,412:27:00,13:18,0,0,,28,18,9,25
654,David Kämpf,31,2TM,C,40,2,4,6,-13,12,0.15,0.1,0.05,2,0,0,0,36,5.6,65,589:08:00,14:44,289,264,52.3,26,45,6,18
654,David Kämpf,31,VAN,C,38,2,4,6,-12,10,0.157894737,0.105263158,0.052631579,2,0,0,0,36,5.6,65,571:00:00,15:02,284,255,52.7,22,43,6,18
654,David Kämpf,31,WSH,C,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,,0,18:08,9:04,5,9,35.7,4,2,0,0
655,Tyson Kozak,23,BUF,C,46,2,4,6,-1,2,0.130434783,0.086956522,0.043478261,2,0,0,0,30,6.7,54,518:42:00,11:17,187,200,48.3,37,120,12,29
656,Brad Lambert,22,WPG,C,25,3,3,6,-5,6,0.24,0.12,0.12,3,0,0,0,27,11.1,50,270:09:00,10:48,4,10,28.6,6,22,2,16
657,Curtis Lazar,30,EDM,C,45,4,2,6,-3,10,0.133333333,0.044444444,0.088888889,4,0,0,1,30,13.3,71,401:23:00,8:55,178,113,61.2,20,95,3,9
658,Rutger McGroarty,21,PIT,RW,24,3,3,6,-3,4,0.25,0.125,0.125,3,0,0,0,37,8.1,63,287:04:00,11:58,8,9,47.1,8,26,4,15
659,Zach Metsa,27,BUF,D,43,2,4,6,16,8,0.139534884,0.093023256,0.046511628,2,0,0,1,24,8.3,56,471:37:00,10:58,0,0,,31,5,5,28
660,Scott Morrow,23,NYR,D,29,0,6,6,-5,4,0.206896552,0.206896552,0,0,0,0,0,24,0,91,454:24:00,15:40,0,0,,29,11,5,21
661,Urho Vaakanainen,27,NYR,D,34,0,6,6,0,14,0.176470588,0.176470588,0,0,0,0,0,23,0,66,471:05:00,13:51,0,0,,26,11,5,22
662,Zach Aston-Reese,31,CBJ,C,27,1,4,5,-1,12,0.185185185,0.148148148,0.037037037,1,0,0,0,17,5.9,31,262:48:00,9:44,7,18,28,17,78,2,10
663,Arshdeep Bains,25,VAN,F,28,1,4,5,-3,12,0.178571429,0.142857143,0.035714286,1,0,0,0,18,5.6,31,257:46:00,9:12,2,12,14.3,5,24,6,11
664,Jacob Bernard-Docker,25,DET,D,63,1,4,5,0,25,0.079365079,0.063492063,0.015873016,1,0,0,0,41,2.4,113,933:03:00,14:49,0,0,,87,66,8,41
665,Kyle Capobianco,28,DAL,D,33,2,3,5,1,8,0.151515152,0.090909091,0.060606061,2,0,0,0,18,11.1,66,400:24:00,12:08,0,0,,27,12,9,20
666,Adam Edstrom,25,NYR,C,35,3,2,5,1,2,0.142857143,0.057142857,0.085714286,3,0,0,1,31,9.7,54,331:08:00,9:28,7,14,33.3,22,65,5,18
667,Benoit-Olivier Groulx,25,TOR,C,13,3,2,5,4,0,0.384615385,0.153846154,0.230769231,2,0,1,2,15,20,32,204:00:00,15:42,58,97,37.4,6,34,0,11
668,Avery Hayes,23,PIT,F,16,5,0,5,-4,12,0.3125,0,0.3125,5,0,0,0,25,20,53,178:42:00,11:10,1,4,20,9,23,5,8
669,Nils Höglander,25,VAN,LW,38,2,3,5,-4,8,0.131578947,0.078947368,0.052631579,2,0,0,0,35,5.7,89,437:50:00,11:31,1,0,100,8,52,5,26
670,Isaac Howard,21,EDM,LW,29,2,3,5,-6,12,0.172413793,0.103448276,0.068965517,2,0,0,0,36,5.6,74,299:01:00,10:19,0,0,,5,7,2,17
671,Arttu Hyry,24,DAL,F,20,3,2,5,1,2,0.25,0.1,0.15,2,0,1,0,24,12.5,41,235:31:00,11:47,121,88,57.9,6,32,4,12
672,Max Jones,27,EDM,LW,21,3,2,5,3,9,0.238095238,0.095238095,0.142857143,3,0,0,2,22,13.6,38,175:16:00,8:21,0,0,,3,56,5,8
673,Jiri Kulich,21,BUF,C,12,3,2,5,-4,4,0.416666667,0.166666667,0.25,3,0,0,0,20,15,43,196:22:00,16:22,68,95,41.7,12,9,1,10
674,Zachary L'Heureux,22,NSH,LW,25,4,1,5,3,21,0.2,0.04,0.16,4,0,0,0,32,12.5,64,334:46:00,13:23,3,4,42.9,15,64,5,16
675,Tanner Laczynski,28,VEG,C,10,0,5,5,0,4,0.5,0.5,0,0,0,0,0,12,0,24,107:42:00,10:46,38,40,48.7,5,2,3,5
676,Nikolas Matinpalo,27,OTT,D,50,0,5,5,-1,16,0.1,0.1,0,0,0,0,0,37,0,100,781:22:00,15:38,0,0,,55,49,11,38
677,Jacob Melanson,22,SEA,RW,36,2,3,5,-9,32,0.138888889,0.083333333,0.055555556,2,0,0,0,33,6.1,80,337:12:00,9:22,1,0,100,13,188,4,15
678,Scott Sabourin,33,TBL,F,26,1,4,5,1,89,0.192307692,0.153846154,0.038461538,1,0,0,0,11,9.1,34,206:46:00,7:57,0,2,0,11,63,1,10
679,Elias Salomonsson,21,WPG,D,32,1,4,5,-6,12,0.15625,0.125,0.03125,1,0,0,0,37,2.7,111,574:48:00,17:58,0,0,,27,50,2,35
680,David Tomasek,29,EDM,F,22,3,2,5,-6,10,0.227272727,0.090909091,0.136363636,3,0,0,0,30,10,52,236:41:00,10:46,30,34,46.9,6,17,3,12
681,Joe Veleno,26,MTL,C,61,2,3,5,-12,19,0.081967213,0.049180328,0.032786885,2,0,0,1,52,3.8,100,737:34:00,12:05,163,153,51.6,32,166,8,19
682,Sandis Vilmanis,22,FLA,LW,19,3,2,5,-1,4,0.263157895,0.105263158,0.157894737,3,0,0,0,15,20,30,197:33:00,10:24,3,1,75,5,39,5,11
683,Tim Washe,24,ANA,F,39,2,3,5,-6,14,0.128205128,0.076923077,0.051282051,2,0,0,0,33,6.1,76,470:02:00,12:03,225,163,58,25,91,12,11
684,Ozzy Wiesblatt,23,NSH,RW,40,1,4,5,-6,38,0.125,0.1,0.025,1,0,0,0,25,4,62,407:17:00,10:11,2,5,28.6,18,100,7,15
685,Robby Fabbri,30,2TM,C,21,2,3,5,-4,16,0.238095238,0.142857143,0.095238095,2,0,0,1,30,6.7,46,247:58:00,11:48,5,4,55.6,9,44,0,7
685,Robby Fabbri,30,STL,C,15,1,3,4,-3,12,0.266666667,0.2,0.066666667,1,0,0,0,17,5.9,28,188:55:00,12:36,4,2,66.7,8,34,0,6
685,Robby Fabbri,30,MIN,C,6,1,0,1,-1,4,0.166666667,0,0.166666667,1,0,0,1,13,7.7,18,59:03:00,9:51,1,2,33.3,1,10,0,1
686,Jack Finley,23,2TM,C,44,2,3,5,2,38,0.113636364,0.068181818,0.045454545,2,0,0,1,26,7.7,45,427:12:00,9:43,201,194,50.9,9,75,1,12
686,Jack Finley,23,TBL,C,22,2,1,3,2,21,0.136363636,0.045454545,0.090909091,2,0,0,1,11,18.2,19,185:08:00,8:25,83,88,48.5,5,37,0,5
686,Jack Finley,23,STL,C,22,0,2,2,0,17,0.090909091,0.090909091,0,0,0,0,0,15,0,26,242:04:00,11:00,118,106,52.7,4,38,1,7
687,Tobias Björnfot,24,FLA,D,19,2,2,4,1,2,0.210526316,0.105263158,0.105263158,2,0,0,0,12,16.7,26,269:25:00,14:11,0,0,,23,14,2,10
688,Adam Boqvist,25,NYI,D,28,0,4,4,-9,8,0.142857143,0.142857143,0,0,0,0,0,17,0,51,366:41:00,13:06,0,0,,23,11,5,11
689,Joshua Dunne,27,BUF,C,34,1,3,4,-7,38,0.117647059,0.088235294,0.029411765,1,0,0,0,29,3.4,61,322:10:00,9:29,66,56,54.1,16,40,6,16
690,Haydn Fleury,29,WPG,D,38,2,2,4,-18,12,0.105263158,0.052631579,0.052631579,2,0,0,0,26,7.7,70,529:14:00,13:56,0,0,,56,54,8,28
691,Filip Hallander,25,PIT,C,13,1,3,4,4,2,0.307692308,0.230769231,0.076923077,0,0,1,1,22,4.5,47,170:51:00,13:09,0,2,0,5,3,2,12
692,Konsta Helenius,19,BUF,F,9,1,3,4,1,0,0.444444444,0.333333333,0.111111111,1,0,0,0,15,6.7,24,107:11:00,11:55,10,14,41.7,3,10,1,6
693,Samuel Honzek,21,CGY,LW,18,2,2,4,1,2,0.222222222,0.111111111,0.111111111,2,0,0,0,22,9.1,42,222:09:00,12:21,6,5,54.5,6,35,1,9
694,John Leonard,27,DET,LW,11,2,2,4,-3,0,0.363636364,0.181818182,0.181818182,2,0,0,0,11,18.2,30,126:31:00,11:30,0,0,,9,12,2,13
695,Theo Lindstein,21,STL,D,17,2,2,4,6,6,0.235294118,0.117647059,0.117647059,2,0,0,1,20,10,50,267:56:00,15:46,0,0,,14,8,1,9
696,Mackenzie MacEachern,31,VAN,LW,8,1,3,4,0,12,0.5,0.375,0.125,1,0,0,0,6,16.7,10,81:28:00,10:11,1,1,50,6,10,1,3
697,Jacob Markström,36,NJD,G,44,0,4,4,0,13,0.090909091,0.090909091,0,0,0,0,0,0,,1,2544:01:00,57:49:00,0,0,,0,0,0,22
698,Tomáš Nosek,33,FLA,C,21,2,2,4,-8,4,0.19047619,0.095238095,0.095238095,2,0,0,1,8,25,38,296:24:00,14:07,104,121,46.2,12,51,3,14
699,Liam O'Brien,31,UTA,C,38,3,1,4,-6,43,0.105263158,0.026315789,0.078947368,3,0,0,0,35,8.6,86,347:37:00,9:09,6,3,66.7,14,115,1,11
700,Ilya Protas,19,WSH,C,4,1,3,4,1,2,1,0.75,0.25,0,1,0,0,7,14.3,10,63:34:00,15:54,19,23,45.2,2,0,1,1
701,Josh Samanski,23,EDM,F,24,2,2,4,2,6,0.166666667,0.083333333,0.083333333,2,0,0,0,9,22.2,26,253:24:00,10:34,54,58,48.2,14,27,6,10
702,Adam Sykora,21,NYR,LW,11,3,1,4,0,5,0.363636364,0.090909091,0.272727273,3,0,0,0,15,20,27,122:55:00,11:10,1,1,50,10,20,2,3
703,Colton White,28,NJD,D,23,0,4,4,2,2,0.173913043,0.173913043,0,0,0,0,0,14,0,32,281:53:00,12:15,0,0,,16,23,4,21
704,Jared Wright,23,LAK,RW,23,0,4,4,0,4,0.173913043,0.173913043,0,0,0,0,0,32,0,54,262:55:00,11:26,0,1,0,18,27,4,7
705,Arber Xhekaj,25,MTL,D,65,1,3,4,-8,116,0.061538462,0.046153846,0.015384615,1,0,0,0,40,2.5,125,742:28:00,11:25,0,0,,43,178,2,35
706,Curtis Douglas,25,2TM,C,43,1,3,4,-3,108,0.093023256,0.069767442,0.023255814,1,0,0,0,29,3.4,58,290:15:00,6:45,6,7,46.2,12,64,6,18
706,Curtis Douglas,25,TBL,C,29,0,2,2,1,92,0.068965517,0.068965517,0,0,0,0,0,17,0,34,173:09:00,5:58,3,2,60,7,32,3,9
706,Curtis Douglas,25,VAN,C,14,1,1,2,-4,16,0.142857143,0.071428571,0.071428571,1,0,0,0,12,8.3,24,117:06:00,8:22,3,5,37.5,5,32,3,9
707,Maxim Tsyplakov,27,2TM,F,49,2,2,4,-17,6,0.081632653,0.040816327,0.040816327,2,0,0,0,42,4.8,91,446:55:00,9:07,9,11,45,8,83,8,28
707,Maxim Tsyplakov,27,NYI,F,27,1,1,2,-9,6,0.074074074,0.037037037,0.037037037,1,0,0,0,22,4.5,52,260:29:00,9:39,8,10,44.4,4,46,3,16
707,Maxim Tsyplakov,27,NJD,F,22,1,1,2,-8,0,0.090909091,0.045454545,0.045454545,1,0,0,0,20,5,39,186:26:00,8:28,1,1,50,4,37,5,12
708,Marek Alscher,21,FLA,D,4,0,3,3,4,0,0.75,0.75,0,0,0,0,0,6,0,13,81:26:00,20:22,0,0,,6,4,1,3
709,Declan Carlile,25,TBL,D,42,1,2,3,5,40,0.071428571,0.047619048,0.023809524,1,0,0,0,33,3,99,620:41:00,14:47,0,0,,38,51,6,22
710,Jake Christiansen,26,CBJ,D,40,0,3,3,-7,8,0.075,0.075,0,0,0,0,0,26,0,77,401:45:00,10:03,0,0,,24,30,2,13
711,Filip Chytil,26,VAN,C,12,3,0,3,-7,6,0.25,0,0.25,3,0,0,1,24,12.5,40,180:04:00,15:00,60,62,49.2,4,4,4,12
712,Joey Daccord,29,SEA,G,47,0,3,3,0,4,0.063829787,0.063829787,0,0,0,0,0,3,0,7,2693:13:00,57:18:00,0,0,,0,0,0,37
713,Mathew Dumba,31,PIT,D,11,1,2,3,-5,11,0.272727273,0.181818182,0.090909091,1,0,0,0,7,14.3,26,164:18:00,14:56,0,0,,12,16,6,8
714,Cale Fleury,27,SEA,D,23,1,2,3,1,7,0.130434783,0.086956522,0.043478261,1,0,0,0,22,4.5,53,374:48:00,16:18,0,0,,34,50,4,20
715,Jonah Gadjovich,27,FLA,LW,10,0,3,3,2,7,0.3,0.3,0,0,0,0,0,8,0,12,79:26:00,7:57,0,0,,3,30,3,3
716,Conor Geekie,21,TBL,C,14,1,2,3,-3,8,0.214285714,0.142857143,0.071428571,1,0,0,0,10,10,21,138:30:00,9:54,31,38,44.9,6,33,3,10
717,Erik Gudbranson,34,CBJ,D,37,1,2,3,6,19,0.081081081,0.054054054,0.027027027,1,0,0,0,34,2.9,88,657:32:00,17:46,0,0,,64,45,7,33
718,Jordan Harris,25,BOS,D,8,1,2,3,0,0,0.375,0.25,0.125,1,0,0,0,12,8.3,19,127:11:00,15:54,0,0,,5,5,1,6
719,Garnet Hathaway,34,PHI,RW,66,1,2,3,-6,59,0.045454545,0.03030303,0.015151515,1,0,0,0,34,2.9,73,686:34:00,10:24,15,10,60,58,252,9,35
720,Vincent Iorio,23,2TM,D,27,0,3,3,-4,12,0.111111111,0.111111111,0,0,0,0,0,15,0,41,424:54:00,15:44,0,0,,39,15,7,26
720,Vincent Iorio,23,SJS,D,21,0,3,3,-4,12,0.142857143,0.142857143,0,0,0,0,0,10,0,34,346:24:00,16:30,0,0,,32,11,4,14
720,Vincent Iorio,23,NYR,D,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,78:30:00,13:05,0,0,,7,4,3,12
721,Ben Jones,26,MIN,F,28,1,2,3,-10,0,0.107142857,0.071428571,0.035714286,1,0,0,0,26,3.8,45,247:17:00,8:50,73,66,52.5,11,58,1,9
722,Joakim Kemell,21,NSH,RW,16,1,2,3,2,0,0.1875,0.125,0.0625,1,0,0,0,12,8.3,34,166:34:00,10:25,1,7,12.5,9,25,4,5
723,Matthew Kessel,25,STL,D,29,2,1,3,1,10,0.103448276,0.034482759,0.068965517,2,0,0,1,20,10,43,363:34:00,12:32,0,0,,26,22,1,15
724,Vladislav Kolyachonok,24,2TM,D,13,1,2,3,2,4,0.230769231,0.153846154,0.076923077,1,0,0,1,12,8.3,24,163:02:00,12:32,0,0,,13,5,3,4
724,Vladislav Kolyachonok,24,DAL,D,11,1,2,3,3,4,0.272727273,0.181818182,0.090909091,1,0,0,1,10,10,19,138:51:00,12:37,0,0,,10,5,2,1
724,Vladislav Kolyachonok,24,BOS,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,5,24:11:00,12:06,0,0,,3,0,1,3
725,Jonathan Lekkerimäki,21,VAN,RW,13,2,1,3,-3,0,0.230769231,0.076923077,0.153846154,2,0,0,0,10,20,26,151:49:00,11:41,0,0,,5,10,1,7
726,Josh Mahura,27,SEA,D,23,1,2,3,8,16,0.130434783,0.086956522,0.043478261,1,0,0,1,15,6.7,41,360:13:00,15:40,0,0,,36,26,2,13
727,Victor Mancini,23,VAN,D,24,0,3,3,-12,7,0.125,0.125,0,0,0,0,0,14,0,32,329:38:00,13:44,0,0,,26,28,1,14
728,Ivan Miroshnichenko,21,WSH,LW,13,2,1,3,1,2,0.230769231,0.076923077,0.153846154,2,0,0,0,12,16.7,32,125:20:00,9:38,0,0,,6,19,0,5
729,Bradly Nadeau,20,CAR,LW,12,3,0,3,1,2,0.25,0,0.25,2,1,0,0,12,25,34,155:32:00,12:58,0,3,0,5,21,0,8
730,Juuso Pärssinen,24,NYR,C,20,2,1,3,4,10,0.15,0.05,0.1,2,0,0,0,16,12.5,28,176:53:00,8:51,28,32,46.7,9,28,3,9
731,Noah Philp,27,2TM,F,17,2,1,3,-7,4,0.176470588,0.058823529,0.117647059,2,0,0,0,14,14.3,22,169:02:00,9:57,69,54,56.1,2,30,5,7
731,Noah Philp,27,EDM,F,15,2,1,3,-7,4,0.2,0.066666667,0.133333333,2,0,0,0,12,16.7,19,150:36:00,10:02,58,44,56.9,2,24,4,7
731,Noah Philp,27,CAR,F,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,18:26,9:13,11,10,52.4,0,6,1,0
732,Martin Pospisil,26,CGY,C,22,1,2,3,-4,17,0.136363636,0.090909091,0.045454545,1,0,0,0,19,5.3,36,223:20:00,10:09,16,18,47.1,6,84,3,5
