Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,PTSPG,APG,GPG,EVG,PPG,SHG,GWG,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
544,Danton Heinen,30,PIT,C,13,1,1,2,1,8,0.153846154,0.076923077,0.076923077,1,0,0,0,14,7.1,35,151:41:00,11:40,5,11,31.3,10,16,2,4
544,Danton Heinen,30,CBJ,C,33,5,5,10,6,8,0.303030303,0.151515152,0.151515152,5,0,0,0,30,16.7,61,369:57:00,11:13,4,5,44.4,14,38,7,17
545,Cole Smith,30,2TM,F,63,8,4,12,-7,40,0.19047619,0.063492063,0.126984127,8,0,0,2,69,11.6,145,836:45:00,13:17,6,14,30,18,173,14,21
545,Cole Smith,30,NSH,F,42,6,4,10,-7,31,0.238095238,0.095238095,0.142857143,6,0,0,1,51,11.8,104,592:36:00,14:07,4,12,25,12,119,13,15
545,Cole Smith,30,VEG,F,21,2,0,2,0,9,0.095238095,0,0.095238095,2,0,0,1,18,11.1,41,244:09:00,11:38,2,2,50,6,54,1,6
546,Carson Soucy,31,2TM,D,76,5,7,12,-6,38,0.157894737,0.092105263,0.065789474,5,0,0,0,62,8.1,159,1255:28:00,16:31,0,0,,91,105,20,77
546,Carson Soucy,31,NYR,D,46,3,5,8,4,18,0.173913043,0.108695652,0.065217391,3,0,0,0,39,7.7,94,791:51:00,17:13,0,0,,66,71,14,49
546,Carson Soucy,31,NYI,D,30,2,2,4,-10,20,0.133333333,0.066666667,0.066666667,2,0,0,0,23,8.7,65,463:37:00,15:27,0,0,,25,34,6,28
547,Brett Kulak,32,3TM,D,83,1,11,12,-4,38,0.144578313,0.13253012,0.012048193,1,0,0,0,95,1.1,222,1573:45:00,18:58,0,0,,108,19,14,64
547,Brett Kulak,32,EDM,D,31,0,2,2,-7,10,0.064516129,0.064516129,0,0,0,0,0,33,0,87,548:52:00,17:42,0,0,,38,4,5,18
547,Brett Kulak,32,PIT,D,25,1,6,7,2,18,0.28,0.24,0.04,1,0,0,0,29,3.4,68,508:08:00,20:20,0,0,,39,5,3,22
547,Brett Kulak,32,COL,D,27,0,3,3,1,10,0.111111111,0.111111111,0,0,0,0,0,33,0,67,516:45:00,19:08,0,0,,31,10,6,24
548,Erik Černák,28,TBL,D,61,3,8,11,3,74,0.180327869,0.131147541,0.049180328,3,0,0,1,53,5.7,123,1074:33:00,17:37,0,0,,99,112,15,55
549,Ty Dellandrea,25,SJS,C,46,2,9,11,-18,22,0.239130435,0.195652174,0.043478261,1,0,1,0,50,4,93,652:43:00,14:11,280,259,51.9,37,130,7,25
550,Dante Fabbro,27,CBJ,D,74,5,6,11,-16,33,0.148648649,0.081081081,0.067567568,5,0,0,1,68,7.4,174,1225:51:00,16:34,0,0,,120,65,20,59
551,Kaiden Guhle,24,MTL,D,39,2,9,11,5,41,0.282051282,0.230769231,0.051282051,2,0,0,2,39,5.1,106,759:03:00,19:28,0,0,,63,86,21,36
