SEASON,RANK,PLAYER,AGE,TEAM,POSITION,GP,G,A,PTS,PLUS_MIN,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO_PCT,BLK,HIT,TAKE,GIVE
2022_2023,1,Connor McDavid,26,EDM,C,82,64,89,153,22,36,39,21,4,11,36,50,3,352,18.2,529,1835:37:00,22:23,525,486,51.9,40,89,82,77
2022_2023,2,Leon Draisaitl,27,EDM,C,80,52,76,128,7,24,19,32,1,11,45,30,1,247,21.1,423,1738:43:00,21:44,807,663,54.9,40,66,77,102
2022_2023,3,Nikita Kucherov,29,TBL,RW,82,30,83,113,-2,36,22,8,0,4,41,42,0,271,11.1,545,1650:51:00,20:08,2,0,100,28,61,57,98
2022_2023,4,David Pastrňák,26,BOS,RW,82,61,52,113,34,38,43,18,0,13,33,19,0,407,15,727,1604:17:00,19:34,8,11,42.1,33,91,52,109
2022_2023,5,Nathan MacKinnon,27,COL,C,71,42,69,111,29,30,30,12,0,9,47,22,0,366,11.5,629,1584:32:00,22:19,519,649,44.4,40,53,43,47
2022_2023,6,Jason Robertson,23,DAL,LW,82,46,63,109,37,20,33,13,0,7,35,28,0,313,14.7,565,1544:47:00,18:50,0,1,0,19,57,62,66
2022_2023,7,Matthew Tkachuk,25,FLA,LW,79,40,69,109,29,123,26,14,0,6,46,22,1,322,12.4,536,1614:26:00,20:26,13,16,44.8,31,68,38,62
2022_2023,8,Mikko Rantanen,26,COL,RW,82,55,50,105,15,82,42,13,0,9,26,24,0,306,18,558,1822:23:00,22:13,222,231,49,41,77,61,45
2022_2023,9,Ryan Nugent-Hopkins,29,EDM,C,82,37,67,104,12,35,21,15,1,3,26,38,3,201,18.4,328,1623:42:00,19:48,308,374,45.2,26,48,56,31
2022_2023,10,Elias Pettersson,24,VAN,C,80,39,63,102,16,14,28,6,5,6,40,19,4,257,15.2,489,1644:23:00,20:33,442,555,44.3,89,74,56,47
2022_2023,11,Erik Karlsson,32,SJS,D,82,25,76,101,-26,36,20,5,0,4,54,22,0,209,12,505,2100:26:00,25:37:00,0,1,0,90,33,81,101
2022_2023,12,Jack Hughes,21,NJD,C,78,43,56,99,10,6,34,9,0,6,34,22,0,336,12.8,554,1557:21:00,19:58,164,300,35.3,30,12,60,85
2022_2023,13,Mitch Marner,25,TOR,RW,80,30,69,99,18,28,17,9,4,4,41,27,1,196,15.3,402,1702:06:00,21:17,0,4,0,45,53,104,94
2022_2023,14,Brayden Point,26,TBL,C,82,51,44,95,2,7,31,20,0,9,34,10,0,235,21.7,393,1612:55:00,19:40,417,405,50.7,37,37,51,45
2022_2023,15,Tage Thompson,25,BUF,C,78,47,47,94,4,39,26,20,1,7,33,14,0,295,15.9,542,1450:02:00,18:35,350,463,43.1,26,55,43,40
2022_2023,16,Sidney Crosby,35,PIT,C,82,33,60,93,8,52,24,9,0,9,42,18,0,255,12.9,443,1651:46:00,20:09,978,868,53,47,71,59,67
2022_2023,17,Artemi Panarin,31,NYR,LW,82,29,63,92,4,36,20,9,0,4,36,27,0,204,14.2,430,1607:50:00,19:36,6,13,31.6,11,26,36,102
2022_2023,18,Mika Zibanejad,29,NYR,C,82,39,52,91,25,20,18,20,1,5,32,19,1,251,15.5,440,1636:54:00,19:58,692,706,49.5,48,71,57,67
2022_2023,19,Tim Stützle,21,OTT,LW,78,39,51,90,-3,54,26,10,3,3,33,18,0,228,17.1,442,1658:40:00,21:16,202,284,41.6,49,114,61,62
2022_2023,20,William Nylander,26,TOR,C,82,40,47,87,10,28,31,9,0,5,28,19,0,293,13.7,516,1520:27:00,18:33,25,34,42.4,26,18,70,37
2022_2023,21,Clayton Keller,24,ARI,C,82,37,49,86,-2,49,30,6,1,4,35,14,0,223,16.6,382,1701:31:00,20:45,22,41,34.9,34,18,58,63
2022_2023,22,Auston Matthews,25,TOR,C,74,40,45,85,31,20,27,13,0,8,30,15,0,327,12.2,568,1500:36:00,20:17,550,499,52.4,92,78,68,55
2022_2023,23,Steven Stamkos,32,TBL,C,81,34,50,84,-5,46,20,14,0,6,29,21,0,240,14.2,449,1540:41:00,19:01,501,430,53.8,51,92,25,54
2022_2023,24,Zach Hyman,30,EDM,LW,79,36,47,83,13,39,21,15,0,3,36,11,0,276,13,430,1591:54:00,20:09,6,6,50,19,77,33,30
2022_2023,25,Evgeni Malkin,36,PIT,C,82,27,56,83,-12,82,16,11,0,3,31,25,0,240,11.3,417,1523:36:00,18:35,422,434,49.3,33,53,82,105
2022_2023,26,Brady Tkachuk,23,OTT,LW,82,35,48,83,-10,126,24,11,0,6,30,18,0,347,10.1,559,1527:50:00,18:38,370,395,48.4,9,242,30,51
2022_2023,27,J.T. Miller,29,VAN,C,81,32,50,82,-7,60,16,11,5,3,27,19,4,223,14.3,404,1675:02:00,20:41,487,399,55,51,200,58,46
2022_2023,28,Jeff Skinner,30,BUF,LW,79,35,47,82,15,39,27,8,0,3,34,13,0,242,14.5,433,1374:23:00,17:24,142,158,47.3,14,21,41,46
2022_2023,29,Kyle Connor,26,WPG,LW,82,31,49,80,-11,20,23,8,0,8,28,21,0,273,11.4,497,1683:24:00,20:32,2,5,28.6,24,43,42,40
2022_2023,30,Nico Hischier,24,NJD,C,81,31,49,80,33,10,21,7,3,9,36,12,1,256,12.1,417,1562:26:00,19:17,891,763,53.9,61,34,64,41
2022_2023,31,John Tavares,32,TOR,C,80,36,44,80,-7,34,18,18,0,9,23,21,0,277,13,464,1412:31:00,17:39,726,519,58.3,36,112,46,54
2022_2023,32,Claude Giroux,35,OTT,C,82,35,44,79,4,34,28,7,0,6,26,17,1,214,16.4,357,1541:16:00,18:48,712,509,58.3,30,75,52,32
2022_2023,33,Dylan Larkin,26,DET,C,80,32,47,79,-7,45,15,16,1,5,32,15,0,244,13.1,465,1564:27:00,19:33,737,618,54.4,27,47,56,47
2022_2023,34,Alex Tuch,26,BUF,RW,74,36,43,79,14,20,27,8,1,9,31,12,0,218,16.5,363,1417:24:00,19:09,32,43,42.7,46,54,64,38
2022_2023,35,Aleksander Barkov,27,FLA,C,68,23,55,78,10,8,14,8,1,6,32,22,1,208,11.1,345,1443:15:00,21:13,731,601,54.9,48,52,56,38
2022_2023,36,Jamie Benn,33,DAL,LW,82,33,45,78,23,34,18,13,2,4,27,17,1,190,17.4,330,1294:15:00,15:47,520,345,60.1,38,97,55,48
2022_2023,37,Joe Pavelski,38,DAL,C,82,28,49,77,42,8,15,13,0,2,34,14,1,184,15.2,337,1453:16:00,17:43,368,321,53.4,64,93,32,57
2022_2023,38,Quinn Hughes,23,VAN,D,78,7,69,76,15,34,5,2,0,0,36,32,1,154,4.5,368,2001:35:00,25:40:00,0,0,,71,29,56,45
2022_2023,39,Josh Morrissey,27,WPG,D,78,16,60,76,2,41,14,2,0,6,34,26,0,172,9.3,395,1890:02:00,24:14:00,0,0,,119,89,36,59
2022_2023,40,Roope Hintz,26,DAL,LW,73,37,38,75,31,30,25,9,3,5,26,12,0,184,20.1,316,1281:43:00,17:33,249,230,52,45,47,26,38
2022_2023,41,Kirill Kaprizov,25,MIN,LW,67,40,35,75,4,45,23,17,0,6,20,15,0,261,15.3,498,1414:33:00,21:07,2,3,40,28,66,50,54
2022_2023,42,Brock Nelson,31,NYI,C,82,36,39,75,13,24,30,6,0,8,28,11,0,222,16.2,418,1511:43:00,18:26,490,547,47.3,43,50,48,40
2022_2023,43,Alex Ovechkin,37,WSH,LW,73,42,33,75,-16,48,28,14,0,3,22,11,0,294,14.3,578,1474:54:00,20:12,4,5,44.4,23,188,31,52
2022_2023,44,Johnny Gaudreau,29,CBJ,LW,80,21,53,74,-33,22,18,3,0,4,32,21,0,220,9.5,398,1553:27:00,19:25,0,0,,18,5,49,50
2022_2023,45,Dougie Hamilton,29,NJD,D,82,22,52,74,23,50,14,8,0,7,32,20,0,275,8,562,1785:30:00,21:46,0,0,,86,64,21,74
2022_2023,46,Anže Kopitar,35,LAK,C,82,28,46,74,20,4,21,7,0,4,32,13,1,169,16.6,290,1664:47:00,20:18,899,709,55.9,87,68,46,49
2022_2023,47,Andrei Kuzmenko,26,VAN,F,81,39,35,74,9,8,25,14,0,4,30,5,0,143,27.3,276,1315:35:00,16:15,0,1,0,18,13,32,29
2022_2023,48,Jesper Bratt,24,NJD,W,82,32,41,73,14,6,24,8,0,3,27,14,0,212,15.1,381,1424:08:00,17:22,0,0,,23,24,41,44
2022_2023,49,Rasmus Dahlin,22,BUF,D,78,15,58,73,12,92,9,6,0,2,32,26,0,204,7.4,378,2012:04:00,25:48:00,0,0,,132,105,45,61
2022_2023,50,Jake Guentzel,28,PIT,C,78,36,37,73,2,46,25,11,0,6,25,12,0,244,14.8,446,1569:03:00,20:07,8,8,50,46,83,44,48
2022_2023,51,Miro Heiskanen,23,DAL,D,79,11,62,73,12,32,9,2,0,2,29,32,1,206,5.3,441,2013:48:00,25:29:00,0,0,,96,49,53,65
2022_2023,52,Jordan Kyrou,24,STL,C,79,37,36,73,-38,22,26,11,0,5,23,12,1,272,13.6,470,1422:17:00,18:00,5,9,35.7,35,14,54,55
2022_2023,53,Brandon Montour,28,FLA,D,80,16,57,73,9,107,13,3,0,5,27,30,0,242,6.6,459,1930:06:00,24:08:00,0,0,,93,92,33,52
2022_2023,54,Tyler Toffoli,30,CGY,C,82,34,39,73,16,28,24,10,0,4,24,15,0,268,12.7,477,1362:06:00,16:37,7,5,58.3,14,59,41,32
2022_2023,55,Carter Verhaeghe,27,FLA,C,81,42,31,73,10,46,35,7,0,2,25,6,0,275,15.3,470,1417:40:00,17:30,20,21,48.8,31,29,35,56
2022_2023,56,Kevin Fiala,26,LAK,LW,69,23,49,72,2,52,16,7,0,2,32,17,0,208,11.1,361,1214:04:00,17:36,8,8,50,18,53,18,37
2022_2023,57,Adam Fox,24,NYR,D,82,12,60,72,28,34,11,1,0,5,29,28,3,159,7.5,331,1998:58:00,24:23:00,0,0,,125,25,88,74
2022_2023,58,Martin Nečas,24,CAR,C,82,28,43,71,5,32,19,9,0,5,25,17,1,240,11.7,438,1509:48:00,18:25,188,229,45.1,21,57,45,65
2022_2023,59,Jared McCann,26,SEA,C,79,40,30,70,18,14,30,7,3,3,21,9,0,210,19,396,1290:48:00,16:20,26,52,33.3,28,65,56,28
2022_2023,60,Bo Horvat,27,2TM,C,79,38,32,70,-1,18,22,12,4,5,21,10,1,229,16.6,355,1631:41:00,20:39,958,727,56.9,55,57,38,37
2022_2023,60,Bo Horvat,27,VAN,C,49,31,23,54,3,12,17,11,3,4,15,7,1,143,21.7,215,1019:41:00,20:49,625,491,56,30,37,27,15
2022_2023,60,Bo Horvat,27,NYI,C,30,7,9,16,-4,6,5,1,1,1,6,3,0,86,8.1,140,612:00:00,20:24,333,236,58.5,25,20,11,22
2022_2023,61,Dylan Cozens,21,BUF,C,81,31,37,68,-3,41,24,5,2,1,23,13,1,211,14.7,336,1336:15:00,16:30,567,607,48.3,30,55,36,20
2022_2023,62,Mark Scheifele,29,WPG,C,81,42,26,68,-16,43,30,12,0,10,16,10,0,206,20.4,363,1658:49:00,20:29,579,628,48,38,50,61,45
2022_2023,63,Sebastian Aho,25,CAR,F,75,36,31,67,8,42,26,7,3,9,22,8,1,218,16.5,377,1462:10:00,19:30,531,503,51.4,21,59,63,63
2022_2023,64,Pavel Buchnevich,27,STL,LW,63,26,41,67,14,36,18,8,0,2,26,13,2,123,21.1,227,1225:32:00,19:27,64,150,29.9,23,54,35,31
2022_2023,65,Logan Couture,33,SJS,C,82,27,40,67,-30,19,21,5,1,4,25,15,0,198,13.6,341,1568:47:00,19:08,640,709,47.4,70,128,71,35
2022_2023,66,Adrian Kempe,26,LAK,LW,82,41,26,67,22,55,27,11,3,6,17,9,0,250,16.4,451,1538:09:00,18:45,16,35,31.4,32,119,24,39
2022_2023,67,Brad Marchand,34,BOS,LW,73,21,46,67,27,74,12,9,0,4,25,20,1,183,11.5,335,1352:33:00,18:32,22,35,38.6,22,81,42,84
2022_2023,68,Sam Reinhart,27,FLA,C,82,31,36,67,-12,12,15,16,0,5,22,11,3,227,13.7,407,1622:03:00,19:47,236,230,50.6,49,58,35,38
2022_2023,69,Mats Zuccarello,35,MIN,LW,78,22,45,67,-3,26,13,9,0,3,25,20,0,198,11.1,381,1575:06:00,20:12,24,36,40,51,51,45,44
2022_2023,70,Alex DeBrincat,25,OTT,RW,82,27,39,66,-31,45,16,11,0,6,20,19,0,263,10.3,471,1558:31:00,19:00,10,9,52.6,38,109,44,39
2022_2023,71,Jack Eichel,26,VEG,C,67,27,39,66,26,6,25,2,0,2,26,12,1,223,12.1,359,1257:23:00,18:46,359,434,45.3,56,59,47,54
2022_2023,72,Cale Makar,24,COL,D,60,17,49,66,16,30,12,5,0,6,24,25,0,176,9.7,403,1582:49:00,26:23:00,0,0,,78,65,50,48
2022_2023,73,Nick Suzuki,23,MTL,C,82,26,40,66,-13,33,16,7,3,2,30,10,0,162,16,294,1729:50:00,21:06,663,738,47.3,56,50,42,52
2022_2023,74,Timo Meier,26,2TM,RW,78,40,26,66,-19,43,23,17,0,5,20,6,0,327,12.2,599,1512:17:00,19:23,21,36,36.8,37,154,58,65
2022_2023,74,Timo Meier,26,SJS,RW,57,31,21,52,-19,25,18,13,0,4,16,5,0,255,12.2,457,1138:40:00,19:59,21,31,40.4,26,112,48,47
2022_2023,74,Timo Meier,26,NJD,RW,21,9,5,14,0,18,5,4,0,1,4,1,0,72,12.5,142,373:37:00,17:47,0,5,0,11,42,10,18
2022_2023,75,Brayden Schenn,31,STL,C,82,21,44,65,-27,50,15,6,0,3,35,9,0,144,14.6,284,1511:12:00,18:26,472,542,46.5,41,140,41,47
2022_2023,76,Chandler Stephenson,28,VEG,C,81,16,49,65,12,26,9,6,1,5,38,9,2,120,13.3,203,1540:23:00,19:01,675,487,58.1,56,74,64,30
2022_2023,77,Dylan Strome,25,WSH,C,81,23,42,65,-4,24,20,3,0,2,24,18,0,154,14.9,275,1351:39:00,16:41,528,554,48.8,43,20,45,42
2022_2023,78,Robert Thomas,23,STL,C,73,18,47,65,-8,22,12,5,1,2,30,17,0,106,17,175,1412:04:00,19:21,646,575,52.9,29,15,67,40
2022_2023,79,Trevor Zegras,21,ANA,C,81,23,42,65,-24,88,19,4,0,3,29,13,0,184,12.5,369,1525:00:00,18:50,237,336,41.4,29,46,31,75
2022_2023,80,Vince Dunn,26,SEA,D,81,14,50,64,28,55,14,0,0,2,35,15,0,149,9.4,334,1917:13:00,23:40,0,0,,80,115,50,54
2022_2023,81,Brandon Hagel,24,TBL,LW,81,30,34,64,23,54,22,7,1,3,26,6,2,178,16.9,306,1510:24:00,18:39,23,58,28.4,58,68,92,48
2022_2023,82,Alex Killorn,33,TBL,C,82,27,37,64,18,45,23,3,1,5,27,9,1,143,18.9,239,1411:08:00,17:13,1,1,50,31,61,40,54
2022_2023,83,Elias Lindholm,28,CGY,C,80,22,42,64,6,14,11,10,1,2,29,11,2,186,11.8,341,1492:07:00,18:39,857,681,55.7,50,98,42,33
2022_2023,84,Mikhail Sergachev,24,TBL,D,79,10,54,64,13,53,7,3,0,2,29,24,1,156,6.4,352,1881:04:00,23:49,0,0,,149,128,55,45
2022_2023,85,Vincent Trocheck,29,NYR,C,82,22,42,64,3,58,13,9,0,3,34,8,0,225,9.8,410,1583:54:00,19:19,721,565,56.1,44,182,55,64
2022_2023,86,Matt Boldy,21,MIN,LW,81,31,32,63,1,39,23,8,0,5,14,18,0,255,12.2,486,1498:29:00,18:30,77,64,54.6,26,65,51,42
2022_2023,87,Pierre-Luc Dubois,24,WPG,LW,73,27,36,63,5,77,16,11,0,1,24,12,0,205,13.2,380,1346:59:00,18:27,483,505,48.9,47,71,40,47
2022_2023,88,Jordan Eberle,32,SEA,RW,82,20,43,63,6,34,17,3,0,4,31,12,0,177,11.3,321,1368:07:00,16:41,34,43,44.2,25,44,55,33
2022_2023,89,Tomáš Hertl,29,SJS,C,79,22,41,63,-36,42,16,6,0,1,25,16,0,183,12,342,1523:13:00,19:17,792,653,54.8,57,91,50,39
2022_2023,90,Drake Batherson,24,OTT,C,82,22,40,62,-35,33,8,14,0,2,25,15,0,249,8.8,443,1525:42:00,18:36,13,25,34.2,35,115,38,38
2022_2023,91,Brent Burns,37,CAR,D,82,18,43,61,19,44,14,4,0,2,24,19,0,255,7.1,554,1903:39:00,23:13,1,0,100,86,40,55,52
2022_2023,92,Joel Eriksson Ek,26,MIN,C,78,23,38,61,4,44,9,12,2,1,26,11,1,247,9.3,397,1481:35:00,0.791666667,684,702,49.4,55,119,44,14
2022_2023,93,Travis Konecny,25,PHI,C,60,31,30,61,-12,77,23,5,3,5,17,10,3,191,16.2,358,1206:59:00,20:07,28,32,46.7,38,55,34,26
2022_2023,94,Troy Terry,25,ANA,C,70,23,38,61,-8,22,18,5,0,3,31,7,0,188,12.2,352,1355:45:00,19:22,2,0,100,23,12,43,27
2022_2023,95,Rickard Rakell,29,PIT,RW,82,28,32,60,-5,16,17,11,0,2,22,10,0,243,11.5,436,1511:54:00,18:26,10,11,47.6,53,141,29,42
2022_2023,96,Viktor Arvidsson,29,LAK,LW,77,26,33,59,-4,24,15,10,1,2,18,15,0,228,11.4,418,1316:24:00,17:06,27,40,40.3,48,25,19,35
2022_2023,97,Roman Josi,32,NSH,D,67,18,41,59,5,36,10,8,0,5,25,16,0,269,6.7,542,1686:12:00,25:10:00,0,0,,146,51,24,29
2022_2023,98,Casey Mittelstadt,24,BUF,C,82,15,44,59,-8,22,10,4,1,2,32,12,0,135,11.1,228,1289:43:00,15:44,338,398,45.9,16,30,50,42
2022_2023,99,Patrice Bergeron,37,BOS,C,78,27,31,58,35,22,16,9,2,7,21,10,0,249,10.8,437,1356:33:00,17:24,1043,663,61.1,54,66,38,21
2022_2023,100,Nick Schmaltz,26,ARI,C,63,22,36,58,4,20,16,6,0,2,29,6,1,132,16.7,251,1241:41:00,19:43,40,60,40,28,12,61,55
2022_2023,101,Matty Beniers,20,SEA,C,80,24,33,57,14,2,20,4,0,4,26,6,1,148,16.2,270,1367:22:00,17:06,409,560,42.2,48,79,55,48
2022_2023,102,Jonathan Marchessault,32,VEG,C,76,28,29,57,2,21,19,9,0,4,22,7,0,234,12,432,1302:40:00,17:08,21,35,37.5,17,76,40,30
2022_2023,103,Pavel Zacha,25,BOS,C,82,21,36,57,26,16,18,3,0,3,30,5,1,131,16,220,1316:35:00,16:03,134,162,45.3,21,67,31,35
2022_2023,104,Patrick Kane,34,2TM,RW,73,21,36,57,-22,16,17,4,0,1,18,18,0,227,9.3,371,1409:32:00,19:19,1,1,50,19,13,31,61
2022_2023,104,Patrick Kane,34,CHI,RW,54,16,29,45,-23,10,14,2,0,0,13,16,0,182,8.8,285,1077:15:00,19:57,1,0,100,10,10,23,44
2022_2023,104,Patrick Kane,34,NYR,RW,19,5,7,12,1,6,3,2,0,1,5,2,0,45,11.1,86,332:17:00,17:29,0,1,0,9,3,8,17
2022_2023,105,Mikael Backlund,33,CGY,C,82,19,37,56,24,36,13,5,1,2,27,7,3,260,7.3,424,1489:22:00,18:10,705,681,50.9,31,97,60,43
2022_2023,106,Matt Duchene,32,NSH,C,71,22,34,56,4,32,17,5,0,3,26,8,0,168,13.1,319,1300:43:00,18:19,137,122,52.9,32,27,35,60
2022_2023,107,Nazem Kadri,32,CGY,C,82,24,32,56,-19,56,13,11,0,4,24,8,0,267,9,490,1411:07:00,17:13,586,648,47.5,31,99,34,50
2022_2023,108,David Krejčí,36,BOS,C,70,16,40,56,23,20,12,4,0,2,32,8,0,112,14.3,202,1203:37:00,17:12,351,389,47.4,38,41,17,36
2022_2023,109,Dawson Mercer,21,NJD,C,82,27,29,56,22,14,24,2,1,6,20,8,1,161,16.8,274,1357:57:00,16:34,70,95,42.4,63,36,22,35
2022_2023,110,David Perron,34,DET,LW,82,24,32,56,-7,52,18,6,0,3,16,16,0,195,12.3,350,1387:19:00,16:55,2,9,18.2,24,107,40,32
2022_2023,111,Reilly Smith,31,VEG,RW,78,26,30,56,11,16,16,6,4,4,26,4,0,180,14.4,311,1323:38:00,16:58,4,3,57.1,32,69,30,38
2022_2023,112,Max Domi,27,2TM,LW,80,20,36,56,-15,82,12,8,0,4,25,11,0,179,11.2,323,1421:40:00,17:46,510,440,53.7,24,22,65,51
2022_2023,112,Max Domi,27,CHI,LW,60,18,31,49,-9,76,10,8,0,4,21,10,0,143,12.6,251,1097:59:00,18:18,445,383,53.7,18,16,47,43
2022_2023,112,Max Domi,27,DAL,LW,20,2,5,7,-6,6,2,0,0,0,4,1,0,36,5.6,72,323:41:00,16:11,65,57,53.3,6,6,18,8
2022_2023,113,Brock Boeser,25,VAN,RW,74,18,37,55,-20,24,12,6,0,3,27,10,0,178,10.1,309,1275:51:00,17:14,22,35,38.6,32,49,23,21
2022_2023,114,Jonathan Huberdeau,29,CGY,LW,79,15,40,55,2,36,11,4,0,1,29,11,0,126,11.9,233,1332:16:00,16:52,5,10,33.3,27,65,34,62
2022_2023,115,Evgeny Kuznetsov,30,WSH,C,81,12,43,55,-26,56,7,5,0,2,30,13,0,172,7,320,1462:49:00,18:04,508,561,47.5,29,43,43,63
2022_2023,116,Andrei Svechnikov,22,CAR,RW,64,23,32,55,6,71,18,5,0,4,21,11,0,205,11.2,411,1155:05:00,18:03,4,5,44.4,17,140,35,49
2022_2023,117,Blake Wheeler,36,WPG,RW,72,16,39,55,-3,46,9,7,0,6,31,8,0,126,12.7,254,1227:11:00,17:03,65,61,51.6,35,54,45,27
2022_2023,118,Tyson Barrie,31,2TM,D,85,13,42,55,-7,36,9,4,0,1,14,27,1,163,8,329,1681:10:00,19:47,0,0,,90,55,32,48
2022_2023,118,Tyson Barrie,31,EDM,D,61,10,33,43,-3,26,6,4,0,0,9,24,0,115,8.7,229,1167:35:00,19:08,0,0,,68,43,25,28
2022_2023,118,Tyson Barrie,31,NSH,D,24,3,9,12,-4,10,3,0,0,1,5,3,1,48,6.3,100,513:35:00,21:24,0,0,,22,12,7,20
2022_2023,119,Phillip Danault,29,LAK,C,82,18,36,54,-8,63,15,3,0,1,17,17,2,152,11.8,251,1502:39:00,18:20,692,581,54.4,75,81,27,32
2022_2023,120,Kevin Hayes,30,PHI,RW,81,18,36,54,-22,23,12,6,0,1,26,10,0,209,8.6,387,1422:49:00,17:34,334,342,49.4,22,52,40,35
2022_2023,121,Chris Kreider,31,NYR,LW,79,36,18,54,21,26,24,8,4,3,9,9,0,229,15.7,382,1454:38:00,18:25,38,46,45.2,24,128,31,39
2022_2023,122,Alex Pietrangelo,33,VEG,D,73,11,43,54,13,16,10,1,0,3,28,13,2,170,6.5,335,1750:38:00,23:59,1,0,100,177,65,56,52
2022_2023,123,William Karlsson,30,VEG,C,82,14,39,53,14,10,10,2,2,2,29,7,3,161,8.7,290,1432:27:00,17:28,632,510,55.3,50,50,44,33
2022_2023,124,Hampus Lindholm,29,BOS,D,80,10,43,53,49,56,9,1,0,2,27,16,0,158,6.3,300,1854:57:00,23:11,0,0,,100,78,31,65
2022_2023,125,J.T. Compher,27,COL,LW,82,17,35,52,8,33,12,5,0,3,26,9,0,154,11,255,1684:20:00,20:32,813,852,48.8,82,37,28,28
2022_2023,126,Drew Doughty,33,LAK,D,81,9,43,52,12,34,5,4,0,2,20,23,0,145,6.2,290,2124:33:00,26:14:00,0,0,,104,115,22,59
2022_2023,127,Patrik Laine,24,CBJ,RW,55,22,30,52,-12,16,14,8,0,1,22,8,0,184,12,359,1051:39:00,19:07,28,52,35,27,27,24,40
2022_2023,128,Charlie McAvoy,25,BOS,D,67,7,45,52,29,54,5,2,0,2,28,17,0,105,6.7,225,1494:20:00,22:18,0,0,,131,84,26,45
2022_2023,129,Mathew Barzal,25,NYI,C,58,14,37,51,5,22,10,4,0,5,22,15,0,139,10.1,254,1085:33:00,18:43,104,188,35.6,34,25,49,68
2022_2023,130,Artturi Lehkonen,27,COL,LW,64,21,30,51,8,28,12,8,1,3,18,12,0,150,14,276,1308:57:00,20:27,4,19,17.4,43,93,26,12
2022_2023,131,Jake DeBrusk,26,BOS,LW,64,27,23,50,26,16,21,6,0,6,14,8,1,191,14.1,298,1073:42:00,16:47,4,11,26.7,22,85,28,18
2022_2023,132,Justin Faulk,30,STL,D,82,11,39,50,-4,34,9,2,0,3,31,8,0,196,5.6,352,1916:56:00,23:23,0,0,,140,112,51,58
2022_2023,133,Anders Lee,32,NYI,LW,82,28,22,50,-3,50,22,6,0,4,14,8,0,214,13.1,336,1412:18:00,17:13,27,23,54,57,125,25,35
2022_2023,134,Tyler Seguin,31,DAL,C,76,21,29,50,3,24,13,7,1,3,24,4,1,189,11.1,303,1262:56:00,16:37,476,394,54.7,23,84,28,33
2022_2023,135,Devon Toews,28,COL,D,80,7,43,50,39,26,6,1,0,0,37,6,0,165,4.2,309,2008:30:00,25:06:00,0,0,,138,93,45,39
2022_2023,136,Vladimir Tarasenko,31,2TM,RW,69,18,32,50,-14,8,14,3,1,1,21,11,0,169,10.7,303,1159:13:00,16:48,0,2,0,36,75,24,26
2022_2023,136,Vladimir Tarasenko,31,STL,RW,38,10,19,29,-18,8,7,2,1,0,12,7,0,103,9.7,183,665:40:00,17:31,0,2,0,15,44,18,11
2022_2023,136,Vladimir Tarasenko,31,NYR,RW,31,8,13,21,4,0,7,1,0,1,9,4,0,66,12.1,120,493:33:00,15:55,0,0,,21,31,6,15
2022_2023,137,Rasmus Andersson,26,CGY,D,79,11,38,49,5,26,9,1,1,4,17,20,1,159,6.9,304,1902:52:00,24:05:00,0,0,,136,50,29,51
2022_2023,138,Michael Bunting,27,TOR,LW,82,23,26,49,21,103,16,7,0,4,23,3,0,174,13.2,298,1295:21:00,15:48,1,1,50,18,85,49,38
2022_2023,139,Noah Dobson,23,NYI,D,78,13,36,49,4,20,8,5,0,2,22,14,0,206,6.3,481,1589:50:00,20:23,0,0,,104,60,39,49
2022_2023,140,Victor Hedman,32,TBL,D,76,9,40,49,10,42,7,1,1,1,25,13,2,185,4.9,397,1802:39:00,23:43,0,0,,136,95,48,79
2022_2023,141,Matias Maccelli,22,ARI,LW,64,11,38,49,0,18,10,1,0,1,26,12,0,61,18,131,1003:37:00,15:41,0,7,0,20,24,23,46
2022_2023,142,Owen Tippett,23,PHI,RW,77,27,22,49,-17,16,19,8,0,4,18,4,0,231,11.7,414,1341:54:00,17:26,19,11,63.3,69,125,44,25
2022_2023,143,Cam Fowler,31,ANA,D,82,10,38,48,-23,14,6,4,0,1,28,10,0,130,7.7,294,1982:14:00,24:10:00,0,0,,104,18,34,48
2022_2023,144,Yanni Gourde,31,SEA,C,81,14,34,48,23,76,10,3,1,2,33,1,0,141,9.9,244,1387:53:00,17:08,483,489,49.7,54,118,65,27
2022_2023,145,Tomáš Tatar,32,NJD,LW,82,20,28,48,41,30,19,1,0,1,25,3,0,153,13.1,276,1239:36:00,15:07,17,26,39.5,30,65,35,35
2022_2023,146,Jason Zucker,31,PIT,LW,78,27,21,48,-4,47,25,2,0,5,14,7,0,197,13.7,338,1221:10:00,15:39,4,11,26.7,29,197,35,39
2022_2023,147,Alexander Barabanov,28,SJS,F,68,15,32,47,-30,20,12,3,0,2,22,10,0,120,12.5,217,1227:37:00,18:03,1,2,33.3,37,40,28,35
2022_2023,148,Valeri Nichushkin,27,COL,RW,53,17,30,47,15,2,6,10,1,2,22,6,2,158,10.8,257,1074:22:00,20:16,0,4,0,37,54,31,26
2022_2023,149,Morgan Frost,23,PHI,C,81,19,27,46,-12,24,18,1,0,3,23,4,0,155,12.3,277,1323:47:00,16:21,436,515,45.8,53,85,37,26
