SEASON,RANK,PLAYER,AGE,TEAM,POSITION,GP,G,A,PTS,PLUS_MIN,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO_PCT,BLK,HIT,TAKE,GIVE
2021_2022,1,Connor McDavid,25,EDM,C,80,44,79,123,28,45,34,10,0,9,44,34,1,314,14,480,1765:18:00,22:04,562,484,53.7,26,75,73,68
2021_2022,2,Johnny Gaudreau,28,CGY,LW,82,40,75,115,64,26,34,6,0,9,56,19,0,262,15.3,463,1523:08:00,18:34,1,0,100,9,10,50,81
2021_2022,3,Jonathan Huberdeau,28,FLA,LW,80,30,85,115,35,54,22,5,3,7,50,33,2,222,13.5,344,1553:58:00,19:25,18,36,33.3,28,99,63,85
2021_2022,4,Leon Draisaitl,26,EDM,C,80,55,55,110,17,40,30,24,1,11,38,17,0,278,19.8,482,1787:56:00,22:21,887,774,53.4,25,53,74,88
2021_2022,5,Kirill Kaprizov,24,MIN,LW,81,47,61,108,27,34,33,14,0,5,44,17,0,289,16.3,515,1547:44:00,19:06,5,4,55.6,29,73,57,72
2021_2022,6,Auston Matthews,24,TOR,C,73,60,46,106,20,18,44,16,0,10,33,13,0,348,17.2,599,1504:28:00,20:37,691,538,56.2,62,67,92,48
2021_2022,7,Steven Stamkos,31,TBL,C,81,42,64,106,24,36,26,16,0,11,44,20,0,241,17.4,401,1497:08:00,18:29,545,523,51,31,93,30,24
2021_2022,8,Matthew Tkachuk,24,CGY,RW,82,42,62,104,57,68,30,12,0,6,45,17,0,253,16.6,455,1467:45:00,17:54,20,23,46.5,20,93,41,91
2021_2022,9,J.T. Miller,28,VAN,C,80,32,67,99,15,47,24,8,0,6,35,30,2,206,15.5,350,1686:09:00,21:05,667,566,54.1,56,172,56,62
2021_2022,10,Mitch Marner,24,TOR,RW,72,35,62,97,23,16,26,6,3,5,42,19,1,224,15.6,420,1503:34:00,20:53,10,8,55.6,31,75,72,63
2021_2022,11,Roman Josi,31,NSH,D,80,23,73,96,13,46,12,11,0,2,47,26,0,281,8.2,563,2044:21:00,25:33:00,0,0,,133,66,48,71
2021_2022,12,Artemi Panarin,30,NYR,LW,75,22,74,96,21,18,17,5,0,5,42,32,0,177,12.4,370,1441:07:00,19:13,1,1,50,14,22,56,71
2021_2022,13,Kyle Connor,25,WPG,LW,79,47,46,93,-3,4,36,8,3,9,26,20,0,317,14.8,499,1720:14:00,21:47,1,6,14.3,23,32,66,47
2021_2022,14,Patrick Kane,33,CHI,RW,78,26,66,92,-19,18,17,9,0,2,44,22,0,287,9.1,514,1702:13:00,21:49,4,4,50,26,11,42,49
2021_2022,15,Mikko Rantanen,25,COL,RW,75,36,56,92,35,56,20,16,0,2,37,19,0,254,14.2,459,1573:52:00,20:59,164,190,46.3,43,58,48,49
2021_2022,16,Alex Ovechkin,36,WSH,LW,77,50,40,90,8,18,33,16,1,5,27,13,0,334,15,642,1584:02:00,20:34,4,9,30.8,25,156,32,50
2021_2022,17,Aleksander Barkov,26,FLA,C,67,39,49,88,36,18,23,12,4,5,34,14,1,214,18.2,340,1360:19:00,20:18,713,539,56.9,42,50,59,51
2021_2022,18,Nathan MacKinnon,26,COL,C,65,32,56,88,22,42,25,7,0,5,36,20,0,299,10.7,501,1368:58:00,21:04,383,461,45.4,39,68,37,56
2021_2022,19,Nazem Kadri,31,COL,C,71,28,59,87,13,71,20,8,0,6,38,21,0,247,11.3,439,1365:58:00,19:14,585,592,49.7,19,52,36,34
2021_2022,20,Matt Duchene,31,NSH,C,78,43,43,86,6,38,27,16,0,6,30,13,0,228,18.9,382,1483:04:00,19:01,119,101,54.1,28,31,31,77
2021_2022,21,Cale Makar,23,COL,D,77,28,58,86,48,26,19,9,0,6,33,25,0,240,11.7,494,1976:26:00,25:40:00,0,0,,110,95,49,40
2021_2022,22,Kevin Fiala,25,MIN,LW,82,33,52,85,23,52,27,5,1,7,40,12,0,262,12.6,453,1447:04:00,17:39,4,11,26.7,21,52,38,54
2021_2022,23,Victor Hedman,31,TBL,D,82,20,65,85,26,36,14,6,0,6,33,32,0,219,9.1,462,2056:12:00,25:05:00,0,0,,129,93,52,56
2021_2022,24,Sidney Crosby,34,PIT,C,69,31,53,84,19,32,23,8,0,9,31,22,0,208,14.9,334,1378:14:00,19:58,760,690,52.4,37,50,34,54
2021_2022,25,Filip Forsberg,27,NSH,C,69,42,42,84,12,22,32,10,0,8,25,17,0,226,18.6,424,1248:45:00,18:06,1,0,100,48,112,53,56
2021_2022,26,Jake Guentzel,27,PIT,C,76,40,44,84,13,44,33,7,0,7,29,15,0,264,15.2,434,1527:24:00,20:06,13,12,52,38,72,41,23
2021_2022,27,Elias Lindholm,27,CGY,C,82,42,40,82,61,22,31,10,1,9,30,9,1,235,17.9,380,1635:29:00,19:57,842,750,52.9,52,66,55,41
2021_2022,28,Sam Reinhart,26,FLA,C,78,33,49,82,25,13,17,16,0,6,32,15,2,186,17.7,325,1385:11:00,17:46,174,185,48.5,30,49,37,43
2021_2022,29,Vladimir Tarasenko,30,STL,RW,75,34,48,82,7,32,29,5,0,9,30,17,1,230,14.8,382,1268:21:00,16:55,4,7,36.4,45,83,17,31
2021_2022,30,Sebastian Aho,24,CAR,F,79,37,44,81,18,38,23,13,1,9,27,15,2,221,16.7,402,1497:21:00,18:57,555,504,52.4,23,76,68,56
2021_2022,31,Joe Pavelski,37,DAL,C,82,27,54,81,11,14,15,12,0,2,41,13,0,216,12.5,374,1514:52:00,18:28,394,357,52.5,69,104,35,44
2021_2022,32,Mika Zibanejad,28,NYR,C,81,29,52,81,30,12,13,15,1,3,35,13,4,219,13.2,383,1590:49:00,19:38,700,638,52.3,47,67,62,58
2021_2022,33,Brad Marchand,33,BOS,LW,70,32,48,80,16,97,23,7,2,6,28,20,0,242,13.2,397,1347:23:00,19:15,14,27,34.1,20,78,40,62
2021_2022,34,William Nylander,25,TOR,C,81,34,46,80,-9,16,21,13,0,7,28,18,0,256,13.3,467,1480:03:00,18:16,34,31,52.3,30,19,59,33
2021_2022,35,Jason Robertson,22,DAL,LW,74,41,38,79,16,22,28,13,0,11,30,8,0,220,18.6,400,1340:20:00,18:07,0,0,,24,50,48,50
2021_2022,36,Mats Zuccarello,34,MIN,LW,70,24,55,79,21,24,17,7,0,2,34,21,0,159,15.1,268,1301:15:00,18:35,21,34,38.2,33,36,48,43
2021_2022,37,Alex DeBrincat,24,CHI,RW,82,41,37,78,-13,19,27,14,0,6,23,14,0,270,15.2,470,1710:13:00,20:51,24,40,37.5,35,101,67,47
2021_2022,38,Evgeny Kuznetsov,29,WSH,C,79,24,54,78,7,44,13,8,3,4,33,19,2,208,11.5,345,1602:09:00,20:17,507,659,43.5,25,42,54,51
2021_2022,39,Chris Kreider,30,NYR,LW,81,52,25,77,19,24,23,26,3,11,16,9,0,258,20.2,412,1517:09:00,18:44,67,70,48.9,39,141,27,45
2021_2022,40,David Pastrňák,25,BOS,RW,72,40,37,77,13,20,25,15,0,9,26,11,0,312,12.8,560,1339:45:00,18:36,7,14,33.3,14,63,36,77
2021_2022,41,Robert Thomas,22,STL,C,72,20,57,77,17,16,15,3,2,6,45,11,1,115,17.4,191,1351:41:00,18:46,562,565,49.9,25,13,60,50
2021_2022,42,Pavel Buchnevich,26,STL,LW,73,30,46,76,29,34,20,8,2,3,33,11,2,199,15.1,304,1335:55:00,18:18,13,26,33.3,15,57,46,41
2021_2022,43,Timo Meier,25,SJS,RW,77,35,41,76,-3,54,23,12,0,8,35,6,0,326,10.7,573,1475:01:00,19:09,18,19,48.6,61,162,49,53
2021_2022,44,John Tavares,31,TOR,C,79,27,49,76,-8,32,17,10,0,3,33,16,0,237,11.4,429,1427:51:00,18:04,813,529,60.6,44,90,40,65
2021_2022,45,Jordan Kyrou,23,STL,C,74,27,48,75,10,20,22,5,0,4,33,14,1,188,14.4,323,1226:36:00,16:35,6,9,40,23,6,36,32
2021_2022,46,Adam Fox,23,NYR,D,78,11,63,74,18,26,10,0,1,2,29,33,1,158,7,275,1864:45:00,23:54,0,0,,128,30,78,58
2021_2022,47,Jesper Bratt,23,NJD,W,76,26,47,73,0,16,23,3,0,6,32,15,0,197,13.2,324,1324:41:00,17:26,0,3,0,30,26,29,46
2021_2022,48,Roope Hintz,25,DAL,LW,80,37,35,72,15,28,25,9,3,7,19,15,1,213,17.4,367,1442:53:00,18:02,357,317,53,53,82,24,49
2021_2022,49,John Carlson,32,WSH,D,78,17,54,71,13,20,10,7,0,2,33,18,3,195,8.7,388,1857:15:00,23:49,0,0,,112,73,42,55
2021_2022,50,Mark Scheifele,28,WPG,C,67,29,41,70,-17,23,22,7,0,3,29,12,0,159,18.2,264,1415:58:00,21:08,430,418,50.7,47,36,49,60
2021_2022,51,Nikita Kucherov,28,TBL,RW,47,25,44,69,1,22,16,9,0,1,23,21,0,156,16,276,939:12:00,19:59,1,0,100,7,32,24,37
2021_2022,52,Dylan Larkin,25,DET,C,71,31,38,69,-18,47,25,6,0,4,30,7,1,212,14.6,385,1395:40:00,19:39,630,574,52.3,28,76,38,42
2021_2022,53,Andrei Svechnikov,21,CAR,RW,78,30,39,69,19,79,21,9,0,5,26,13,0,249,12,467,1346:16:00,17:16,0,6,0,15,189,44,72
2021_2022,54,Quinn Hughes,22,VAN,D,76,8,60,68,10,28,8,0,0,1,27,31,2,150,5.3,342,1919:07:00,25:15:00,0,0,,56,19,41,42
2021_2022,55,Kris Letang,34,PIT,D,78,10,58,68,20,49,8,2,0,3,38,20,0,214,4.7,403,2010:38:00,25:47:00,0,0,,122,171,59,79
2021_2022,56,Elias Pettersson,23,VAN,C,80,32,36,68,1,12,20,10,2,3,19,17,0,192,16.7,387,1487:36:00,18:36,238,302,44.1,43,49,56,39
2021_2022,57,Morgan Rielly,27,TOR,D,82,10,58,68,16,40,8,2,0,3,34,21,3,221,4.5,384,1946:31:00,23:44,0,0,,87,92,40,76
2021_2022,58,Tage Thompson,24,BUF,C,78,38,30,68,-17,37,26,10,2,4,24,6,0,253,15,457,1394:36:00,17:53,393,582,40.3,25,66,49,42
2021_2022,59,Anže Kopitar,34,LAK,C,81,19,48,67,-6,14,13,6,0,4,31,16,1,210,9,353,1682:19:00,20:46,858,651,56.9,71,72,48,30
2021_2022,60,Troy Terry,24,ANA,C,75,37,30,67,-11,26,29,8,0,7,23,7,0,192,19.3,327,1367:44:00,18:14,1,8,11.1,27,6,35,46
2021_2022,61,Brady Tkachuk,22,OTT,LW,79,30,37,67,-7,117,21,9,0,3,29,8,0,288,10.4,461,1485:07:00,18:48,218,217,50.1,25,270,41,68
2021_2022,62,Jonathan Marchessault,31,VEG,C,76,30,36,66,3,36,25,5,0,4,21,15,0,251,12,413,1334:50:00,17:34,43,57,43,17,61,38,46
2021_2022,63,Patrice Bergeron,36,BOS,C,73,25,40,65,26,32,17,8,0,4,22,15,3,293,8.5,427,1326:25:00,18:10,991,609,61.9,45,78,37,21
2021_2022,64,Ryan Hartman,27,MIN,RW,82,34,31,65,31,95,33,1,0,7,24,7,0,239,14.2,421,1490:48:00,18:11,513,631,44.8,48,72,35,30
2021_2022,65,Teuvo Teräväinen,27,CAR,F,77,22,43,65,22,24,11,9,2,2,20,22,1,202,10.9,326,1362:52:00,17:42,24,20,54.5,30,15,34,52
2021_2022,66,Claude Giroux,34,2TM,C,75,21,44,65,-5,26,16,5,0,0,26,18,0,205,10.2,339,1430:15:00,19:04,733,483,60.3,16,68,28,41
2021_2022,66,Claude Giroux,34,PHI,C,57,18,24,42,-12,20,15,3,0,0,15,9,0,154,11.7,249,1096:09:00,19:14,587,377,60.9,15,48,21,26
2021_2022,66,Claude Giroux,34,FLA,C,18,3,20,23,7,6,1,2,0,0,11,9,0,51,5.9,90,334:06:00,18:34,146,106,57.9,1,20,7,15
2021_2022,67,Mikael Granlund,29,NSH,C,80,11,53,64,-9,33,8,3,0,3,28,25,0,117,9.4,219,1633:10:00,20:25,569,637,47.2,45,92,57,51
2021_2022,68,Tomáš Hertl,28,SJS,C,82,30,34,64,-9,30,24,6,0,6,23,10,1,205,14.6,364,1635:05:00,19:56,769,697,52.5,57,105,65,31
2021_2022,69,Chandler Stephenson,27,VEG,C,79,21,43,64,5,26,14,6,1,3,34,8,1,125,16.8,195,1526:02:00,19:19,653,602,52,44,68,40,32
2021_2022,70,Michael Bunting,26,TOR,LW,79,23,40,63,27,80,21,2,0,2,37,3,0,175,13.1,296,1227:51:00,15:33,8,8,50,21,85,36,23
2021_2022,71,Ryan Johansen,29,NSH,C,79,26,37,63,-2,53,15,11,0,6,24,13,0,118,22,182,1308:32:00,16:34,691,622,52.6,35,72,39,45
2021_2022,72,Clayton Keller,23,ARI,C,67,28,35,63,3,28,22,5,1,2,28,6,1,177,15.8,274,1349:18:00,20:08,29,39,42.6,31,17,61,53
2021_2022,73,Jeff Skinner,29,BUF,LW,80,33,30,63,-14,42,28,5,0,4,24,6,0,262,12.6,406,1368:18:00,17:06,91,133,40.6,20,29,51,52
2021_2022,74,Tyler Bertuzzi,26,DET,LW,68,30,32,62,-11,47,23,6,1,5,23,8,1,180,16.7,306,1350:44:00,19:52,6,17,26.1,41,65,42,57
2021_2022,75,Jakub Voráček,32,CBJ,RW,79,6,56,62,-13,44,4,2,0,2,33,23,0,147,4.1,253,1379:17:00,17:28,5,28,15.2,28,27,44,51
2021_2022,76,André Burakovsky,26,COL,LW,80,22,39,61,12,18,18,4,0,5,32,7,0,149,14.8,313,1300:40:00,16:16,8,12,40,34,49,28,39
2021_2022,77,Taylor Hall,30,BOS,LW,81,20,41,61,11,42,13,7,0,3,33,8,0,217,9.2,322,1329:21:00,16:25,18,21,46.2,36,55,33,48
2021_2022,78,Nick Suzuki,22,MTL,C,82,21,40,61,-29,30,12,8,1,4,26,12,2,186,11.3,309,1681:50:00,20:31,699,711,49.6,62,89,50,71
2021_2022,79,Trevor Zegras,20,ANA,C,75,23,38,61,-21,50,14,9,0,5,30,8,0,181,12.7,333,1343:02:00,17:54,217,327,39.9,27,56,40,71
2021_2022,80,Ivan Barbashev,26,STL,C,81,26,34,60,4,40,21,4,1,2,28,5,1,111,23.4,188,1331:46:00,16:26,131,197,39.9,28,160,44,46
2021_2022,81,Pierre-Luc Dubois,23,WPG,LW,81,28,32,60,-6,106,13,15,0,6,28,4,0,233,12,393,1532:31:00,18:55,532,603,46.9,43,112,22,42
