SEASON,RANK,TEAM,PLAYOFF,AVG_AGE,GP,W,L,OL,PTS,PTS_PCT,GF,GA,SOW,SOL,SRS,SOS,GFPG,GAPG,PP,PPO,PP_PCT,PPA,PPOA,PK_PCT,SH,SHA,PIMPG,OPIMPG,S,S_PCT,SA,SV_PCT,SO,PDO,CF,CA,CF_PCT,FF,FA,FF_PCT,XGF,XGA,AGF,AGA,AX_DIFF,SCF,SCA,SCF_PCT,HDF,HDA,HDF_PCT,HDGF,HDC_PCT,HDGA,HDCO_PCT
2021_2022,28,New Jersey Devils,0,25.8,82,27,46,9,63,0.384,245,302,3,5,-0.68,0.04,2.99,3.68,35,225,15.56,42,212,80.19,6,14,8.1,8.4,2562,9.6,2540,0.881,2,98.6,3801,3734,50.4,2888,2874,50.1,185.4,180.3,181,216,-40,1892,1782,51.5,541,489,52.5,82,13.2,92,15.8
2021_2022,20,New York Islanders,0,30.1,82,37,35,10,84,0.512,229,231,2,6,-0.09,-0.02,2.79,2.82,46,208,22.12,34,215,84.19,5,7,8.9,8.4,2367,9.7,2669,0.913,9,100.9,3350,3929,46,2503,2922,46.1,174.9,196.6,159,160,21,1744,1963,47,526,602,46.6,74,12.3,66,9.9
2021_2022,8,New York Rangers,1,26.7,82,52,24,6,110,0.671,250,204,4,3,0.54,-0.03,3.05,2.49,55,218,25.23,40,226,82.3,8,2,8.2,8.2,2392,10.5,2528,0.919,9,101,3281,3687,47.1,2483,2756,47.4,163.9,177.1,158,148,23,1618,1853,46.6,494,573,46.3,75,13.2,64,10
2021_2022,26,Ottawa Senators,0,26.6,82,33,42,7,73,0.445,224,264,3,2,-0.44,0.03,2.73,3.22,47,243,19.34,49,249,80.32,9,4,10,10.2,2463,9.1,2740,0.904,2,99.5,3512,3821,47.9,2640,2852,48.1,161.6,187.8,147,175,-2,1701,1899,47.3,550,564,49.4,55,9.1,79,12.3
2021_2022,29,Philadelphia Flyers,0,28.3,82,25,46,11,61,0.372,210,294,1,4,-1,0.06,2.56,3.59,30,239,12.55,57,235,75.74,6,11,9,9,2539,8.3,2785,0.894,1,99.5,3403,3895,46.6,2564,2921,46.7,164.1,185.4,159,189,-9,1644,1876,46.7,542,588,48,74,12,76,11.4
2021_2022,12,Pittsburgh Penguins,1,29.7,82,46,25,11,103,0.628,269,222,3,7,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,6.9,8.4,2849,9.4,2576,0.914,7,100.5,3845,3540,52.1,2986,2657,52.9,198.7,174.7,180,153,3,1900,1650,53.5,550,524,51.2,80,12.7,69,11.6
2021_2022,22,San Jose Sharks,0,29,82,32,37,13,77,0.47,211,261,3,3,-0.58,0.03,2.57,3.18,41,216,18.98,33,223,85.2,4,11,8.8,8.6,2400,8.8,2622,0.9,3,99.2,3404,4074,45.5,2576,2930,46.8,160.5,180,142,179,-18,1658,1866,47,548,556,49.6,63,10.3,69,11
2021_2022,30,Seattle Kraken,0,28.7,82,27,49,6,60,0.366,213,284,3,1,-0.8,0.04,2.6,3.46,32,220,14.55,56,223,74.89,8,7,8.5,8,2380,8.9,2367,0.88,3,98.3,3508,3415,50.7,2615,2593,50.2,160.2,160.3,152,188,-36,1612,1657,49.3,474,514,48,45,8.7,77,13
2021_2022,9,St. Louis Blues,1,28.8,82,49,22,11,109,0.665,309,239,2,3,0.79,-0.05,3.77,2.91,65,241,26.97,35,220,84.09,9,5,7.5,7.9,2492,12.4,2591,0.908,4,102,3270,3662,47.2,2528,2886,46.7,182.1,188.6,199,170,36,1835,2002,47.8,501,580,46.3,67,11.8,68,10.5
2021_2022,7,Tampa Bay Lightning,1,29.6,82,51,23,8,110,0.671,285,228,2,5,0.64,-0.02,3.48,2.78,62,259,23.94,49,252,80.56,7,5,11,11.4,2535,11.2,2441,0.907,3,101.4,3459,3336,50.9,2659,2545,51.1,181.2,168.5,183,149,21,1861,1730,51.8,556,510,52.2,77,12.2,70,12.1
2021_2022,4,Toronto Maple Leafs,1,28.4,82,54,21,7,115,0.701,312,252,3,1,0.69,-0.06,3.8,3.07,63,231,27.27,42,234,82.05,13,4,8.6,8.5,2835,11,2511,0.9,7,100.2,3980,3469,53.4,3005,2663,53,210.6,170.8,208,182,-14,2168,1803,54.6,629,496,55.9,81,11.4,75,13.1
2021_2022,18,Vancouver Canucks,0,27.7,82,40,30,12,92,0.561,246,231,3,5,0.16,0,3,2.82,58,247,23.48,58,231,74.89,5,6,8,8.6,2622,9.4,2612,0.912,1,100.7,3616,3667,49.6,2695,2712,49.8,172.6,179.3,156,143,20,1802,1814,49.8,512,525,49.4,60,10.5,62,10.6
2021_2022,17,Vegas Golden Knights,0,28.5,82,43,31,8,94,0.573,262,244,4,4,0.21,-0.01,3.2,2.98,39,212,18.4,47,208,77.4,10,7,7.6,7.7,2830,9.3,2458,0.901,3,99.6,4027,3635,52.6,3011,2594,53.7,205.7,176.9,183,166,-12,2006,1825,52.4,660,579,53.3,83,11.2,86,12.9
2021_2022,13,Washington Capitals,1,29.5,82,44,26,12,100,0.61,270,242,5,3,0.35,-0.02,3.29,2.95,48,256,18.75,44,225,80.44,8,9,7.7,8.8,2577,10.5,2378,0.898,8,100.5,3635,3552,50.6,2780,2627,51.4,173.2,165.1,179,157,14,1811,1756,50.8,531,545,49.3,70,11.6,70,11.4
2021_2022,19,Winnipeg Jets,0,28.2,82,39,32,11,89,0.543,250,253,2,4,-0.04,0.02,3.05,3.09,52,247,21.05,58,232,75,9,8,8.8,9.5,2645,9.5,2721,0.907,5,100,3576,3657,49.4,2741,2793,49.5,186.6,190.9,156,162,-2,1875,1903,49.6,587,606,49.2,72,10.9,66,9.8
2022_2023,32,Anaheim Ducks,0,28.2,82,23,47,12,58,0.354,206,335,3,3,-1.54,0.03,2.51,4.09,36,229,15.72,78,280,72.14,1,7,11.3,9.3,2326,8.9,3207,0.896,1,99.3,3233,4349,42.6,2421,3392,41.6,152.9,237.8,143,224,4,1539,2185,41.3,505,743,40.5,53,9.5,80,9.7
2022_2023,27,Arizona Coyotes,0,26.4,82,28,40,14,70,0.427,225,295,3,4,-0.85,0.01,2.74,3.6,45,238,18.91,81,319,74.61,5,6,11.9,9,2119,10.6,2874,0.897,4,100.4,3097,3788,45,2313,2870,44.6,153.9,193,151,180,10,1571,1940,44.7,531,624,46,60,10.2,72,10.3
2022_2023,1,Boston Bruins,1,29.5,82,65,12,5,135,0.823,301,174,4,3,1.54,-0.02,3.67,2.12,62,279,22.22,36,283,87.28,8,8,10.5,9.9,2703,11.1,2447,0.929,7,103,3597,3387,51.5,2723,2504,52.1,190.6,164.2,199,114,59,1892,1767,51.7,582,611,48.8,65,10,49,7.4
2022_2023,19,Buffalo Sabres,0,26.1,82,42,33,7,91,0.555,293,297,3,3,-0.01,0.04,3.57,3.62,63,269,23.42,61,226,73.01,9,7,7.4,8.5,2665,11,2710,0.89,2,99.8,3722,3524,51.4,2818,2782,50.3,194.1,207,197,204,6,1971,1961,50.1,615,691,47.1,65,9.6,81,10.5
2022_2023,15,Calgary Flames,0,29.8,82,38,27,17,93,0.567,258,247,2,5,0.05,-0.05,3.15,3.01,50,252,19.84,47,270,82.59,8,6,9.2,8.3,2948,8.8,2240,0.89,1,98.4,4244,3172,57.2,3147,2389,56.8,196,161.3,182,169,-22,2044,1658,55.2,689,559,55.2,79,10.3,74,11.7
2022_2023,2,Carolina Hurricanes,1,29.3,82,52,21,9,113,0.689,262,210,4,3,0.66,0.01,3.2,2.56,50,253,19.76,40,256,84.38,11,6,7.5,7.5,2852,9.2,2132,0.902,9,99.3,4350,2873,60.2,3267,2209,59.7,196.3,148.6,174,139,-13,2129,1455,59.4,801,480,62.5,72,8.2,39,7.5
2022_2023,30,Chicago Blackhawks,0,28.7,82,26,49,7,59,0.36,202,299,2,2,-1.16,0.02,2.46,3.65,38,232,16.38,55,231,76.19,7,10,8.6,8.9,2210,9.1,2758,0.892,2,98.7,3168,4045,43.9,2380,3017,44.1,153.9,208.4,135,208,-19,1553,2112,42.4,486,682,41.6,61,11.2,80,10.5
2022_2023,6,Colorado Avalanche,1,28.1,82,51,24,7,109,0.665,274,223,6,3,0.61,-0.05,3.34,2.72,64,261,24.52,52,248,79.03,6,5,8.2,9.3,2727,10,2539,0.912,6,100.8,3897,3543,52.4,2816,2644,51.6,190.4,173.6,174,145,12,1880,1678,52.8,573,561,50.5,70,10.9,47,7.7
2022_2023,31,Columbus Blue Jackets,0,26.7,82,25,48,9,59,0.36,213,329,1,1,-1.34,0.07,2.6,4.01,41,224,18.3,59,237,75.11,5,9,8,7.3,2399,8.9,2904,0.887,0,98.1,3525,4316,45,2579,3212,44.5,163.3,209.4,143,231,-42,1745,2092,45.5,576,703,45,52,8.3,90,11.3
2022_2023,8,Dallas Stars,1,28.4,82,47,21,14,108,0.659,281,215,4,3,0.75,-0.07,3.43,2.62,64,256,25,40,242,83.47,10,5,7.8,8.5,2617,10.7,2452,0.912,6,101,3792,3552,51.6,2731,2653,50.7,181.8,164.6,175,145,13,1919,1706,52.9,680,527,56.3,72,9.6,54,9.3
2022_2023,25,Detroit Red Wings,0,27.3,82,35,37,10,80,0.488,237,275,3,4,-0.44,0.04,2.89,3.35,57,270,21.11,54,249,78.31,5,12,8.1,8.5,2312,10.3,2496,0.89,4,99.1,3164,3705,46.1,2361,2704,46.6,154,163.4,146,183,-28,1502,1803,45.4,491,585,45.6,51,9.4,73,11.1
2022_2023,7,Edmonton Oilers,1,27.9,82,50,23,9,109,0.665,325,256,0,4,0.73,-0.07,3.96,3.12,89,275,32.36,64,278,76.98,18,7,8.6,8.8,2754,11.8,2572,0.9,2,100.5,3714,3406,52.2,2788,2618,51.6,203.1,174,191,168,-6,1917,1741,52.4,639,542,54.1,70,9.9,71,11.6
2022_2023,17,Florida Panthers,1,28.7,82,42,32,8,92,0.561,288,272,2,1,0.24,0.04,3.51,3.32,63,276,22.83,70,291,75.95,6,9,12.2,11.9,3019,9.5,2603,0.896,3,100.2,4023,3384,54.3,3023,2625,53.5,210.5,184.9,191,159,6,2135,1783,54.5,775,658,54.1,73,8.6,59,8.2
2022_2023,10,Los Angeles Kings,1,28.7,82,47,25,10,104,0.634,274,254,6,3,0.27,-0.02,3.34,3.1,68,269,25.28,65,269,75.84,7,9,8.6,9.9,2658,10.3,2289,0.889,3,99.1,3731,3405,52.3,2807,2415,53.8,184.3,161.1,169,159,-13,1861,1748,51.6,550,553,49.9,61,10,59,9.6
2022_2023,11,Minnesota Wild,1,29.3,82,46,25,11,103,0.628,239,219,7,6,0.21,-0.05,2.91,2.67,54,252,21.43,46,256,82.03,14,3,11.3,11.6,2535,9.4,2552,0.914,5,100.5,3578,3641,49.6,2655,2639,50.2,167.2,170.2,144,140,7,1728,1743,49.8,574,565,50.4,69,10.7,64,10.2
2022_2023,28,Montreal Canadiens,0,27.3,82,31,45,6,68,0.415,227,305,5,2,-0.85,0.06,2.77,3.72,38,236,16.1,75,275,72.73,8,3,11.6,9.3,2237,10.1,2753,0.889,1,99.7,3261,3924,45.4,2359,2839,45.4,153.5,199.4,162,200,8,1601,2039,44,518,718,41.9,66,11.3,90,11.1
2022_2023,18,Nashville Predators,0,28.3,82,42,32,8,92,0.561,223,236,6,2,-0.12,-0.02,2.72,2.88,44,250,17.6,48,275,82.55,6,6,9.6,8.8,2419,9.2,2729,0.914,2,100.6,3454,3875,47.1,2522,2882,46.7,169.6,189.3,146,153,13,1853,2002,48.1,581,642,47.5,67,10.3,65,9.2
2022_2023,3,New Jersey Devils,1,26.7,82,52,22,8,112,0.683,289,222,2,4,0.79,0,3.52,2.71,49,224,21.88,40,230,82.61,9,8,7.7,7.9,2821,10.2,2315,0.904,4,100.4,4174,3580,53.8,3065,2614,54,201.7,155.6,197,154,-3,2165,1724,55.7,745,591,55.8,84,10.1,62,9.5
2022_2023,16,New York Islanders,1,29.3,82,42,31,9,93,0.567,242,217,1,5,0.25,0,2.95,2.65,35,222,15.77,39,219,82.19,6,7,8,8,2524,9.6,2544,0.915,8,101.3,3818,3842,49.8,2774,2825,49.5,188.3,183.8,176,145,27,1988,1983,50.1,705,669,51.3,71,9.1,65,8.9
2022_2023,9,New York Rangers,1,27.7,82,47,22,13,107,0.652,273,216,4,3,0.7,0,3.33,2.63,59,245,24.08,42,223,81.17,8,5,7.6,9.3,2582,10.6,2405,0.91,4,101.1,3607,3630,49.8,2698,2662,50.3,178.5,180.7,180,153,29,1866,1854,50.2,612,626,49.4,72,10.5,54,7.9
2022_2023,21,Ottawa Senators,0,27.3,82,39,35,8,86,0.524,259,270,2,1,-0.09,0.04,3.16,3.29,72,306,23.53,59,296,80.07,9,11,12.4,12.2,2746,9.4,2572,0.895,3,98.5,3751,3527,51.5,2801,2580,52.1,176.7,168.5,151,177,-34,1900,1772,51.7,680,611,52.7,68,9.1,76,11.1
2022_2023,26,Philadelphia Flyers,0,26.8,82,31,38,13,75,0.457,220,276,2,1,-0.62,0.05,2.68,3.37,35,225,15.56,59,233,74.68,11,9,10.4,9.7,2416,9.1,2585,0.893,3,99.3,3554,3940,47.4,2679,2823,48.7,169.2,178.2,152,174,-13,1741,1984,46.7,593,643,48,65,9.9,74,10.3
2022_2023,20,Pittsburgh Penguins,0,31,82,40,31,11,91,0.555,261,263,1,1,0.01,0.04,3.18,3.21,63,290,21.72,55,263,79.09,5,5,8.6,9.2,2818,9.3,2687,0.902,2,99.4,4030,3719,52,3006,2767,52.1,201.9,188.1,168,172,-18,2074,1834,53.1,755,625,54.7,75,9,77,11
2022_2023,29,San Jose Sharks,0,29.4,82,22,44,16,60,0.366,233,315,1,6,-1.05,0.01,2.84,3.84,41,223,18.39,43,244,82.38,4,13,8,7.6,2415,9.6,2640,0.881,4,98.3,3622,3824,48.6,2659,2834,48.4,179.7,187,168,220,-45,1922,2009,48.9,666,656,50.4,70,9.5,94,12.5
2022_2023,12,Seattle Kraken,1,29,82,46,28,8,100,0.61,289,252,0,4,0.36,-0.04,3.52,3.07,48,243,19.75,55,236,76.69,6,9,8.5,9.1,2497,11.6,2215,0.886,3,100.8,3759,3344,52.9,2842,2451,53.7,178.1,154.5,209,160,25,1839,1701,51.9,585,588,49.9,82,12.3,87,12.9
2022_2023,23,St. Louis Blues,0,29.3,82,37,38,7,81,0.494,260,298,3,3,-0.47,-0.01,3.17,3.63,46,238,19.33,60,217,72.35,7,14,7.8,7.6,2341,11.1,2652,0.888,4,100.5,3326,3893,46.1,2527,2922,46.4,174.3,202.5,180,188,20,1716,2058,45.5,488,690,41.4,67,12.1,91,11.7
2022_2023,13,Tampa Bay Lightning,1,29.9,82,46,30,6,98,0.598,280,252,3,2,0.37,0.02,3.41,3.07,71,280,25.36,53,261,79.69,7,11,12.1,12.3,2621,10.7,2582,0.902,6,100.5,3736,3499,51.6,2795,2637,51.5,196.1,187.7,175,162,5,1963,1854,51.4,706,658,51.8,80,10.2,58,8.1
2022_2023,5,Toronto Maple Leafs,1,28.6,82,50,21,11,111,0.677,278,220,1,2,0.7,0,3.39,2.68,64,246,26.02,45,248,81.85,8,8,8.4,8.4,2628,10.6,2420,0.909,5,101.2,3677,3553,50.9,2788,2605,51.7,201.5,167.4,184,142,8,2037,1783,53.3,659,622,51.4,76,10.3,58,8.5
2022_2023,22,Vancouver Canucks,0,27.3,82,38,37,7,83,0.506,270,296,6,2,-0.3,-0.04,3.29,3.61,62,273,22.71,69,243,71.6,15,14,9,10,2438,11.1,2527,0.883,1,99.6,3302,3635,47.6,2470,2728,47.5,172.1,182.7,169,192,-12,1730,1846,48.4,559,633,46.9,79,12.4,74,10.5
2022_2023,4,Vegas Golden Knights,1,29.1,82,51,22,9,111,0.677,267,225,5,4,0.49,-0.04,3.26,2.74,42,207,20.29,44,195,77.44,10,4,7.2,7.9,2587,10.3,2533,0.911,3,101,3810,4061,48.4,2783,2873,49.2,187.3,174.7,185,159,13,1805,1877,49,607,600,50.3,81,11.8,56,8.5
2022_2023,24,Washington Capitals,0,30.9,82,35,37,10,80,0.488,253,261,2,4,-0.1,0.02,3.09,3.18,52,245,21.22,41,226,81.86,4,8,8.7,9.1,2549,9.9,2548,0.898,5,99.6,3787,3814,49.8,2776,2827,49.5,182.2,181.9,174,182,-8,1874,1920,49.4,651,596,52.2,68,9.5,65,9.8
2022_2023,14,Winnipeg Jets,1,28.7,82,46,33,3,95,0.579,246,224,1,1,0.23,-0.04,3,2.73,52,270,19.26,42,239,82.43,7,6,8.5,9.7,2486,9.9,2487,0.91,4,100.5,3687,3440,51.7,2754,2585,51.6,170.9,170.4,158,147,11,1863,1711,52.1,641,566,53.1,58,8.3,64,10.2
2023_2024,30,Anaheim Ducks,0,27.7,82,27,50,5,59,0.36,203,293,1,2,-1.09,0.02,2.48,3.57,43,235,18.3,91,330,72.42,12,5,13.5,10.9,2194,9.3,2666,0.89,1,98.8,3339,3787,46.9,2418,2787,46.5,142.3,173.3,127,174,-16,1556,1793,46.5,520,632,45.1,52,9.1,78,11
2023_2024,27,Arizona Coyotes,0,26.7,82,36,41,5,77,0.47,254,274,2,0,-0.21,0.01,3.1,3.34,53,241,21.99,63,266,76.32,7,7,11.5,9.9,2273,11.2,2598,0.895,7,100.8,3707,3856,49,2636,2878,47.8,160.9,180.1,171,171,19,1763,1817,49.2,618,622,49.8,67,9.8,63,9.2
2023_2024,6,Boston Bruins,1,28.6,82,47,20,15,109,0.665,263,221,4,3,0.53,0.01,3.21,2.7,54,243,22.22,47,268,82.46,7,6,9.5,8.8,2399,11,2504,0.912,5,102.3,3550,3896,47.7,2573,2843,47.5,169.7,163.4,174,135,33,1706,1819,48.4,615,634,49.2,81,11.6,76,10.7
2023_2024,22,Buffalo Sabres,0,25.7,82,39,37,6,84,0.512,244,243,2,1,0.03,0.01,2.98,2.96,37,223,16.59,49,243,79.84,7,10,9.8,9.2,2534,9.6,2402,0.899,5,100.1,3920,3734,51.2,2823,2751,50.6,168,172.8,174,159,20,1794,1867,49,580,698,45.4,57,8.9,63,8.3
2023_2024,25,Calgary Flames,0,29.2,82,38,39,5,81,0.494,253,267,0,4,-0.2,0.02,3.09,3.26,45,252,17.86,47,245,80.82,11,11,9.4,9.2,2572,9.8,2438,0.89,2,99,4122,3851,51.7,2917,2732,51.6,170.3,172.5,167,181,-12,1827,1813,50.2,662,627,51.4,63,8.7,61,8.9
2023_2024,3,Carolina Hurricanes,1,29.4,82,52,23,7,111,0.677,277,211,2,5,0.73,-0.04,3.38,2.57,67,249,26.91,35,258,86.43,11,8,8.5,8,2733,10.1,2101,0.9,8,99.3,4699,3119,60.1,3334,2361,58.5,172.8,151.5,169,146,2,2011,1452,58.1,713,529,57.4,61,7.9,58,9.9
2023_2024,31,Chicago Blackhawks,0,27.4,82,23,53,6,52,0.317,178,289,1,1,-1.29,0.06,2.17,3.52,39,235,16.6,56,231,75.76,3,8,8.7,9.3,2153,8.3,2681,0.892,1,98.1,3384,4257,44.3,2392,3125,43.4,143.8,194,118,202,-34,1483,2074,41.7,503,716,41.3,51,9.2,68,8.7
2023_2024,8,Colorado Avalanche,1,28.8,82,50,25,7,107,0.652,302,252,2,2,0.57,-0.05,3.68,3.07,68,278,24.46,53,264,79.92,7,6,8.9,9.7,2705,11.2,2444,0.897,4,100.4,4194,3690,53.2,2943,2705,52.1,184.5,163.6,196,168,7,1906,1677,53.2,661,609,52,64,8.8,70,10.3
2023_2024,29,Columbus Blue Jackets,0,26.8,82,27,43,12,66,0.402,234,298,3,2,-0.72,0.05,2.85,3.63,32,212,15.09,56,236,76.27,5,6,8.2,7.6,2458,9.5,2822,0.894,1,100.2,3993,4281,48.3,2814,3128,47.4,165.1,195.1,175,196,9,1774,2010,46.9,650,729,47.1,72,10,71,8.9
2023_2024,2,Dallas Stars,1,29.3,82,52,21,9,113,0.689,294,232,4,2,0.74,-0.04,3.59,2.83,58,240,24.17,43,239,82.01,12,4,6.8,7.5,2588,11.4,2350,0.901,4,100.5,4256,3666,53.7,3020,2669,53.1,182.3,151.5,192,160,1,1977,1647,54.6,633,540,54,73,10.3,71,11.6
2023_2024,18,Detroit Red Wings,0,29.3,82,41,32,9,91,0.555,275,273,3,1,0.06,0.02,3.35,3.33,63,273,23.08,49,240,79.58,7,10,8.7,9.9,2375,11.6,2657,0.897,4,100.7,3550,4089,46.5,2534,2983,45.9,150.6,177,177,189,14,1570,1906,45.2,504,668,43,71,12.3,74,10
2023_2024,9,Edmonton Oilers,1,29.4,82,49,27,6,104,0.634,292,236,2,1,0.65,-0.04,3.56,2.88,64,243,26.34,53,258,79.46,7,5,9.5,8.5,2768,10.5,2307,0.898,4,100.2,4303,3431,55.6,3098,2555,54.8,209,158.7,193,153,-10,2106,1687,55.5,765,547,58.3,93,10.8,61,10
2023_2024,5,Florida Panthers,1,29.5,82,52,24,6,110,0.671,265,198,3,2,0.81,-0.02,3.23,2.41,63,268,23.51,51,291,82.47,8,9,13.6,13.5,2764,9.6,2279,0.913,8,100.6,4212,3288,56.2,2895,2490,53.8,166.2,144.8,156,119,16,1889,1550,54.9,673,545,55.3,51,7,57,9.5
2023_2024,12,Los Angeles Kings,1,29.5,82,44,27,11,99,0.604,254,210,2,5,0.45,-0.05,3.1,2.56,56,248,22.58,39,253,84.58,11,7,8.7,9.5,2616,9.7,2296,0.909,7,99.6,4160,3486,54.4,3035,2491,54.9,169.6,146.3,165,143,-1,1843,1593,53.6,645,540,54.4,67,9.4,61,10.1
