SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251104,29,Anaheim Ducks,ANA,11,7,3,2.33,41,34,3.73,3.09,0.64,31.36,11.88,15,46.5,42,8,19.0,34,7,79.4,98.4,44,106,3.117,67.36,52.41,50.26,63.59,58.4,0.59,6.52,0.48,ANA,Pacific,Western
2024-2025,20251104,11,Boston Bruins,BOS,14,7,7,1.0,45,48,3.21,3.43,-0.22,26.36,12.2,14,54.6,46,10,21.7,55,10,81.8,103.5,66,148,3.453,51.54,43.68,39.75,67.35,50.58,0.47,6.54,0.46,BOS,Atlantic,Eastern
2024-2025,20251104,15,Buffalo Sabres,BUF,12,5,4,1.25,37,38,3.08,3.17,-0.09,30.5,10.11,13,42.3,40,8,20.0,42,4,90.5,110.5,58,143,3.609,49.3,58.54,54.65,56.98,54.87,0.49,5.83,-0.83,BUF,Atlantic,Eastern
2024-2025,20251104,23,Calgary Flames,CGY,14,3,9,0.33,31,47,2.21,3.36,-1.15,28.0,7.91,8,46.4,52,7,13.5,53,12,77.4,90.9,67,165,3.676,17.37,39.65,38.52,65.04,40.14,0.3,4.23,-1.23,CGY,Pacific,Western
2024-2025,20251104,3,Carolina Hurricanes,CAR,11,7,4,1.75,41,32,3.73,2.91,0.82,32.73,11.39,14,50.2,32,3,9.4,40,7,82.5,91.9,50,100,2.932,59.55,59.83,54.94,49.65,55.99,0.62,6.84,0.16,CAR,Metropolitan,Eastern
2024-2025,20251104,20,Chicago Blackhawks,CHI,13,5,5,1.0,39,37,3.0,2.85,0.15,25.23,11.89,13,47.9,40,7,17.5,52,10,80.8,98.3,64,148,3.369,41.02,56.88,53.67,46.06,49.41,0.53,6.83,-1.83,CHI,Central,Western
2024-2025,20251104,22,Colorado Avalanche,COL,13,7,1,7.0,47,33,3.62,2.54,1.08,34.15,10.59,19,50.8,49,8,16.3,39,4,89.7,106.0,47,100,2.527,64.32,73.35,71.59,25.53,58.7,0.67,8.71,-1.71,COL,Central,Western
2024-2025,20251104,19,Columbus Blue Jackets,CBJ,12,7,5,1.4,40,36,3.33,3.0,0.33,31.92,10.44,14,50.7,30,5,16.7,36,12,66.7,83.4,42,96,2.749,53.82,44.25,44.84,39.71,45.66,0.55,6.62,0.38,CBJ,Metropolitan,Eastern
2024-2025,20251104,27,Dallas Stars,DAL,12,6,3,2.0,33,35,2.75,2.92,-0.17,26.0,10.58,15,52.8,41,13,31.7,36,10,72.2,103.9,41,98,2.799,46.6,44.86,50.48,52.35,48.57,0.47,5.64,0.36,DAL,Central,Western
2024-2025,20251104,16,Detroit Red Wings,DET,13,9,4,2.25,44,41,3.38,3.15,0.23,27.92,12.12,18,53.6,42,10,23.8,38,5,86.8,110.6,44,99,2.776,58.94,54.78,54.07,30.27,49.52,0.54,6.96,2.04,DET,Atlantic,Eastern
2024-2025,20251104,24,Edmonton Oilers,EDM,14,6,5,1.2,43,43,3.07,3.07,0.0,29.07,10.57,15,52.3,37,13,35.1,33,7,78.8,113.9,34,68,2.19,59.48,52.53,53.69,10.82,44.13,0.5,7.0,-1.0,EDM,Pacific,Western
2024-2025,20251104,4,Florida Panthers,FLO,12,6,5,1.2,31,33,2.58,2.75,-0.17,28.83,8.96,13,46.9,45,9,20.0,41,10,75.6,95.6,50,111,2.928,34.32,53.53,54.9,82.75,56.38,0.47,5.62,0.38,FLA,Atlantic,Eastern
2024-2025,20251104,28,Los Angeles Kings,LAK,13,5,4,1.25,37,41,2.85,3.15,-0.3,29.92,9.51,14,49.1,37,6,16.2,50,13,74.0,90.2,52,116,3.042,38.7,41.22,40.93,47.78,42.16,0.45,5.85,-0.85,LAK,Pacific,Western
2024-2025,20251104,25,Minnesota Wild,MIN,13,4,6,0.67,37,49,2.85,3.77,-0.92,30.0,9.49,11,48.0,51,15,29.4,28,10,64.3,93.7,34,87,2.798,51.36,26.95,29.72,44.83,38.21,0.36,4.73,-0.73,MIN,Central,Western
2024-2025,20251104,14,Montreal Canadiens,MTL,12,9,3,3.0,44,36,3.67,3.0,0.67,25.92,14.15,18,50.5,35,10,28.6,39,9,76.9,105.5,51,122,3.183,70.01,51.38,50.17,45.17,54.19,0.6,7.19,1.81,MTL,Atlantic,Eastern
