SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251110,29,Anaheim Ducks,ANA,15,11,3,3.67,63,46,4.2,3.07,1.13,30.13,13.94,23,46.6,59,14,23.7,51,12,76.5,100.2,63,155,3.248,81.8,47.92,45.93,64.85,60.13,0.65,9.78,1.22,ANA,Pacific,Western
2024-2025,20251110,11,Boston Bruins,BOS,17,10,7,1.43,57,56,3.35,3.29,0.06,27.06,12.39,20,54.0,54,12,22.2,64,12,81.2,103.4,81,181,3.409,56.1,45.15,41.44,66.38,52.27,0.51,8.65,1.35,BOS,Atlantic,Eastern
2024-2025,20251110,15,Buffalo Sabres,BUF,15,5,6,0.83,41,49,2.73,3.27,-0.54,28.93,9.45,14,42.8,46,8,17.4,48,5,89.6,107.0,66,162,3.445,37.83,55.3,52.17,54.24,49.88,0.41,6.16,-1.16,BUF,Atlantic,Eastern
2024-2025,20251110,23,Calgary Flames,CGY,17,4,11,0.36,36,54,2.12,3.18,-1.06,28.65,7.39,10,47.5,60,7,11.7,61,13,78.7,90.4,79,198,3.589,17.51,41.51,43.37,66.85,42.31,0.31,5.23,-1.23,CGY,Pacific,Western
2024-2025,20251110,3,Carolina Hurricanes,CAR,15,11,4,2.75,59,42,3.93,2.8,1.13,33.4,11.78,22,50.0,43,6,14.0,50,9,82.0,96.0,64,141,2.95,68.26,62.89,59.99,47.57,59.68,0.66,9.95,1.05,CAR,Metropolitan,Eastern
2024-2025,20251110,20,Chicago Blackhawks,CHI,16,8,5,1.6,53,40,3.31,2.5,0.81,25.19,13.15,19,47.3,47,12,25.5,62,10,83.9,109.4,77,183,3.24,56.48,70.4,68.92,44.8,60.15,0.64,10.19,-2.19,CHI,Central,Western
2024-2025,20251110,22,Colorado Avalanche,COL,16,10,1,10.0,64,40,4.0,2.5,1.5,33.94,11.79,25,49.8,63,11,17.5,52,6,88.5,106.0,61,131,2.625,74.52,75.51,75.69,29.58,63.83,0.72,11.51,-1.51,COL,Central,Western
2024-2025,20251110,19,Columbus Blue Jackets,CBJ,14,7,7,1.0,44,45,3.14,3.21,-0.07,32.71,9.61,14,52.0,34,5,14.7,41,12,70.7,85.4,50,123,2.989,49.06,39.29,39.9,46.02,43.57,0.49,6.85,0.15,CBJ,Metropolitan,Eastern
2024-2025,20251110,27,Dallas Stars,DAL,16,9,4,2.25,49,50,3.06,3.12,-0.06,25.69,11.92,21,53.0,58,19,32.8,51,14,72.5,105.3,57,130,2.876,57.96,37.64,42.3,44.42,45.58,0.49,7.84,1.16,DAL,Central,Western
2024-2025,20251110,16,Detroit Red Wings,DET,16,9,7,1.29,46,51,2.88,3.19,-0.31,29.19,9.85,18,51.5,53,10,18.9,45,9,80.0,98.9,52,118,2.737,43.33,48.16,48.52,30.55,42.64,0.45,7.18,1.82,DET,Atlantic,Eastern
2024-2025,20251110,24,Edmonton Oilers,EDM,16,6,6,1.0,47,55,2.94,3.44,-0.5,28.56,10.28,16,52.7,45,15,33.3,44,8,81.8,115.1,45,90,2.505,56.31,43.69,42.21,14.39,39.15,0.42,6.75,-0.75,EDM,Pacific,Western
2024-2025,20251110,4,Florida Panthers,FLO,15,7,7,1.0,40,45,2.67,3.0,-0.33,28.67,9.3,15,47.4,57,10,17.5,54,13,75.9,93.4,65,144,3.093,36.79,47.5,46.37,86.5,54.29,0.44,6.63,0.37,FLA,Atlantic,Eastern
2024-2025,20251110,28,Los Angeles Kings,LAK,16,7,5,1.4,45,48,2.81,3.0,-0.19,29.25,9.62,18,49.8,51,9,17.6,59,14,76.3,93.9,62,139,2.944,40.45,44.63,46.14,41.29,43.13,0.47,7.48,-0.48,LAK,Pacific,Western
2024-2025,20251110,25,Minnesota Wild,MIN,17,7,7,1.0,50,57,2.94,3.35,-0.41,28.47,10.33,17,47.4,62,18,29.0,37,10,73.0,102.0,44,113,2.622,53.81,41.18,42.7,45.02,45.68,0.44,7.4,-0.4,MIN,Central,Western
2024-2025,20251110,14,Montreal Canadiens,MTL,15,10,3,3.33,57,46,3.8,3.07,0.73,24.87,15.28,22,51.9,43,12,27.9,52,11,78.8,106.7,66,155,3.243,71.15,50.69,47.74,49.96,54.88,0.61,9.08,0.92,MTL,Atlantic,Eastern
2024-2025,20251110,18,Nashville Predators,NSH,17,5,8,0.62,44,59,2.59,3.47,-0.88,27.0,9.59,14,52.2,53,8,15.1,55,10,81.8,96.9,68,145,3.059,30.28,43.92,38.86,42.54,38.9,0.36,6.08,-1.08,NSH,Central,Western
2024-2025,20251110,7,New Jersey Devils,NJD,15,11,4,2.75,52,44,3.47,2.93,0.54,28.53,12.15,22,48.7,39,10,25.6,48,6,87.5,113.1,51,110,2.59,62.45,68.8,61.25,51.22,60.93,0.58,8.76,2.24,NJD,Metropolitan,Eastern
2024-2025,20251110,8,New York Islanders,NYI,15,7,6,1.17,50,49,3.33,3.27,0.06,30.0,11.11,16,52.4,50,8,16.0,47,10,78.7,94.7,61,153,3.336,52.67,40.45,43.14,52.24,47.13,0.51,7.64,-0.64,NYI,Metropolitan,Eastern
2024-2025,20251110,9,New York Rangers,NYR,16,7,7,1.0,35,39,2.19,2.44,-0.25,28.69,7.63,16,54.2,41,5,12.2,42,7,83.3,95.5,49,110,2.316,19.14,74.91,75.92,62.44,58.1,0.45,7.14,-0.14,NYR,Metropolitan,Eastern
2024-2025,20251110,13,Ottawa Senators,OTT,16,8,5,1.6,57,58,3.56,3.62,-0.06,27.25,13.07,19,58.9,54,13,24.1,46,15,67.4,91.5,66,154,3.333,63.51,21.05,24.6,66.57,43.93,0.49,7.87,0.13,OTT,Atlantic,Eastern
2024-2025,20251110,6,Philadelphia Flyers,PHI,15,8,5,1.6,43,39,2.87,2.6,0.27,24.8,11.56,18,49.0,46,9,19.6,51,6,88.2,107.8,72,202,3.724,39.56,65.25,71.81,67.16,60.95,0.55,8.24,-0.24,PHI,Metropolitan,Eastern
2024-2025,20251110,10,Pittsburgh Penguins,PIT,17,9,5,1.8,56,45,3.29,2.65,0.64,28.29,11.64,21,49.4,42,15,35.7,51,8,84.3,120.0,61,160,2.911,66.3,67.38,68.3,25.77,56.94,0.61,10.31,-1.31,PIT,Metropolitan,Eastern
2024-2025,20251110,26,San Jose Sharks,SJS,16,7,6,1.17,53,55,3.31,3.44,-0.13,24.94,13.28,17,48.2,53,10,18.9,53,13,75.5,94.4,59,132,2.997,50.88,37.36,33.75,43.12,41.28,0.48,7.69,-0.69,SJS,Pacific,Western
2024-2025,20251110,143,Seattle Kraken,SEA,15,7,4,1.75,39,43,2.6,2.87,-0.27,25.2,10.32,18,44.2,46,9,19.6,39,12,69.2,88.8,47,119,2.71,32.84,45.05,52.34,40.77,42.75,0.45,6.76,0.24,SEA,Pacific,Western
2024-2025,20251110,17,St. Louis Blues,STL,16,5,8,0.62,44,62,2.75,3.88,-1.13,25.94,10.6,13,50.3,43,10,23.3,43,13,69.8,93.1,52,122,3.045,40.18,19.72,19.66,65.55,36.27,0.33,5.35,-0.35,STL,Central,Western
2024-2025,20251110,1,Tampa Bay Lightning,TBL,15,8,5,1.6,46,41,3.07,2.73,0.34,26.2,11.7,18,44.7,50,9,18.0,48,5,89.6,107.6,69,163,3.241,44.62,69.44,69.46,44.09,56.9,0.56,8.38,-0.38,TBL,Atlantic,Eastern
2024-2025,20251110,12,Toronto Maple Leafs,TOR,16,8,7,1.14,59,60,3.69,3.75,-0.06,27.88,13.23,17,54.7,41,7,17.1,47,9,80.9,98.0,56,121,2.995,60.09,34.24,30.59,56.28,45.3,0.49,7.87,0.13,TOR,Atlantic,Eastern
2024-2025,20251110,30,Utah Mammoth,UTA,16,9,7,1.29,51,50,3.19,3.12,0.07,29.38,10.85,18,46.7,49,8,16.3,43,9,79.1,95.4,59,140,2.951,48.63,51.82,50.76,28.19,44.85,0.51,8.18,0.82,UTA,Central,Western
