SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251130,29,Anaheim Ducks,ANA,24,15,8,1.88,89,78,3.71,3.25,0.46,30.54,12.14,31,46.2,82,17,20.7,80,20,75.0,95.7,101,252,3.354,74.09,37.54,34.82,60.62,51.77,0.57,13.58,1.42,ANA,Pacific,Western
2024-2025,20251130,11,Boston Bruins,BOS,27,15,12,1.25,83,86,3.07,3.19,-0.12,26.67,11.53,30,52.1,82,21,25.6,106,18,83.0,108.6,138,339,3.779,54.98,42.06,42.64,81.27,55.24,0.48,12.98,2.02,BOS,Atlantic,Eastern
2024-2025,20251130,15,Buffalo Sabres,BUF,25,10,11,0.91,76,86,3.04,3.44,-0.4,28.64,10.61,24,43.4,72,12,16.7,70,8,88.6,105.3,92,236,3.233,44.47,54.51,46.59,51.81,49.34,0.44,10.96,-0.96,BUF,Atlantic,Eastern
2024-2025,20251130,23,Calgary Flames,CGY,26,9,14,0.64,65,79,2.5,3.04,-0.54,29.77,8.4,21,49.0,89,12,13.5,87,16,81.6,95.1,116,323,3.675,23.14,47.77,49.37,72.43,48.18,0.4,10.49,-1.49,CGY,Pacific,Western
2024-2025,20251130,3,Carolina Hurricanes,CAR,24,15,7,2.14,85,69,3.54,2.88,0.66,33.92,10.44,32,49.7,71,10,14.1,72,15,79.2,93.3,93,202,2.811,62.26,53.53,54.29,44.66,53.69,0.6,14.44,0.56,CAR,Metropolitan,Eastern
2024-2025,20251130,20,Chicago Blackhawks,CHI,24,10,9,1.11,75,69,3.12,2.88,0.24,25.46,12.27,25,46.8,70,16,22.9,84,14,83.3,106.2,109,293,3.547,53.38,59.37,55.76,43.08,52.9,0.54,12.96,-2.96,CHI,Central,Western
2024-2025,20251130,22,Colorado Avalanche,COL,25,18,1,18.0,103,52,4.12,2.08,2.04,33.88,12.16,42,49.7,92,15,16.3,76,10,86.8,103.1,88,188,2.31,84.98,90.02,88.49,30.02,73.38,0.8,19.92,-1.92,COL,Central,Western
2024-2025,20251130,19,Columbus Blue Jackets,CBJ,25,11,9,1.22,73,81,2.92,3.24,-0.32,30.56,9.55,27,50.4,58,9,15.5,61,15,75.4,90.9,78,185,2.738,39.49,40.81,43.33,36.29,39.98,0.45,11.2,-0.2,CBJ,Metropolitan,Eastern
2024-2025,20251130,27,Dallas Stars,DAL,25,16,5,3.2,87,68,3.48,2.72,0.76,25.96,13.41,36,53.0,84,27,32.1,77,17,77.9,110.0,91,228,2.907,77.89,50.84,57.62,43.56,57.48,0.62,15.52,0.48,DAL,Central,Western
2024-2025,20251130,16,Detroit Red Wings,DET,26,13,11,1.18,77,88,2.96,3.38,-0.42,30.27,9.78,28,52.5,84,18,21.4,71,15,78.9,100.3,98,261,3.342,48.35,35.15,39.54,41.1,41.03,0.43,11.29,1.71,DET,Atlantic,Eastern
2024-2025,20251130,24,Edmonton Oilers,EDM,26,11,10,1.1,81,93,3.12,3.58,-0.46,28.19,11.05,27,52.1,62,19,30.6,71,14,80.3,110.9,89,217,3.084,61.35,34.32,34.32,30.83,40.2,0.43,11.22,-0.22,EDM,Pacific,Western
2024-2025,20251130,4,Florida Panthers,FLO,24,12,11,1.09,75,76,3.12,3.17,-0.05,29.04,10.76,25,48.1,87,17,19.5,79,17,78.5,98.0,103,231,3.157,51.71,44.73,41.83,83.07,55.34,0.49,11.81,0.19,FLA,Atlantic,Eastern
2024-2025,20251130,28,Los Angeles Kings,LAK,25,12,6,2.0,68,65,2.72,2.6,0.12,28.72,9.47,31,48.9,77,11,14.3,79,15,81.0,95.3,84,183,2.491,30.7,64.01,64.38,35.22,48.58,0.52,13.06,-1.06,LAK,Pacific,Western
2024-2025,20251130,25,Minnesota Wild,MIN,26,14,7,2.0,77,71,2.96,2.73,0.23,27.92,10.61,33,47.7,90,22,24.4,62,13,79.0,103.4,73,180,2.429,50.82,63.81,63.61,51.93,57.54,0.54,14.05,-0.05,MIN,Central,Western
2024-2025,20251130,14,Montreal Canadiens,MTL,24,13,8,1.62,82,85,3.42,3.54,-0.12,24.79,13.78,29,50.1,68,16,23.5,80,19,76.2,99.7,113,277,3.674,65.06,30.01,26.75,62.63,46.11,0.48,11.59,1.41,MTL,Atlantic,Eastern
2024-2025,20251130,18,Nashville Predators,NSH,25,8,13,0.62,64,92,2.56,3.68,-1.12,27.76,9.22,20,52.8,78,13,16.7,75,14,81.3,98.0,92,198,3.015,27.07,37.72,30.27,41.16,34.06,0.33,8.15,-0.15,NSH,Central,Western
