SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251121,29,Anaheim Ducks,ANA,21,13,7,1.86,76,66,3.62,3.14,0.48,29.9,12.1,27,46.5,72,15,20.8,72,18,75.0,95.8,91,232,3.419,69.44,41.79,38.96,64.58,53.69,0.57,11.98,1.02,ANA,Pacific,Western
2024-2025,20251121,11,Boston Bruins,BOS,22,12,10,1.2,72,73,3.27,3.32,-0.05,27.5,11.9,24,53.4,73,20,27.4,83,15,81.9,109.3,112,266,3.734,63.16,39.37,38.89,74.87,54.07,0.49,10.83,1.17,BOS,Atlantic,Eastern
2024-2025,20251121,15,Buffalo Sabres,BUF,20,7,9,0.78,58,71,2.9,3.55,-0.65,27.95,10.38,18,42.6,61,10,16.4,59,6,89.8,106.2,80,209,3.482,38.3,51.3,44.2,52.7,46.62,0.4,8.0,-1.0,BUF,Atlantic,Eastern
2024-2025,20251121,23,Calgary Flames,CGY,22,6,13,0.46,51,67,2.32,3.05,-0.73,29.68,7.81,15,49.0,72,9,12.5,73,15,79.5,92.0,99,278,3.726,15.68,44.8,48.0,68.55,44.26,0.37,8.06,-2.06,CGY,Pacific,Western
2024-2025,20251121,3,Carolina Hurricanes,CAR,20,13,5,2.6,73,57,3.65,2.85,0.8,34.15,10.69,28,49.8,56,7,12.5,63,13,79.4,91.9,80,176,2.88,63.93,54.86,55.83,43.78,54.6,0.62,12.42,0.58,CAR,Metropolitan,Eastern
2024-2025,20251121,20,Chicago Blackhawks,CHI,20,10,6,1.67,66,51,3.3,2.55,0.75,25.1,13.15,24,46.7,58,14,24.1,73,12,83.6,107.7,94,257,3.543,59.42,69.37,67.67,46.85,60.83,0.63,12.52,-2.52,CHI,Central,Western
2024-2025,20251121,22,Colorado Avalanche,COL,20,14,1,14.0,84,48,4.2,2.4,1.8,33.8,12.43,33,49.5,78,13,16.7,64,9,85.9,102.6,75,162,2.56,87.22,78.5,77.86,31.31,68.72,0.75,15.08,-1.08,COL,Central,Western
2024-2025,20251121,19,Columbus Blue Jackets,CBJ,21,11,8,1.38,65,66,3.1,3.14,-0.04,30.52,10.14,24,50.3,48,8,16.7,52,14,73.1,89.8,66,161,2.753,46.41,40.96,45.48,34.11,41.74,0.49,10.37,0.63,CBJ,Metropolitan,Eastern
2024-2025,20251121,27,Dallas Stars,DAL,21,13,5,2.6,70,58,3.33,2.76,0.57,25.71,12.96,29,52.8,70,22,31.4,63,15,76.2,107.6,74,178,2.804,69.11,48.54,56.67,44.69,54.75,0.59,12.45,0.55,DAL,Central,Western
2024-2025,20251121,16,Detroit Red Wings,DET,21,12,8,1.5,62,67,2.95,3.19,-0.24,29.81,9.9,25,52.8,69,15,21.7,60,11,81.7,103.4,76,203,3.199,47.27,45.58,48.68,40.51,45.51,0.46,9.68,2.32,DET,Atlantic,Eastern
2024-2025,20251121,24,Edmonton Oilers,EDM,23,9,9,1.0,68,82,2.96,3.57,-0.61,28.35,10.43,23,53.1,57,17,29.8,58,10,82.8,112.6,67,151,2.727,53.61,41.14,38.91,23.02,39.17,0.41,9.37,-0.37,EDM,Pacific,Western
2024-2025,20251121,4,Florida Panthers,FLO,20,11,8,1.38,59,58,2.95,2.9,0.05,28.3,10.42,23,48.0,77,16,20.8,71,15,78.9,99.7,90,197,3.097,45.96,53.72,50.72,83.88,58.57,0.51,10.17,0.83,FLA,Atlantic,Eastern
2024-2025,20251121,28,Los Angeles Kings,LAK,21,10,6,1.67,59,57,2.81,2.71,0.1,29.24,9.61,25,49.0,64,10,15.6,69,14,79.7,95.3,74,163,2.63,35.23,58.56,59.99,36.6,47.6,0.52,10.88,-0.88,LAK,Pacific,Western
2024-2025,20251121,25,Minnesota Wild,MIN,21,10,7,1.43,60,64,2.86,3.05,-0.19,28.05,10.19,24,48.1,78,20,25.6,48,13,72.9,98.5,55,135,2.458,47.74,47.11,50.15,47.12,48.03,0.47,9.83,0.17,MIN,Central,Western
2024-2025,20251121,14,Montreal Canadiens,MTL,20,10,7,1.43,67,72,3.35,3.6,-0.25,25.35,13.21,23,51.1,59,13,22.0,68,16,76.5,98.5,93,218,3.569,59.11,31.27,25.4,58.87,43.66,0.46,9.28,0.72,MTL,Atlantic,Eastern
2024-2025,20251121,18,Nashville Predators,NSH,20,6,10,0.6,49,70,2.45,3.5,-1.05,27.0,9.07,16,52.4,62,10,16.1,59,11,81.4,97.5,72,153,2.893,21.48,43.44,37.33,40.36,35.65,0.33,6.58,-0.58,NSH,Central,Western
2024-2025,20251121,7,New Jersey Devils,NJD,20,13,6,2.17,62,58,3.1,2.9,0.2,29.7,10.44,27,49.5,53,12,22.6,57,10,82.5,105.1,61,130,2.41,52.34,66.02,59.28,43.4,55.26,0.53,10.67,2.33,NJD,Metropolitan,Eastern
2024-2025,20251121,8,New York Islanders,NYI,21,12,7,1.71,69,62,3.29,2.95,0.34,28.38,11.58,26,52.0,69,10,14.5,68,12,82.4,96.9,89,241,3.452,50.32,53.39,55.15,53.9,53.19,0.55,11.64,0.36,NYI,Metropolitan,Eastern
2024-2025,20251121,9,New York Rangers,NYR,22,10,10,1.0,56,57,2.55,2.59,-0.04,26.73,9.52,22,53.4,53,11,20.8,63,14,77.8,98.6,76,173,2.583,28.8,61.41,65.07,69.06,56.09,0.49,10.83,-0.83,NYR,Metropolitan,Eastern
2024-2025,20251121,13,Ottawa Senators,OTT,20,10,6,1.67,67,67,3.35,3.35,0.0,26.5,12.64,24,58.0,63,15,23.8,54,17,68.5,92.3,77,179,3.087,61.51,26.16,32.12,62.94,45.68,0.5,10.0,0.0,OTT,Atlantic,Eastern
2024-2025,20251121,6,Philadelphia Flyers,PHI,19,10,6,1.67,54,53,2.84,2.79,0.05,24.89,11.42,23,47.8,53,10,18.9,58,8,86.2,105.1,80,218,3.395,37.0,63.28,65.69,62.38,57.09,0.51,9.67,0.33,PHI,Metropolitan,Eastern
2024-2025,20251121,10,Pittsburgh Penguins,PIT,19,10,5,2.0,61,47,3.21,2.47,0.74,27.37,11.73,24,48.9,44,15,34.1,56,8,85.7,119.8,66,170,2.744,65.91,77.39,76.49,24.11,60.98,0.63,11.93,-1.93,PIT,Metropolitan,Eastern
2024-2025,20251121,26,San Jose Sharks,SJS,21,10,8,1.25,63,67,3.0,3.19,-0.19,24.14,12.43,23,48.5,71,13,18.3,68,14,79.4,97.7,75,164,2.818,42.8,46.75,43.79,44.39,44.43,0.47,9.86,0.14,SJS,Pacific,Western
2024-2025,20251121,143,Seattle Kraken,SEA,20,10,5,2.0,54,54,2.7,2.7,0.0,24.55,11.0,25,45.1,58,12,20.7,55,17,69.1,89.8,64,153,2.58,33.73,47.17,54.05,30.52,41.37,0.5,10.0,0.0,SEA,Pacific,Western
2024-2025,20251121,17,St. Louis Blues,STL,21,6,9,0.67,57,79,2.71,3.76,-1.05,25.9,10.48,18,51.0,53,13,24.5,53,14,73.6,98.1,62,144,2.839,38.11,25.24,24.57,60.17,37.02,0.34,7.18,-1.18,STL,Central,Western
2024-2025,20251121,1,Tampa Bay Lightning,TBL,20,11,7,1.57,61,57,3.05,2.85,0.2,27.2,11.21,24,44.7,64,11,17.2,65,9,86.2,103.4,95,239,3.5,44.14,63.63,62.68,55.69,56.54,0.53,10.68,0.32,TBL,Atlantic,Eastern
2024-2025,20251121,12,Toronto Maple Leafs,TOR,21,9,9,1.0,72,77,3.43,3.67,-0.24,27.86,12.31,21,56.3,55,8,14.5,62,13,79.0,93.5,73,155,2.916,54.41,33.11,29.23,62.31,44.76,0.47,9.79,-0.79,TOR,Atlantic,Eastern
2024-2025,20251121,30,Utah Mammoth,UTA,21,10,8,1.25,63,65,3.0,3.1,-0.1,28.86,10.4,23,47.3,62,9,14.5,57,10,82.5,97.0,81,198,3.078,40.28,56.55,53.35,30.1,45.07,0.48,10.16,-0.16,UTA,Central,Western
2024-2025,20251121,21,Vancouver Canucks,VAN,22,9,11,0.82,69,81,3.14,3.68,-0.54,26.45,11.86,20,47.3,73,17,23.3,71,23,67.6,90.9,90,213,3.388,53.67,12.52,14.3,63.24,35.93,0.42,9.27,-0.27,VAN,Pacific,Western
2024-2025,20251121,142,Vegas Golden Knights,VGK,20,10,4,2.5,64,55,3.2,2.75,0.45,29.6,10.81,26,53.5,69,17,24.6,54,11,79.6,104.2,68,156,2.637,59.04,59.29,62.63,41.81,55.69,0.58,11.5,-1.5,VGK,Pacific,Western
2024-2025,20251121,5,Washington Capitals,WSH,21,11,8,1.38,68,55,3.24,2.62,0.62,29.57,10.95,24,48.1,61,10,16.4,68,19,72.1,88.5,88,207,3.0,50.91,49.0,54.87,48.19,50.74,0.6,12.7,-1.7,WSH,Metropolitan,Eastern
2024-2025,20251121,2,Winnipeg Jets,WPJ,19,12,7,1.71,64,52,3.37,2.74,0.63,27.05,12.45,24,53.2,59,15,25.4,70,11,84.3,109.7,79,190,3.043,63.98,68.77,61.98,55.97,62.67,0.6,11.44,0.56,WPG,Central,Western
