SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251103,29,Anaheim Ducks,ANA,11,7,3,2.33,41,34,3.73,3.09,0.64,31.36,11.88,15,46.5,42,8,19.0,34,7,79.4,98.4,44,106,3.117,66.9,52.35,50.21,63.25,58.18,0.59,6.52,0.48,ANA,Pacific,Western
2024-2025,20251103,11,Boston Bruins,BOS,14,7,7,1.0,45,48,3.21,3.43,-0.22,26.36,12.2,14,54.6,46,10,21.7,55,10,81.8,103.5,66,148,3.453,51.81,43.72,39.83,67.25,50.65,0.47,6.54,0.46,BOS,Atlantic,Eastern
2024-2025,20251103,15,Buffalo Sabres,BUF,12,5,4,1.25,37,38,3.08,3.17,-0.09,30.5,10.11,13,42.3,40,8,20.0,42,4,90.5,110.5,58,143,3.609,49.6,58.44,54.65,56.33,54.75,0.49,5.83,-0.83,BUF,Atlantic,Eastern
2024-2025,20251103,23,Calgary Flames,CGY,14,3,9,0.33,31,47,2.21,3.36,-1.15,28.0,7.91,8,46.4,52,7,13.5,53,12,77.4,90.9,67,165,3.676,18.85,39.67,38.56,64.71,40.45,0.3,4.23,-1.23,CGY,Pacific,Western
2024-2025,20251103,3,Carolina Hurricanes,CAR,11,7,4,1.75,41,32,3.73,2.91,0.82,32.73,11.39,14,50.2,32,3,9.4,40,7,82.5,91.9,50,100,2.932,59.21,59.71,54.83,48.99,55.69,0.62,6.84,0.16,CAR,Metropolitan,Eastern
2024-2025,20251103,20,Chicago Blackhawks,CHI,12,5,4,1.25,38,34,3.17,2.83,0.34,24.83,12.75,13,47.0,37,7,18.9,50,9,82.0,100.9,62,144,3.485,47.44,57.58,54.45,51.01,52.62,0.56,6.68,-1.68,CHI,Central,Western
2024-2025,20251103,22,Colorado Avalanche,COL,13,7,1,7.0,47,33,3.62,2.54,1.08,34.15,10.59,19,50.8,49,8,16.3,39,4,89.7,106.0,47,100,2.527,63.91,73.14,71.35,24.54,58.24,0.67,8.71,-1.71,COL,Central,Western
2024-2025,20251103,19,Columbus Blue Jackets,CBJ,12,7,5,1.4,40,36,3.33,3.0,0.33,31.92,10.44,14,50.7,30,5,16.7,36,12,66.7,83.4,42,96,2.749,53.86,44.22,44.74,39.07,45.47,0.55,6.62,0.38,CBJ,Metropolitan,Eastern
2024-2025,20251103,27,Dallas Stars,DAL,12,6,3,2.0,33,35,2.75,2.92,-0.17,26.0,10.58,15,52.8,41,13,31.7,36,10,72.2,103.9,41,98,2.799,47.27,44.84,50.36,52.03,48.62,0.47,5.64,0.36,DAL,Central,Western
2024-2025,20251103,16,Detroit Red Wings,DET,13,9,4,2.25,44,41,3.38,3.15,0.23,27.92,12.12,18,53.6,42,10,23.8,38,5,86.8,110.6,44,99,2.776,58.94,54.77,54.06,29.4,49.29,0.54,6.96,2.04,DET,Atlantic,Eastern
2024-2025,20251103,24,Edmonton Oilers,EDM,13,6,4,1.5,41,40,3.15,3.08,0.07,29.31,10.76,15,51.8,36,12,33.3,31,6,80.6,113.9,32,64,2.211,60.75,53.54,54.21,10.0,44.63,0.51,6.65,-0.65,EDM,Pacific,Western
2024-2025,20251103,4,Florida Panthers,FLO,12,6,5,1.2,31,33,2.58,2.75,-0.17,28.83,8.96,13,46.9,45,9,20.0,41,10,75.6,95.6,50,111,2.928,35.25,53.42,54.72,83.05,56.61,0.47,5.62,0.38,FLA,Atlantic,Eastern
2024-2025,20251103,28,Los Angeles Kings,LAK,13,5,4,1.25,37,41,2.85,3.15,-0.3,29.92,9.51,14,49.1,37,6,16.2,50,13,74.0,90.2,52,116,3.042,39.36,41.24,40.89,47.11,42.15,0.45,5.85,-0.85,LAK,Pacific,Western
2024-2025,20251103,25,Minnesota Wild,MIN,13,4,6,0.67,37,49,2.85,3.77,-0.92,30.0,9.49,11,48.0,51,15,29.4,28,10,64.3,93.7,34,87,2.798,51.77,27.14,29.93,44.41,38.31,0.36,4.73,-0.73,MIN,Central,Western
2024-2025,20251103,14,Montreal Canadiens,MTL,12,9,3,3.0,44,36,3.67,3.0,0.67,25.92,14.15,18,50.5,35,10,28.6,39,9,76.9,105.5,51,122,3.183,69.66,51.3,50.09,44.43,53.87,0.6,7.19,1.81,MTL,Atlantic,Eastern
2024-2025,20251103,18,Nashville Predators,NSH,13,5,6,0.83,33,43,2.54,3.31,-0.77,27.0,9.4,12,51.8,40,5,12.5,43,5,88.4,100.9,54,117,3.095,25.71,54.08,49.96,42.65,43.1,0.37,4.82,0.18,NSH,Central,Western
2024-2025,20251103,7,New Jersey Devils,NJD,13,9,4,2.25,46,40,3.54,3.08,0.46,28.92,12.23,18,48.3,32,10,31.2,45,6,86.7,117.9,47,99,2.707,68.73,61.75,54.21,49.88,58.64,0.57,7.4,1.6,NJD,Metropolitan,Eastern
2024-2025,20251103,8,New York Islanders,NYI,12,6,5,1.2,40,41,3.33,3.42,-0.09,30.33,10.99,13,52.4,43,7,16.3,40,9,77.5,93.8,52,135,3.616,53.17,35.65,39.32,57.51,46.41,0.49,5.84,0.16,NYI,Metropolitan,Eastern
2024-2025,20251103,9,New York Rangers,NYR,13,6,5,1.2,31,30,2.38,2.31,0.07,28.77,8.29,14,55.2,33,4,12.1,33,5,84.8,96.9,39,87,2.23,22.3,74.58,75.6,64.86,59.34,0.51,6.69,-0.69,NYR,Metropolitan,Eastern
2024-2025,20251103,13,Ottawa Senators,OTT,13,6,5,1.2,48,51,3.69,3.92,-0.23,28.92,12.77,14,59.6,48,13,27.1,40,15,62.5,89.6,56,134,3.593,71.23,15.3,17.85,64.99,42.34,0.47,6.11,-0.11,OTT,Atlantic,Eastern
2024-2025,20251103,6,Philadelphia Flyers,PHI,12,6,5,1.2,33,31,2.75,2.58,0.17,23.5,11.7,13,50.3,37,7,18.9,42,4,90.5,109.4,57,169,3.848,34.93,62.41,69.78,62.1,57.3,0.53,6.38,-0.38,PHI,Metropolitan,Eastern
2024-2025,20251103,10,Pittsburgh Penguins,PIT,13,8,3,2.67,45,34,3.46,2.62,0.84,26.62,13.01,18,50.8,31,10,32.3,41,7,82.9,115.2,50,135,3.097,66.24,61.95,64.36,28.23,55.2,0.64,8.26,-0.26,PIT,Metropolitan,Eastern
2024-2025,20251103,26,San Jose Sharks,SJS,13,4,6,0.67,42,52,3.23,4.0,-0.77,25.08,12.88,11,49.4,44,9,20.5,40,13,67.5,88.0,46,106,3.204,50.9,20.78,19.09,38.75,32.38,0.39,5.13,-1.13,SJS,Pacific,Western
2024-2025,20251103,143,Seattle Kraken,SEA,11,5,2,2.5,30,31,2.73,2.82,-0.09,23.91,11.41,14,44.3,32,7,21.9,28,9,67.9,89.8,35,95,2.811,36.77,48.43,53.25,44.02,45.62,0.48,5.32,-0.32,SEA,Pacific,Western
2024-2025,20251103,17,St. Louis Blues,STL,12,3,7,0.43,34,50,2.83,4.17,-1.34,27.75,10.21,8,50.7,34,8,23.5,33,10,69.7,93.2,40,92,3.176,43.1,19.57,18.3,59.69,35.16,0.32,3.78,-0.78,STL,Central,Western
2024-2025,20251103,1,Tampa Bay Lightning,TBL,12,6,4,1.5,35,33,2.92,2.75,0.17,26.92,10.84,14,44.7,41,6,14.6,40,4,90.0,104.6,58,133,3.297,38.14,64.82,65.42,43.1,52.87,0.53,6.36,-0.36,TBL,Atlantic,Eastern
2024-2025,20251103,12,Toronto Maple Leafs,TOR,12,6,5,1.2,43,44,3.58,3.67,-0.09,29.5,12.15,13,54.5,32,4,12.5,36,6,83.3,95.8,42,90,2.964,55.47,40.12,38.26,53.64,46.87,0.49,5.85,0.15,TOR,Atlantic,Eastern
2024-2025,20251103,30,Utah Mammoth,UTA,12,8,4,2.0,42,34,3.5,2.83,0.67,29.42,11.9,16,46.4,41,8,19.5,36,9,75.0,94.5,51,124,3.152,59.62,52.93,54.45,31.1,49.52,0.6,7.26,0.74,UTA,Central,Western
2024-2025,20251103,21,Vancouver Canucks,VAN,13,6,7,0.86,35,41,2.69,3.15,-0.46,25.0,10.77,12,44.9,42,7,16.7,45,13,71.1,87.8,53,120,3.084,32.22,40.96,40.89,60.8,43.72,0.42,5.48,0.52,VAN,Pacific,Western
2024-2025,20251103,142,Vegas Golden Knights,VGK,11,6,2,3.0,39,31,3.55,2.82,0.73,28.0,12.66,15,54.1,43,11,25.6,30,6,80.0,105.6,38,90,2.738,65.88,57.02,59.08,50.67,58.17,0.61,6.74,-0.74,VGK,Pacific,Western
2024-2025,20251103,5,Washington Capitals,WSH,12,6,5,1.2,31,28,2.58,2.33,0.25,29.0,8.91,13,46.8,40,6,15.0,36,9,75.0,90.0,47,108,2.71,30.8,62.05,67.27,55.53,53.91,0.55,6.61,-0.61,WSH,Metropolitan,Eastern
2024-2025,20251103,2,Winnipeg Jets,WPJ,12,9,3,3.0,45,30,3.75,2.5,1.25,27.08,13.85,18,53.2,39,10,25.6,47,5,89.4,115.0,57,134,3.18,70.22,72.49,70.05,66.9,69.91,0.69,8.31,0.69,WPG,Central,Western
