SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251122,29,Anaheim Ducks,ANA,21,13,7,1.86,76,66,3.62,3.14,0.48,29.9,12.1,27,46.5,72,15,20.8,72,18,75.0,95.8,91,232,3.419,69.59,41.7,38.87,64.37,53.63,0.57,11.98,1.02,ANA,Pacific,Western
2024-2025,20251122,11,Boston Bruins,BOS,23,13,10,1.3,74,74,3.22,3.22,0.0,27.43,11.73,26,52.8,75,20,26.7,88,15,83.0,109.7,118,286,3.774,60.6,41.84,43.23,76.54,55.55,0.5,11.5,1.5,BOS,Atlantic,Eastern
2024-2025,20251122,15,Buffalo Sabres,BUF,21,8,9,0.89,67,74,3.19,3.52,-0.33,28.05,11.38,20,43.3,63,11,17.5,61,7,88.5,106.0,82,213,3.408,49.46,50.82,43.78,51.14,48.8,0.45,9.47,-1.47,BUF,Atlantic,Eastern
2024-2025,20251122,23,Calgary Flames,CGY,22,6,13,0.46,51,67,2.32,3.05,-0.73,29.68,7.81,15,49.0,72,9,12.5,73,15,79.5,92.0,99,278,3.726,15.0,45.11,48.21,68.58,44.22,0.37,8.06,-2.06,CGY,Pacific,Western
2024-2025,20251122,3,Carolina Hurricanes,CAR,21,14,5,2.8,77,60,3.67,2.86,0.81,33.86,10.83,30,49.8,59,8,13.6,65,14,78.5,92.1,84,184,2.875,65.38,54.11,55.47,45.52,55.12,0.62,13.07,0.93,CAR,Metropolitan,Eastern
2024-2025,20251122,20,Chicago Blackhawks,CHI,21,10,7,1.43,69,60,3.29,2.86,0.43,25.0,13.14,24,46.4,60,15,25.0,75,13,82.7,107.7,96,261,3.583,59.96,60.65,57.14,44.69,55.61,0.57,11.96,-1.96,CHI,Central,Western
2024-2025,20251122,22,Colorado Avalanche,COL,20,14,1,14.0,84,48,4.2,2.4,1.8,33.8,12.43,33,49.5,78,13,16.7,64,9,85.9,102.6,75,162,2.56,87.5,80.44,79.37,31.63,69.74,0.75,15.08,-1.08,COL,Central,Western
2024-2025,20251122,19,Columbus Blue Jackets,CBJ,21,11,8,1.38,65,66,3.1,3.14,-0.04,30.52,10.14,24,50.3,48,8,16.7,52,14,73.1,89.8,66,161,2.753,46.17,40.79,45.55,34.36,41.72,0.49,10.37,0.63,CBJ,Metropolitan,Eastern
2024-2025,20251122,27,Dallas Stars,DAL,21,13,5,2.6,70,58,3.33,2.76,0.57,25.71,12.96,29,52.8,70,22,31.4,63,15,76.2,107.6,74,178,2.804,69.48,49.16,57.35,44.91,55.23,0.59,12.45,0.55,DAL,Central,Western
2024-2025,20251122,16,Detroit Red Wings,DET,21,12,8,1.5,62,67,2.95,3.19,-0.24,29.81,9.9,25,52.8,69,15,21.7,60,11,81.7,103.4,76,203,3.199,47.16,45.82,48.79,40.88,45.66,0.46,9.68,2.32,DET,Atlantic,Eastern
2024-2025,20251122,24,Edmonton Oilers,EDM,23,9,9,1.0,68,82,2.96,3.57,-0.61,28.35,10.43,23,53.1,57,17,29.8,58,10,82.8,112.6,67,151,2.727,53.71,40.86,38.45,23.39,39.1,0.41,9.37,-0.37,EDM,Pacific,Western
2024-2025,20251122,4,Florida Panthers,FLO,20,11,8,1.38,59,58,2.95,2.9,0.05,28.3,10.42,23,48.0,77,16,20.8,71,15,78.9,99.7,90,197,3.097,45.83,54.31,51.13,83.27,58.64,0.51,10.17,0.83,FLA,Atlantic,Eastern
2024-2025,20251122,28,Los Angeles Kings,LAK,22,10,6,1.67,60,59,2.73,2.68,0.05,29.36,9.29,26,49.6,69,10,14.5,71,14,80.3,94.8,76,167,2.581,31.02,61.95,62.91,37.78,48.41,0.51,11.2,-1.2,LAK,Pacific,Western
2024-2025,20251122,25,Minnesota Wild,MIN,22,11,7,1.57,65,64,2.95,2.91,0.04,27.73,10.66,26,48.0,81,21,25.9,50,13,74.0,99.9,57,139,2.38,51.11,53.23,56.36,46.13,51.71,0.51,11.15,-0.15,MIN,Central,Western
2024-2025,20251122,14,Montreal Canadiens,MTL,20,10,7,1.43,67,72,3.35,3.6,-0.25,25.35,13.21,23,51.1,59,13,22.0,68,16,76.5,98.5,93,218,3.569,59.18,30.48,24.58,58.83,43.27,0.46,9.28,0.72,MTL,Atlantic,Eastern
2024-2025,20251122,18,Nashville Predators,NSH,20,6,10,0.6,49,70,2.45,3.5,-1.05,27.0,9.07,16,52.4,62,10,16.1,59,11,81.4,97.5,72,153,2.893,20.95,43.2,36.89,40.51,35.39,0.33,6.58,-0.58,NSH,Central,Western
2024-2025,20251122,7,New Jersey Devils,NJD,20,13,6,2.17,62,58,3.1,2.9,0.2,29.7,10.44,27,49.5,53,12,22.6,57,10,82.5,105.1,61,130,2.41,52.3,66.94,59.9,43.23,55.59,0.53,10.67,2.33,NJD,Metropolitan,Eastern
2024-2025,20251122,8,New York Islanders,NYI,21,12,7,1.71,69,62,3.29,2.95,0.34,28.38,11.58,26,52.0,69,10,14.5,68,12,82.4,96.9,89,241,3.452,50.12,54.08,55.62,53.72,53.39,0.55,11.64,0.36,NYI,Metropolitan,Eastern
2024-2025,20251122,9,New York Rangers,NYR,22,10,10,1.0,56,57,2.55,2.59,-0.04,26.73,9.52,22,53.4,53,11,20.8,63,14,77.8,98.6,76,173,2.583,28.43,62.49,66.1,68.68,56.43,0.49,10.83,-0.83,NYR,Metropolitan,Eastern
2024-2025,20251122,13,Ottawa Senators,OTT,20,10,6,1.67,67,67,3.35,3.35,0.0,26.5,12.64,24,58.0,63,15,23.8,54,17,68.5,92.3,77,179,3.087,61.64,25.29,31.68,62.8,45.35,0.5,10.0,0.0,OTT,Atlantic,Eastern
2024-2025,20251122,6,Philadelphia Flyers,PHI,19,10,6,1.67,54,53,2.84,2.79,0.05,24.89,11.42,23,47.8,53,10,18.9,58,8,86.2,105.1,80,218,3.395,36.72,64.51,66.57,62.41,57.55,0.51,9.67,0.33,PHI,Metropolitan,Eastern
2024-2025,20251122,10,Pittsburgh Penguins,PIT,20,10,6,1.67,61,52,3.05,2.6,0.45,26.95,11.32,24,49.1,46,15,32.6,59,9,84.7,117.3,68,176,2.766,58.73,74.02,72.29,22.3,56.83,0.58,11.58,-1.58,PIT,Metropolitan,Eastern
