SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251124,29,Anaheim Ducks,ANA,22,14,7,2.0,80,69,3.64,3.14,0.5,30.05,12.1,29,45.9,74,15,20.3,76,19,75.0,95.3,96,242,3.41,72.48,40.7,37.72,62.55,53.36,0.57,12.61,1.39,ANA,Pacific,Western
2024-2025,20251124,11,Boston Bruins,BOS,24,13,11,1.18,75,77,3.12,3.21,-0.09,27.75,11.26,26,52.6,78,20,25.6,94,16,83.0,108.6,125,308,3.848,57.89,41.6,42.12,77.22,54.71,0.49,11.66,1.34,BOS,Atlantic,Eastern
2024-2025,20251124,15,Buffalo Sabres,BUF,22,9,9,1.0,71,75,3.23,3.41,-0.18,27.73,11.64,22,43.3,67,12,17.9,65,8,87.7,105.6,86,221,3.343,52.69,52.69,45.74,51.68,50.7,0.47,10.4,-1.4,BUF,Atlantic,Eastern
2024-2025,20251124,23,Calgary Flames,CGY,24,8,13,0.62,59,71,2.46,2.96,-0.5,29.46,8.35,19,49.0,82,11,13.4,81,16,80.2,93.6,110,311,3.752,19.72,47.87,50.69,68.62,46.73,0.41,9.8,-1.8,CGY,Pacific,Western
2024-2025,20251124,3,Carolina Hurricanes,CAR,22,14,6,2.33,78,64,3.55,2.91,0.64,33.68,10.53,30,50.1,63,9,14.3,69,15,78.3,92.6,88,192,2.887,63.96,51.21,51.88,44.51,52.89,0.6,13.16,0.84,CAR,Metropolitan,Eastern
2024-2025,20251124,20,Chicago Blackhawks,CHI,22,10,8,1.25,69,61,3.14,2.77,0.37,24.86,12.61,24,46.9,62,15,24.2,78,13,83.3,107.5,99,267,3.488,55.35,63.18,59.82,43.52,55.47,0.56,12.37,-2.37,CHI,Central,Western
2024-2025,20251124,22,Colorado Avalanche,COL,22,16,1,16.0,88,48,4.0,2.18,1.82,33.09,12.09,37,49.0,83,13,15.7,69,9,87.0,102.7,80,172,2.414,82.44,87.13,86.32,34.85,72.69,0.77,16.96,-0.96,COL,Central,Western
2024-2025,20251124,19,Columbus Blue Jackets,CBJ,22,11,8,1.38,68,70,3.09,3.18,-0.09,30.68,10.07,25,50.6,51,9,17.6,54,14,74.1,91.7,70,169,2.771,47.91,40.19,44.2,33.36,41.42,0.49,10.68,0.32,CBJ,Metropolitan,Eastern
2024-2025,20251124,27,Dallas Stars,DAL,22,13,5,2.6,72,60,3.27,2.73,0.54,25.91,12.63,30,52.9,74,22,29.7,69,17,75.4,105.1,81,206,2.966,68.21,46.59,54.91,45.52,53.81,0.59,12.96,0.04,DAL,Central,Western
2024-2025,20251124,16,Detroit Red Wings,DET,22,13,8,1.62,66,70,3.0,3.18,-0.18,29.95,10.02,27,52.3,71,15,21.1,63,12,81.0,102.1,81,213,3.197,49.29,44.6,47.34,38.64,44.97,0.47,10.36,2.64,DET,Atlantic,Eastern
2024-2025,20251124,24,Edmonton Oilers,EDM,24,10,9,1.11,74,85,3.08,3.54,-0.46,28.46,10.83,25,52.9,59,17,28.8,61,11,82.0,110.8,75,175,2.859,58.8,39.57,38.01,25.92,40.58,0.43,10.34,-0.34,EDM,Pacific,Western
2024-2025,20251124,4,Florida Panthers,FLO,21,11,9,1.22,62,64,2.95,3.05,-0.1,28.76,10.26,23,48.2,80,17,21.2,73,15,79.5,100.7,96,217,3.253,47.58,49.16,45.96,84.1,56.7,0.48,10.15,0.85,FLA,Atlantic,Eastern
2024-2025,20251124,28,Los Angeles Kings,LAK,22,10,6,1.67,60,59,2.73,2.68,0.05,29.36,9.29,26,49.6,69,10,14.5,71,14,80.3,94.8,76,167,2.581,30.79,60.29,61.33,37.88,47.57,0.51,11.2,-1.2,LAK,Pacific,Western
2024-2025,20251124,25,Minnesota Wild,MIN,23,12,7,1.71,68,64,2.96,2.78,0.18,27.83,10.62,28,47.8,82,21,25.6,54,13,75.9,101.5,63,154,2.403,52.22,57.8,60.37,51.18,55.39,0.53,12.22,-0.22,MIN,Central,Western
2024-2025,20251124,14,Montreal Canadiens,MTL,21,11,7,1.57,72,74,3.43,3.52,-0.09,25.52,13.43,25,50.9,62,13,21.0,71,17,76.1,97.1,101,253,3.767,63.52,30.38,26.56,62.08,45.64,0.49,10.23,0.77,MTL,Atlantic,Eastern
2024-2025,20251124,18,Nashville Predators,NSH,21,6,11,0.55,49,73,2.33,3.48,-1.15,27.38,8.52,16,52.6,65,10,15.4,61,11,82.0,97.4,74,157,2.849,14.97,44.63,37.81,38.28,33.92,0.31,6.5,-0.5,NSH,Central,Western
2024-2025,20251124,7,New Jersey Devils,NJD,21,13,7,1.86,65,64,3.1,3.05,0.05,29.95,10.33,27,49.6,55,13,23.6,61,10,83.6,107.2,67,142,2.523,54.84,62.52,54.19,45.28,54.21,0.51,10.67,2.33,NJD,Metropolitan,Eastern
2024-2025,20251124,8,New York Islanders,NYI,23,13,8,1.62,71,64,3.09,2.78,0.31,28.74,10.74,28,52.1,74,10,13.5,70,12,82.9,96.4,91,245,3.216,42.88,60.09,61.87,50.23,53.77,0.55,12.71,0.29,NYI,Metropolitan,Eastern
2024-2025,20251124,9,New York Rangers,NYR,23,10,11,0.91,58,60,2.52,2.61,-0.09,26.52,9.51,22,54.1,55,11,20.0,63,14,77.8,97.8,78,177,2.555,26.06,60.39,64.69,68.07,54.8,0.48,11.1,-1.1,NYR,Metropolitan,Eastern
2024-2025,20251124,13,Ottawa Senators,OTT,21,11,6,1.83,70,69,3.33,3.29,0.04,26.52,12.57,26,58.2,68,16,23.5,59,18,69.5,93.0,83,194,3.12,63.13,27.56,32.8,61.49,46.25,0.51,10.63,0.37,OTT,Atlantic,Eastern
2024-2025,20251124,6,Philadelphia Flyers,PHI,20,11,6,1.83,60,56,3.0,2.8,0.2,25.1,11.95,25,47.9,57,10,17.5,60,9,85.0,102.5,84,226,3.362,42.22,61.49,63.66,60.96,57.08,0.53,10.69,0.31,PHI,Metropolitan,Eastern
2024-2025,20251124,10,Pittsburgh Penguins,PIT,21,10,6,1.67,63,55,3.0,2.62,0.38,27.19,11.03,25,49.4,50,16,32.0,61,9,85.2,117.2,71,182,2.746,58.44,72.68,70.57,21.77,55.87,0.57,11.91,-1.91,PIT,Metropolitan,Eastern
2024-2025,20251124,26,San Jose Sharks,SJS,23,11,9,1.22,68,71,2.96,3.09,-0.13,24.22,12.21,25,48.1,82,15,18.3,76,15,80.3,98.6,85,195,2.91,42.31,49.84,46.74,46.69,46.39,0.48,11.01,-0.01,SJS,Pacific,Western
2024-2025,20251124,143,Seattle Kraken,SEA,22,11,5,2.2,57,56,2.59,2.55,0.04,24.14,10.73,28,45.0,61,12,19.7,61,18,70.5,90.2,71,167,2.507,27.88,52.34,59.51,30.05,42.44,0.51,11.17,-0.17,SEA,Pacific,Western
2024-2025,20251124,17,St. Louis Blues,STL,22,7,9,0.78,59,80,2.68,3.64,-0.96,25.73,10.42,20,50.9,54,13,24.1,56,14,75.0,99.1,64,150,2.782,36.58,29.7,28.44,58.41,38.28,0.35,7.73,-0.73,STL,Central,Western
