SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251102,29,Anaheim Ducks,ANA,10,6,3,2.0,37,33,3.7,3.3,0.4,31.6,11.71,13,46.4,40,8,20.0,33,7,78.8,98.8,43,104,3.354,66.16,47.57,44.63,67.46,56.45,0.56,5.57,0.43,ANA,Pacific,Western
2024-2025,20251102,11,Boston Bruins,BOS,14,7,7,1.0,45,48,3.21,3.43,-0.22,26.36,12.2,14,54.6,46,10,21.7,55,10,81.8,103.5,66,148,3.453,50.81,45.09,41.15,66.3,50.84,0.47,6.54,0.46,BOS,Atlantic,Eastern
2024-2025,20251102,15,Buffalo Sabres,BUF,12,5,4,1.25,37,38,3.08,3.17,-0.09,30.5,10.11,13,42.3,40,8,20.0,42,4,90.5,110.5,58,143,3.609,48.89,59.42,55.51,54.59,54.6,0.49,5.83,-0.83,BUF,Atlantic,Eastern
2024-2025,20251102,23,Calgary Flames,CGY,13,2,9,0.22,29,46,2.23,3.54,-1.31,28.62,7.8,6,46.0,50,7,14.0,52,12,76.9,90.9,66,163,3.901,20.54,36.02,34.07,64.74,38.84,0.28,3.69,-1.69,CGY,Pacific,Western
2024-2025,20251102,3,Carolina Hurricanes,CAR,11,7,4,1.75,41,32,3.73,2.91,0.82,32.64,11.42,14,50.2,32,3,9.4,40,7,82.5,91.9,50,100,2.932,58.04,60.25,55.5,47.86,55.41,0.62,6.84,0.16,CAR,Metropolitan,Eastern
2024-2025,20251102,20,Chicago Blackhawks,CHI,12,4,4,1.0,38,34,3.17,2.83,0.34,24.83,12.75,11,47.0,37,7,18.9,50,9,82.0,100.9,62,144,3.485,46.43,58.26,55.07,49.93,52.42,0.56,6.68,-2.68,CHI,Central,Western
2024-2025,20251102,22,Colorado Avalanche,COL,13,7,1,7.0,47,33,3.62,2.54,1.08,34.15,10.59,19,50.8,49,8,16.3,39,4,89.7,106.0,47,100,2.527,62.9,73.22,71.46,24.63,58.05,0.67,8.71,-1.71,COL,Central,Western
2024-2025,20251102,19,Columbus Blue Jackets,CBJ,11,7,4,1.75,38,33,3.45,3.0,0.45,32.82,10.53,14,52.1,26,5,19.2,34,11,67.6,86.8,40,92,2.821,58.7,45.38,45.66,37.46,46.8,0.57,6.26,0.74,CBJ,Metropolitan,Eastern
2024-2025,20251102,27,Dallas Stars,DAL,12,6,3,2.0,33,35,2.75,2.92,-0.17,26.0,10.58,15,53.0,41,13,31.7,36,10,72.2,103.9,41,98,2.798,46.6,45.71,51.12,51.73,48.79,0.47,5.64,0.36,DAL,Central,Western
2024-2025,20251102,16,Detroit Red Wings,DET,12,8,4,2.0,41,39,3.42,3.25,0.17,27.67,12.35,16,52.9,40,10,25.0,36,5,86.1,111.1,41,93,2.847,59.8,52.45,51.8,31.39,48.86,0.53,6.31,1.69,DET,Atlantic,Eastern
