SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251115,29,Anaheim Ducks,ANA,17,11,5,2.2,67,56,3.94,3.29,0.65,30.35,12.98,23,47.0,64,14,21.9,59,15,74.6,96.5,76,189,3.493,77.47,38.47,36.28,70.16,55.59,0.59,10.02,0.98,ANA,Pacific,Western
2024-2025,20251115,11,Boston Bruins,BOS,19,11,8,1.38,65,64,3.42,3.37,0.05,27.0,12.67,22,52.5,62,16,25.8,71,14,80.3,106.1,91,204,3.474,63.28,39.58,37.83,68.68,52.34,0.51,9.64,1.36,BOS,Atlantic,Eastern
2024-2025,20251115,15,Buffalo Sabres,BUF,17,5,8,0.62,46,60,2.71,3.53,-0.82,27.88,9.7,14,42.6,52,9,17.3,52,5,90.4,107.7,72,190,3.622,32.86,50.02,45.35,55.72,45.99,0.37,6.3,-1.3,BUF,Atlantic,Eastern
2024-2025,20251115,23,Calgary Flames,CGY,19,5,12,0.42,40,57,2.11,3.0,-0.89,29.63,7.1,12,48.3,64,7,10.9,65,14,78.5,89.4,84,208,3.373,10.03,47.32,50.31,60.43,42.02,0.33,6.29,-1.29,CGY,Pacific,Western
2024-2025,20251115,3,Carolina Hurricanes,CAR,17,12,5,2.4,64,49,3.76,2.88,0.88,33.53,11.23,24,50.3,50,7,14.0,57,11,80.7,94.7,73,162,3.025,65.5,57.86,56.97,50.15,57.62,0.63,10.71,1.29,CAR,Metropolitan,Eastern
2024-2025,20251115,20,Chicago Blackhawks,CHI,17,8,5,1.6,56,44,3.29,2.59,0.7,24.88,13.24,20,47.1,50,13,26.0,63,10,84.1,110.1,78,185,3.165,58.23,71.28,68.47,46.99,61.24,0.62,10.5,-2.5,CHI,Central,Western
2024-2025,20251115,22,Colorado Avalanche,COL,18,12,1,12.0,74,44,4.11,2.44,1.67,34.06,12.07,29,50.4,69,12,17.4,58,7,87.9,105.3,68,145,2.57,80.31,79.69,79.35,30.38,67.43,0.74,13.31,-1.31,COL,Central,Western
2024-2025,20251115,19,Columbus Blue Jackets,CBJ,17,9,7,1.29,55,55,3.24,3.24,0.0,31.71,10.2,19,52.3,41,6,14.6,46,12,73.9,88.5,59,144,2.955,48.77,40.18,43.12,38.22,42.57,0.5,8.5,0.5,CBJ,Metropolitan,Eastern
2024-2025,20251115,27,Dallas Stars,DAL,18,11,4,2.75,59,52,3.28,2.89,0.39,25.78,12.72,25,53.5,64,21,32.8,56,14,75.0,107.8,64,147,2.786,66.05,47.06,52.82,44.66,52.65,0.56,10.13,0.87,DAL,Central,Western
2024-2025,20251115,16,Detroit Red Wings,DET,17,10,7,1.43,52,54,3.06,3.18,-0.12,29.41,10.4,20,51.3,57,12,21.1,48,9,81.2,102.3,59,140,2.903,48.96,49.28,50.29,32.92,45.36,0.48,8.17,1.83,DET,Atlantic,Eastern
2024-2025,20251115,24,Edmonton Oilers,EDM,19,8,7,1.14,58,65,3.05,3.42,-0.37,28.47,10.72,20,52.5,50,15,30.0,50,9,82.0,112.0,56,115,2.573,55.75,44.96,43.82,18.66,40.8,0.44,8.42,-0.42,EDM,Pacific,Western
2024-2025,20251115,4,Florida Panthers,FLO,17,9,7,1.29,49,50,2.88,2.94,-0.06,28.12,10.25,19,47.7,65,13,20.0,59,13,78.0,98.0,72,161,3.04,41.99,52.65,51.52,83.93,57.52,0.49,8.32,0.68,FLA,Atlantic,Eastern
