SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251114,29,Anaheim Ducks,ANA,17,11,5,2.2,67,56,3.94,3.29,0.65,30.35,12.98,23,47.0,64,14,21.9,59,15,74.6,96.5,76,189,3.493,77.03,38.52,36.47,69.96,55.49,0.59,10.02,0.98,ANA,Pacific,Western
2024-2025,20251114,11,Boston Bruins,BOS,19,11,8,1.38,65,64,3.42,3.37,0.05,27.0,12.67,22,52.5,62,16,25.8,71,14,80.3,106.1,91,204,3.474,62.97,39.87,38.08,68.58,52.38,0.51,9.64,1.36,BOS,Atlantic,Eastern
2024-2025,20251114,15,Buffalo Sabres,BUF,17,5,8,0.62,46,60,2.71,3.53,-0.82,27.88,9.7,14,42.6,52,9,17.3,52,5,90.4,107.7,72,190,3.622,33.22,50.4,45.76,55.32,46.17,0.37,6.3,-1.3,BUF,Atlantic,Eastern
2024-2025,20251114,23,Calgary Flames,CGY,19,5,12,0.42,40,57,2.11,3.0,-0.89,29.63,7.1,12,48.3,64,7,10.9,65,14,78.5,89.4,84,208,3.373,10.92,47.47,50.35,60.15,42.22,0.33,6.29,-1.29,CGY,Pacific,Western
2024-2025,20251114,3,Carolina Hurricanes,CAR,16,11,5,2.2,60,46,3.75,2.88,0.87,33.25,11.28,22,50.2,48,6,12.5,55,10,81.8,94.3,71,158,3.077,63.51,61.48,57.61,51.13,58.43,0.63,10.06,0.94,CAR,Metropolitan,Eastern
2024-2025,20251114,20,Chicago Blackhawks,CHI,17,8,5,1.6,56,44,3.29,2.59,0.7,24.88,13.24,20,47.1,50,13,26.0,63,10,84.1,110.1,78,185,3.165,57.98,71.2,68.3,46.54,61.01,0.62,10.5,-2.5,CHI,Central,Western
2024-2025,20251114,22,Colorado Avalanche,COL,18,12,1,12.0,74,44,4.11,2.44,1.67,34.06,12.07,29,50.4,69,12,17.4,58,7,87.9,105.3,68,145,2.57,79.96,79.74,79.12,29.85,67.17,0.74,13.31,-1.31,COL,Central,Western
2024-2025,20251114,19,Columbus Blue Jackets,CBJ,17,9,7,1.29,55,55,3.24,3.24,0.0,31.71,10.2,19,52.3,41,6,14.6,46,12,73.9,88.5,59,144,2.955,48.99,40.25,43.3,37.78,42.58,0.5,8.5,0.5,CBJ,Metropolitan,Eastern
2024-2025,20251114,27,Dallas Stars,DAL,18,11,4,2.75,59,52,3.28,2.89,0.39,25.78,12.72,25,53.5,64,21,32.8,56,14,75.0,107.8,64,147,2.786,65.56,47.19,52.8,44.37,52.48,0.56,10.13,0.87,DAL,Central,Western
2024-2025,20251114,16,Detroit Red Wings,DET,17,10,7,1.43,52,54,3.06,3.18,-0.12,29.41,10.4,20,51.3,57,12,21.1,48,9,81.2,102.3,59,140,2.903,49.02,49.5,50.47,32.45,45.36,0.48,8.17,1.83,DET,Atlantic,Eastern
