SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251126,29,Anaheim Ducks,ANA,22,14,7,2.0,80,69,3.64,3.14,0.5,30.05,12.1,29,45.9,74,15,20.3,76,19,75.0,95.3,96,242,3.41,71.71,41.02,37.9,63.0,53.41,0.57,12.61,1.39,ANA,Pacific,Western
2024-2025,20251126,11,Boston Bruins,BOS,24,13,11,1.18,75,77,3.12,3.21,-0.09,27.75,11.26,26,52.6,78,20,25.6,94,16,83.0,108.6,125,308,3.848,57.53,41.8,42.5,77.86,54.92,0.49,11.66,1.34,BOS,Atlantic,Eastern
2024-2025,20251126,15,Buffalo Sabres,BUF,22,9,9,1.0,71,75,3.23,3.41,-0.18,27.77,11.62,22,43.3,67,12,17.9,65,8,87.7,105.6,86,221,3.343,52.47,53.32,46.62,51.94,51.09,0.47,10.4,-1.4,BUF,Atlantic,Eastern
2024-2025,20251126,23,Calgary Flames,CGY,24,8,13,0.62,59,71,2.46,2.96,-0.5,29.46,8.35,19,49.0,82,11,13.4,81,16,80.2,93.6,110,311,3.752,20.44,47.71,50.53,69.13,46.95,0.41,9.8,-1.8,CGY,Pacific,Western
2024-2025,20251126,3,Carolina Hurricanes,CAR,22,14,6,2.33,78,64,3.55,2.91,0.64,33.68,10.53,30,50.1,63,9,14.3,69,15,78.3,92.6,88,192,2.887,63.48,50.97,51.61,44.66,52.68,0.6,13.16,0.84,CAR,Metropolitan,Eastern
2024-2025,20251126,20,Chicago Blackhawks,CHI,22,10,8,1.25,69,61,3.14,2.77,0.37,24.86,12.61,24,46.8,62,15,24.2,78,13,83.3,107.5,99,267,3.488,55.03,62.7,59.26,43.35,55.09,0.56,12.37,-2.37,CHI,Central,Western
2024-2025,20251126,22,Colorado Avalanche,COL,22,16,1,16.0,88,48,4.0,2.18,1.82,33.09,12.09,37,49.0,83,13,15.7,69,9,87.0,102.7,80,172,2.414,81.41,85.41,84.52,34.82,71.54,0.77,16.96,-0.96,COL,Central,Western
2024-2025,20251126,19,Columbus Blue Jackets,CBJ,23,11,9,1.22,69,75,3.0,3.26,-0.26,30.39,9.87,25,50.8,53,9,17.0,57,15,73.7,90.7,73,175,2.788,43.73,37.98,41.4,33.45,39.14,0.46,10.55,0.45,CBJ,Metropolitan,Eastern
2024-2025,20251126,27,Dallas Stars,DAL,23,14,5,2.8,80,63,3.48,2.74,0.74,26.09,13.33,32,53.1,78,25,32.1,70,17,75.7,107.8,84,212,2.939,78.35,46.74,55.07,44.41,56.14,0.62,14.2,-0.2,DAL,Central,Western
2024-2025,20251126,16,Detroit Red Wings,DET,23,13,9,1.44,69,74,3.0,3.22,-0.22,30.17,9.94,27,52.8,74,16,21.6,64,12,81.2,102.8,87,236,3.327,49.88,43.61,47.22,40.98,45.42,0.46,10.69,2.31,DET,Atlantic,Eastern
