SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251111,29,Anaheim Ducks,ANA,15,11,3,3.67,63,46,4.2,3.07,1.13,30.13,13.94,23,46.6,59,14,23.7,51,12,76.5,100.2,63,155,3.248,82.83,48.3,45.99,65.84,60.74,0.65,9.78,1.22,ANA,Pacific,Western
2024-2025,20251111,11,Boston Bruins,BOS,17,10,7,1.43,57,56,3.35,3.29,0.06,27.06,12.39,20,54.0,54,12,22.2,64,12,81.2,103.4,81,181,3.409,56.17,45.64,41.67,66.77,52.56,0.51,8.65,1.35,BOS,Atlantic,Eastern
2024-2025,20251111,15,Buffalo Sabres,BUF,15,5,6,0.83,41,49,2.73,3.27,-0.54,28.93,9.45,14,42.8,46,8,17.4,48,5,89.6,107.0,66,162,3.445,37.07,56.07,52.86,54.72,50.18,0.41,6.16,-1.16,BUF,Atlantic,Eastern
2024-2025,20251111,23,Calgary Flames,CGY,17,4,11,0.36,36,54,2.12,3.18,-1.06,28.65,7.39,10,47.5,60,7,11.7,61,13,78.7,90.4,79,198,3.589,15.92,41.74,43.49,67.49,42.16,0.31,5.23,-1.23,CGY,Pacific,Western
2024-2025,20251111,3,Carolina Hurricanes,CAR,15,11,4,2.75,59,42,3.93,2.8,1.13,33.4,11.78,22,50.0,43,6,14.0,50,9,82.0,96.0,64,141,2.95,68.66,63.44,60.23,47.81,60.04,0.66,9.95,1.05,CAR,Metropolitan,Eastern
2024-2025,20251111,20,Chicago Blackhawks,CHI,16,8,5,1.6,53,40,3.31,2.5,0.81,25.19,13.15,19,47.3,47,12,25.5,62,10,83.9,109.4,77,183,3.24,56.62,70.9,69.05,44.61,60.3,0.64,10.19,-2.19,CHI,Central,Western
2024-2025,20251111,22,Colorado Avalanche,COL,16,10,1,10.0,64,40,4.0,2.5,1.5,33.94,11.79,25,49.8,63,11,17.5,52,6,88.5,106.0,61,131,2.625,75.15,76.05,76.14,29.03,64.09,0.72,11.51,-1.51,COL,Central,Western
2024-2025,20251111,19,Columbus Blue Jackets,CBJ,15,7,7,1.0,48,50,3.2,3.33,-0.13,31.8,10.06,15,51.9,36,5,13.9,42,12,71.4,85.3,54,134,3.087,48.36,34.42,37.73,42.83,40.84,0.48,7.2,-0.2,CBJ,Metropolitan,Eastern
2024-2025,20251111,27,Dallas Stars,DAL,16,9,4,2.25,49,50,3.06,3.12,-0.06,25.75,11.89,21,53.0,58,19,32.8,51,14,72.5,105.3,57,130,2.876,58.12,37.6,42.27,44.09,45.52,0.49,7.84,1.16,DAL,Central,Western
2024-2025,20251111,16,Detroit Red Wings,DET,16,9,7,1.29,46,51,2.88,3.19,-0.31,29.19,9.85,18,51.5,53,10,18.9,45,9,80.0,98.9,52,118,2.737,42.78,48.56,48.91,29.8,42.51,0.45,7.18,1.82,DET,Atlantic,Eastern
