SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251116,29,Anaheim Ducks,ANA,18,11,6,1.83,67,58,3.72,3.22,0.5,30.22,12.32,23,46.7,66,14,21.2,66,15,77.3,98.5,81,203,3.497,71.9,42.32,38.22,68.56,55.25,0.57,10.29,0.71,ANA,Pacific,Western
2024-2025,20251116,11,Boston Bruins,BOS,20,12,8,1.5,68,66,3.4,3.3,0.1,26.8,12.69,24,52.8,67,17,25.4,78,14,82.1,107.5,103,234,3.652,64.07,39.55,39.68,71.7,53.75,0.51,10.3,1.7,BOS,Atlantic,Eastern
2024-2025,20251116,15,Buffalo Sabres,BUF,18,6,8,0.75,51,64,2.83,3.56,-0.73,27.83,10.18,16,42.1,56,9,16.1,57,6,89.5,105.6,77,200,3.621,36.19,47.89,42.36,58.38,46.2,0.39,6.97,-0.97,BUF,Atlantic,Eastern
2024-2025,20251116,23,Calgary Flames,CGY,20,5,12,0.42,43,60,2.15,3.0,-0.85,29.85,7.2,13,48.4,67,8,11.9,66,15,77.3,89.2,85,210,3.282,12.07,45.22,48.34,59.42,41.26,0.34,6.79,-1.79,CGY,Pacific,Western
2024-2025,20251116,3,Carolina Hurricanes,CAR,18,12,5,2.4,67,53,3.72,2.94,0.78,33.67,11.06,25,49.9,52,7,13.5,58,12,79.3,92.8,74,164,2.965,65.46,53.83,53.01,47.33,54.91,0.62,11.08,0.92,CAR,Metropolitan,Eastern
2024-2025,20251116,20,Chicago Blackhawks,CHI,18,9,5,1.8,59,46,3.28,2.56,0.72,25.28,12.97,22,46.7,52,13,25.0,66,10,84.8,109.8,81,191,3.1,58.59,73.01,69.47,44.41,61.37,0.62,11.19,-2.19,CHI,Central,Western
2024-2025,20251116,22,Colorado Avalanche,COL,18,12,1,12.0,74,44,4.11,2.44,1.67,34.06,12.07,29,50.4,69,12,17.4,58,7,87.9,105.3,68,145,2.57,82.44,79.57,78.8,30.94,67.94,0.74,13.31,-1.31,COL,Central,Western
2024-2025,20251116,19,Columbus Blue Jackets,CBJ,18,9,7,1.29,56,56,3.11,3.11,0.0,31.33,9.93,20,52.3,43,7,16.3,48,13,72.9,89.2,62,153,2.908,47.13,40.62,45.47,40.63,43.46,0.5,9.0,0.0,CBJ,Metropolitan,Eastern
2024-2025,20251116,27,Dallas Stars,DAL,19,12,4,3.0,64,53,3.37,2.79,0.58,25.89,13.01,27,53.1,66,22,33.3,57,14,75.4,108.7,65,149,2.679,71.2,49.71,55.92,44.15,55.24,0.59,11.27,0.73,DAL,Central,Western
2024-2025,20251116,16,Detroit Red Wings,DET,18,10,7,1.43,56,59,3.11,3.28,-0.17,29.33,10.61,21,52.2,62,13,21.0,52,9,82.7,103.7,63,148,2.954,51.55,45.24,46.66,33.06,44.13,0.47,8.52,1.48,DET,Atlantic,Eastern
2024-2025,20251116,24,Edmonton Oilers,EDM,20,9,7,1.29,62,68,3.1,3.4,-0.3,28.2,10.99,22,52.7,51,16,31.4,52,9,82.7,114.1,58,119,2.542,59.5,45.83,44.14,21.33,42.7,0.45,9.08,-0.08,EDM,Pacific,Western
2024-2025,20251116,4,Florida Panthers,FLO,18,9,8,1.12,50,53,2.78,2.94,-0.16,27.83,9.98,19,48.2,70,14,20.0,63,13,79.4,99.4,79,175,3.089,39.41,53.1,51.26,82.76,56.63,0.47,8.5,0.5,FLA,Atlantic,Eastern
2024-2025,20251116,28,Los Angeles Kings,LAK,19,10,5,2.0,55,52,2.89,2.74,0.15,28.89,10.02,24,48.6,58,9,15.5,65,14,78.5,94.0,68,151,2.684,38.22,55.46,57.62,34.85,46.54,0.53,10.01,-0.01,LAK,Pacific,Western
2024-2025,20251116,25,Minnesota Wild,MIN,19,8,7,1.14,53,59,2.79,3.11,-0.32,28.58,9.76,20,48.0,73,19,26.0,42,11,73.8,99.8,49,123,2.491,46.57,47.34,49.97,42.0,46.47,0.45,8.47,-0.47,MIN,Central,Western
2024-2025,20251116,14,Montreal Canadiens,MTL,18,10,6,1.67,60,61,3.33,3.39,-0.06,24.83,13.42,22,50.4,56,12,21.4,63,13,79.4,100.8,85,202,3.55,56.98,40.56,35.92,62.57,49.01,0.49,8.84,1.16,MTL,Atlantic,Eastern
2024-2025,20251116,18,Nashville Predators,NSH,19,6,9,0.67,49,66,2.58,3.47,-0.89,27.32,9.44,16,52.0,58,10,17.2,59,11,81.4,98.6,72,153,2.962,28.71,43.33,37.7,39.62,37.34,0.36,6.76,-0.76,NSH,Central,Western
2024-2025,20251116,7,New Jersey Devils,NJD,18,13,4,3.25,61,52,3.39,2.89,0.5,29.5,11.49,27,48.9,47,12,25.5,53,8,84.9,110.4,56,120,2.44,63.88,69.37,61.71,43.85,59.7,0.58,10.42,2.58,NJD,Metropolitan,Eastern
2024-2025,20251116,8,New York Islanders,NYI,18,10,6,1.67,60,56,3.33,3.11,0.22,28.83,11.56,22,53.0,60,10,16.7,62,12,80.6,97.3,77,193,3.369,53.73,46.0,47.21,54.4,50.34,0.53,9.61,0.39,NYI,Metropolitan,Eastern
2024-2025,20251116,9,New York Rangers,NYR,19,10,7,1.43,50,46,2.63,2.42,0.21,27.89,9.43,22,53.6,48,8,16.7,51,10,80.4,97.1,61,135,2.367,29.71,70.96,75.16,65.81,60.41,0.54,10.29,-0.29,NYR,Metropolitan,Eastern
2024-2025,20251116,13,Ottawa Senators,OTT,19,9,6,1.5,64,65,3.37,3.42,-0.05,26.58,12.67,22,58.3,60,14,23.3,53,17,67.9,91.2,75,175,3.168,60.56,23.63,29.46,63.05,44.18,0.49,9.36,-0.36,OTT,Atlantic,Eastern
2024-2025,20251116,6,Philadelphia Flyers,PHI,18,9,6,1.5,51,51,2.83,2.83,0.0,24.72,11.46,21,48.1,51,10,19.6,56,7,87.5,107.1,78,214,3.495,37.84,62.29,65.5,64.37,57.5,0.5,9.0,0.0,PHI,Metropolitan,Eastern
2024-2025,20251116,10,Pittsburgh Penguins,PIT,18,9,5,1.8,57,47,3.17,2.61,0.56,27.67,11.45,22,49.4,44,15,34.1,52,8,84.6,118.7,62,162,2.811,63.89,71.09,71.26,24.19,57.61,0.6,10.73,-1.73,PIT,Metropolitan,Eastern
2024-2025,20251116,26,San Jose Sharks,SJS,19,8,8,1.0,56,62,2.95,3.26,-0.31,24.21,12.17,19,48.2,64,12,18.8,62,14,77.4,96.2,68,150,2.851,41.52,43.81,39.89,42.71,41.98,0.45,8.55,-0.55,SJS,Pacific,Western
2024-2025,20251116,143,Seattle Kraken,SEA,18,9,4,2.25,49,48,2.72,2.67,0.05,24.56,11.09,23,44.6,53,10,18.9,52,15,71.2,90.1,60,145,2.651,33.48,51.42,56.97,34.48,44.09,0.51,9.17,-0.17,SEA,Pacific,Western
