SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251109,29,Anaheim Ducks,ANA,14,10,3,3.33,59,45,4.21,3.21,1.0,30.79,13.69,21,46.6,55,12,21.8,47,12,74.5,96.3,59,147,3.337,82.08,42.46,40.77,65.92,57.81,0.63,8.85,1.15,ANA,Pacific,Western
2024-2025,20251109,11,Boston Bruins,BOS,17,10,7,1.43,57,56,3.35,3.29,0.06,27.06,12.39,20,54.0,54,12,22.2,64,12,81.2,103.4,81,181,3.409,56.25,45.57,42.1,65.6,52.38,0.51,8.65,1.35,BOS,Atlantic,Eastern
2024-2025,20251109,15,Buffalo Sabres,BUF,15,5,6,0.83,41,49,2.73,3.27,-0.54,28.93,9.45,14,42.8,46,8,17.4,48,5,89.6,107.0,66,162,3.445,37.03,54.77,51.9,53.41,49.28,0.41,6.16,-1.16,BUF,Atlantic,Eastern
2024-2025,20251109,23,Calgary Flames,CGY,16,4,10,0.4,36,52,2.25,3.25,-1.0,28.19,7.98,10,46.8,57,7,12.3,57,13,77.2,89.5,75,190,3.666,19.29,38.31,40.67,69.47,41.93,0.32,5.18,-1.18,CGY,Pacific,Western
2024-2025,20251109,3,Carolina Hurricanes,CAR,14,10,4,2.5,54,38,3.86,2.71,1.15,32.43,11.89,20,50.7,39,5,12.8,47,8,83.0,95.8,60,133,2.933,65.29,65.18,62.91,50.15,60.88,0.67,9.38,0.62,CAR,Metropolitan,Eastern
2024-2025,20251109,20,Chicago Blackhawks,CHI,15,7,5,1.4,48,39,3.2,2.6,0.6,25.53,12.53,17,47.2,44,9,20.5,57,10,82.5,103.0,72,173,3.299,49.32,64.78,63.87,45.19,55.79,0.6,9.04,-2.04,CHI,Central,Western
2024-2025,20251109,22,Colorado Avalanche,COL,15,9,1,9.0,59,36,3.93,2.4,1.53,34.07,11.55,23,50.4,60,9,15.0,47,5,89.4,104.4,56,121,2.543,71.63,79.16,78.14,28.72,64.41,0.73,10.93,-1.93,COL,Central,Western
2024-2025,20251109,19,Columbus Blue Jackets,CBJ,14,7,7,1.0,44,45,3.14,3.21,-0.07,32.71,9.61,14,52.0,34,5,14.7,41,12,70.7,85.4,50,123,2.989,48.86,40.44,40.77,45.33,43.85,0.49,6.85,0.15,CBJ,Metropolitan,Eastern
2024-2025,20251109,27,Dallas Stars,DAL,15,8,4,2.0,47,49,3.13,3.27,-0.14,25.8,12.14,19,52.2,55,18,32.7,48,14,70.8,103.5,53,122,2.942,59.64,32.84,37.08,46.01,43.89,0.48,7.17,0.83,DAL,Central,Western
2024-2025,20251109,16,Detroit Red Wings,DET,15,9,6,1.5,45,46,3.0,3.07,-0.07,28.07,10.69,18,51.5,48,10,20.8,42,6,85.7,106.5,49,112,2.71,46.46,57.18,56.29,29.99,47.48,0.49,7.33,1.67,DET,Atlantic,Eastern
