SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251118,29,Anaheim Ducks,ANA,19,12,6,2.0,70,60,3.68,3.16,0.52,30.0,12.28,25,46.8,67,14,20.9,67,15,77.6,98.5,84,212,3.449,70.46,45.06,41.56,66.89,55.99,0.58,10.94,1.06,ANA,Pacific,Western
2024-2025,20251118,11,Boston Bruins,BOS,21,12,9,1.33,69,69,3.29,3.29,0.0,26.95,12.19,24,53.0,71,18,25.4,80,14,82.5,107.9,106,240,3.592,60.63,41.58,41.26,70.65,53.53,0.5,10.5,1.5,BOS,Atlantic,Eastern
2024-2025,20251118,15,Buffalo Sabres,BUF,19,7,8,0.88,56,65,2.95,3.42,-0.47,27.84,10.59,18,42.3,58,10,17.2,58,6,89.7,106.9,79,207,3.52,41.25,53.12,48.18,55.28,49.46,0.43,8.11,-1.11,BUF,Atlantic,Eastern
2024-2025,20251118,23,Calgary Flames,CGY,20,5,12,0.42,43,60,2.15,3.0,-0.85,29.85,7.2,13,48.4,67,8,11.9,66,15,77.3,89.2,85,210,3.282,12.16,45.25,47.98,59.17,41.14,0.34,6.79,-1.79,CGY,Pacific,Western
2024-2025,20251118,3,Carolina Hurricanes,CAR,19,13,5,2.6,70,54,3.68,2.84,0.84,33.58,10.97,27,49.6,54,7,13.0,62,13,79.0,92.0,79,174,2.934,64.27,55.95,55.23,47.02,55.62,0.63,11.91,1.09,CAR,Metropolitan,Eastern
2024-2025,20251118,20,Chicago Blackhawks,CHI,18,9,5,1.8,59,46,3.28,2.56,0.72,25.28,12.97,22,46.7,52,13,25.0,66,10,84.8,109.8,81,191,3.1,58.66,71.94,68.35,44.41,60.84,0.62,11.19,-2.19,CHI,Central,Western
2024-2025,20251118,22,Colorado Avalanche,COL,19,13,1,13.0,78,45,4.11,2.37,1.74,33.74,12.17,31,50.0,72,12,16.7,62,7,88.7,105.4,73,158,2.593,82.1,80.88,80.42,32.25,68.91,0.75,14.26,-1.26,COL,Central,Western
2024-2025,20251118,19,Columbus Blue Jackets,CBJ,19,10,7,1.43,60,59,3.16,3.11,0.05,30.89,10.22,22,51.7,45,8,17.8,48,13,72.9,90.7,62,153,2.819,50.09,41.72,46.52,37.94,44.07,0.51,9.65,0.35,CBJ,Metropolitan,Eastern
2024-2025,20251118,27,Dallas Stars,DAL,19,12,4,3.0,64,53,3.37,2.79,0.58,25.89,13.01,27,53.1,66,22,33.3,57,14,75.4,108.7,65,149,2.679,71.28,49.25,55.18,44.12,54.96,0.59,11.27,0.73,DAL,Central,Western
2024-2025,20251118,16,Detroit Red Wings,DET,19,11,7,1.57,58,60,3.05,3.16,-0.11,30.0,10.18,23,52.7,67,14,20.9,54,10,81.5,102.4,66,162,2.964,50.43,47.01,49.91,35.35,45.67,0.48,9.16,1.84,DET,Atlantic,Eastern
2024-2025,20251118,24,Edmonton Oilers,EDM,21,9,8,1.12,63,73,3.0,3.48,-0.48,28.43,10.55,22,52.8,52,16,30.8,54,10,81.5,112.3,61,128,2.601,55.86,42.57,41.16,22.79,40.6,0.43,8.95,0.05,EDM,Pacific,Western
2024-2025,20251118,4,Florida Panthers,FLO,19,10,8,1.25,58,58,3.05,3.05,0.0,28.53,10.7,21,48.2,76,16,21.1,69,15,78.3,99.4,88,193,3.219,50.13,47.97,45.12,86.42,57.41,0.5,9.5,0.5,FLA,Atlantic,Eastern
2024-2025,20251118,28,Los Angeles Kings,LAK,20,10,6,1.67,56,54,2.8,2.7,0.1,29.0,9.66,24,48.8,61,10,16.4,67,14,79.1,95.5,70,155,2.626,36.46,57.34,59.25,34.18,46.81,0.52,10.36,-0.36,LAK,Pacific,Western
2024-2025,20251118,25,Minnesota Wild,MIN,20,9,7,1.29,56,61,2.8,3.05,-0.25,28.5,9.82,22,48.2,77,20,26.0,46,13,71.7,97.7,53,131,2.482,46.94,46.14,49.54,44.3,46.73,0.46,9.15,-0.15,MIN,Central,Western
2024-2025,20251118,14,Montreal Canadiens,MTL,19,10,6,1.67,63,64,3.32,3.37,-0.05,25.21,13.15,23,50.9,56,12,21.4,65,14,78.5,99.9,87,206,3.466,56.45,41.18,36.45,59.61,48.42,0.49,9.36,0.64,MTL,Atlantic,Eastern
2024-2025,20251118,18,Nashville Predators,NSH,20,6,10,0.6,49,70,2.45,3.5,-1.05,27.0,9.07,16,52.4,62,10,16.1,59,11,81.4,97.5,72,153,2.893,23.15,43.97,38.18,40.13,36.36,0.33,6.58,-0.58,NSH,Central,Western
2024-2025,20251118,7,New Jersey Devils,NJD,18,13,4,3.25,61,52,3.39,2.89,0.5,29.5,11.49,27,48.9,47,12,25.5,53,8,84.9,110.4,56,120,2.44,64.2,68.8,61.22,44.08,59.58,0.58,10.42,2.58,NJD,Metropolitan,Eastern
2024-2025,20251118,8,New York Islanders,NYI,19,10,7,1.43,61,60,3.21,3.16,0.05,28.84,11.13,22,53.3,64,10,15.6,65,12,81.5,97.1,81,204,3.39,49.04,46.33,46.57,51.83,48.44,0.51,9.65,0.35,NYI,Metropolitan,Eastern
2024-2025,20251118,9,New York Rangers,NYR,20,10,8,1.25,51,48,2.55,2.4,0.15,27.45,9.29,22,52.9,50,9,18.0,56,11,80.4,98.4,68,157,2.507,28.08,69.3,73.7,67.89,59.74,0.53,10.61,-0.61,NYR,Metropolitan,Eastern
2024-2025,20251118,13,Ottawa Senators,OTT,19,9,6,1.5,64,65,3.37,3.42,-0.05,26.58,12.67,22,58.3,60,14,23.3,53,17,67.9,91.2,75,175,3.168,60.72,24.81,29.83,62.71,44.52,0.49,9.36,-0.36,OTT,Atlantic,Eastern
2024-2025,20251118,6,Philadelphia Flyers,PHI,18,9,6,1.5,51,51,2.83,2.83,0.0,24.72,11.46,21,48.1,51,10,19.6,56,7,87.5,107.1,78,214,3.495,37.8,61.68,64.92,64.04,57.11,0.5,9.0,0.0,PHI,Metropolitan,Eastern
2024-2025,20251118,10,Pittsburgh Penguins,PIT,19,10,5,2.0,61,47,3.21,2.47,0.74,27.37,11.73,24,48.9,44,15,34.1,56,8,85.7,119.8,66,170,2.744,64.97,75.52,75.52,24.09,60.03,0.63,11.93,-1.93,PIT,Metropolitan,Eastern
2024-2025,20251118,26,San Jose Sharks,SJS,19,8,8,1.0,56,62,2.95,3.26,-0.31,24.21,12.17,19,48.2,64,12,18.8,62,14,77.4,96.2,68,150,2.851,41.48,44.27,40.0,42.89,42.16,0.45,8.55,-0.55,SJS,Pacific,Western
2024-2025,20251118,143,Seattle Kraken,SEA,18,9,4,2.25,49,48,2.72,2.67,0.05,24.56,11.09,23,44.6,53,10,18.9,52,15,71.2,90.1,60,145,2.651,33.41,50.91,56.0,34.67,43.75,0.51,9.17,-0.17,SEA,Pacific,Western
2024-2025,20251118,17,St. Louis Blues,STL,19,6,9,0.67,53,73,2.79,3.84,-1.05,25.58,10.91,16,50.5,48,11,22.9,48,14,70.8,93.7,58,134,2.912,39.64,20.72,21.28,62.15,35.95,0.35,6.56,-0.56,STL,Central,Western
2024-2025,20251118,1,Tampa Bay Lightning,TBL,18,9,7,1.29,54,55,3.0,3.06,-0.06,26.67,11.25,20,44.9,59,9,15.3,59,9,84.7,100.0,87,220,3.64,40.51,53.69,53.97,57.11,51.32,0.49,8.82,0.18,TBL,Atlantic,Eastern
2024-2025,20251118,12,Toronto Maple Leafs,TOR,19,8,9,0.89,67,72,3.53,3.79,-0.26,27.74,12.71,18,56.1,50,8,16.0,57,12,78.9,94.9,68,145,3.018,58.5,30.23,26.23,63.57,44.63,0.46,8.83,-0.83,TOR,Atlantic,Eastern
2024-2025,20251118,30,Utah Mammoth,UTA,19,10,7,1.43,60,58,3.16,3.05,0.11,29.16,10.83,22,47.6,58,9,15.5,50,9,82.0,97.5,69,171,2.972,47.22,57.2,55.13,28.51,47.01,0.52,9.84,0.16,UTA,Central,Western
2024-2025,20251118,21,Vancouver Canucks,VAN,21,9,10,0.9,67,77,3.19,3.67,-0.48,26.0,12.27,20,46.7,68,16,23.5,70,23,67.1,90.6,88,209,3.44,54.86,14.04,15.41,63.79,37.03,0.43,9.04,-0.04,VAN,Pacific,Western
2024-2025,20251118,142,Vegas Golden Knights,VGK,18,8,4,2.0,57,52,3.17,2.89,0.28,29.56,10.71,22,53.8,65,15,23.1,51,11,78.4,101.5,61,139,2.68,56.22,53.11,55.94,41.83,51.77,0.55,9.83,-1.83,VGK,Pacific,Western
2024-2025,20251118,5,Washington Capitals,WSH,19,9,8,1.12,53,47,2.79,2.47,0.32,29.68,9.4,20,48.4,57,8,14.0,62,17,72.6,86.6,80,191,2.982,34.26,53.15,60.51,51.09,49.75,0.56,10.65,-1.65,WSH,Metropolitan,Eastern
2024-2025,20251118,2,Winnipeg Jets,WPJ,18,11,7,1.57,59,50,3.28,2.78,0.5,26.89,12.19,22,53.0,58,14,24.1,69,11,84.1,108.2,78,188,3.148,58.76,65.33,59.49,59.26,60.71,0.58,10.48,0.52,WPG,Central,Western
