SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251112,29,Anaheim Ducks,ANA,16,11,4,2.75,64,50,4.0,3.12,0.88,30.5,13.11,23,46.7,61,14,23.0,55,13,76.4,99.4,68,165,3.264,79.17,46.3,43.49,67.39,59.09,0.62,9.95,1.05,ANA,Pacific,Western
2024-2025,20251112,11,Boston Bruins,BOS,18,11,7,1.57,62,59,3.44,3.28,0.16,27.33,12.6,22,53.2,60,15,25.0,69,13,81.2,106.2,88,195,3.459,62.74,43.03,41.05,66.54,53.34,0.52,9.43,1.57,BOS,Atlantic,Eastern
2024-2025,20251112,15,Buffalo Sabres,BUF,15,5,6,0.83,41,49,2.73,3.27,-0.54,28.93,9.45,14,42.8,46,8,17.4,48,5,89.6,107.0,66,162,3.445,36.54,55.88,52.45,55.54,50.1,0.41,6.16,-1.16,BUF,Atlantic,Eastern
2024-2025,20251112,23,Calgary Flames,CGY,18,4,12,0.33,38,57,2.11,3.17,-1.06,29.28,7.21,10,47.7,61,7,11.5,63,14,77.8,89.3,82,204,3.52,14.33,40.87,42.91,64.41,40.63,0.31,5.53,-1.53,CGY,Pacific,Western
2024-2025,20251112,3,Carolina Hurricanes,CAR,16,11,5,2.2,60,46,3.75,2.88,0.87,33.25,11.28,22,50.2,48,6,12.5,55,10,81.8,94.3,71,158,3.077,63.91,60.05,56.35,50.53,57.71,0.63,10.06,0.94,CAR,Metropolitan,Eastern
2024-2025,20251112,20,Chicago Blackhawks,CHI,16,8,5,1.6,53,40,3.31,2.5,0.81,25.19,13.15,19,47.3,47,12,25.5,62,10,83.9,109.4,77,183,3.24,57.71,70.51,68.26,45.04,60.38,0.64,10.19,-2.19,CHI,Central,Western
2024-2025,20251112,22,Colorado Avalanche,COL,17,11,1,11.0,68,41,4.0,2.41,1.59,34.06,11.74,27,49.9,67,12,17.9,54,6,88.9,106.8,64,137,2.561,77.32,79.03,78.83,28.58,65.94,0.73,12.47,-1.47,COL,Central,Western
2024-2025,20251112,19,Columbus Blue Jackets,CBJ,16,8,7,1.14,50,51,3.12,3.19,-0.07,31.94,9.78,17,51.8,40,6,15.0,44,12,72.7,87.7,56,138,2.968,47.63,39.49,43.08,40.61,42.7,0.49,7.82,0.18,CBJ,Metropolitan,Eastern
2024-2025,20251112,27,Dallas Stars,DAL,17,10,4,2.5,52,52,3.06,3.06,0.0,26.18,11.69,23,53.0,61,20,32.8,53,14,73.6,106.4,59,134,2.8,58.96,40.39,45.05,44.58,47.25,0.5,8.5,1.5,DAL,Central,Western
2024-2025,20251112,16,Detroit Red Wings,DET,16,9,7,1.29,46,51,2.88,3.19,-0.31,29.19,9.85,18,51.5,53,10,18.9,45,9,80.0,98.9,52,118,2.737,42.56,47.96,48.42,30.36,42.33,0.45,7.18,1.82,DET,Atlantic,Eastern
