SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251113,29,Anaheim Ducks,ANA,16,11,4,2.75,64,50,4.0,3.12,0.88,30.5,13.11,23,46.7,61,14,23.0,55,13,76.4,99.4,68,165,3.264,79.56,46.44,43.64,67.63,59.32,0.62,9.95,1.05,ANA,Pacific,Western
2024-2025,20251113,11,Boston Bruins,BOS,18,11,7,1.57,62,59,3.44,3.28,0.16,27.33,12.6,22,53.2,60,15,25.0,69,13,81.2,106.2,88,195,3.459,63.0,43.04,41.07,66.22,53.33,0.52,9.43,1.57,BOS,Atlantic,Eastern
2024-2025,20251113,15,Buffalo Sabres,BUF,16,5,7,0.71,43,54,2.69,3.38,-0.69,28.31,9.49,14,42.7,48,8,16.7,50,5,90.0,106.7,70,186,3.653,33.6,52.69,49.57,57.98,48.46,0.39,6.2,-1.2,BUF,Atlantic,Eastern
2024-2025,20251113,23,Calgary Flames,CGY,18,4,12,0.33,38,57,2.11,3.17,-1.06,29.28,7.21,10,47.7,61,7,11.5,63,14,77.8,89.3,82,204,3.52,13.45,40.88,43.02,64.33,40.42,0.31,5.53,-1.53,CGY,Pacific,Western
2024-2025,20251113,3,Carolina Hurricanes,CAR,16,11,5,2.2,60,46,3.75,2.88,0.87,33.25,11.28,22,50.2,48,6,12.5,55,10,81.8,94.3,71,158,3.077,63.85,60.55,56.74,50.67,57.95,0.63,10.06,0.94,CAR,Metropolitan,Eastern
2024-2025,20251113,20,Chicago Blackhawks,CHI,17,8,5,1.6,56,44,3.29,2.59,0.7,24.88,13.24,20,47.1,50,13,26.0,63,10,84.1,110.1,78,185,3.165,57.79,69.96,67.14,45.75,60.16,0.62,10.5,-2.5,CHI,Central,Western
2024-2025,20251113,22,Colorado Avalanche,COL,17,11,1,11.0,68,41,4.0,2.41,1.59,34.06,11.74,27,49.9,67,12,17.9,54,6,88.9,106.8,64,137,2.561,77.45,80.13,79.68,28.52,66.45,0.73,12.47,-1.47,COL,Central,Western
2024-2025,20251113,19,Columbus Blue Jackets,CBJ,16,8,7,1.14,50,51,3.12,3.19,-0.07,31.94,9.78,17,51.8,40,6,15.0,44,12,72.7,87.7,56,138,2.968,47.29,39.51,43.17,40.52,42.62,0.49,7.82,0.18,CBJ,Metropolitan,Eastern
2024-2025,20251113,27,Dallas Stars,DAL,17,10,4,2.5,52,52,3.06,3.06,0.0,26.18,11.69,23,53.0,61,20,32.8,53,14,73.6,106.4,59,134,2.8,59.17,40.51,45.26,44.2,47.28,0.5,8.5,1.5,DAL,Central,Western
2024-2025,20251113,16,Detroit Red Wings,DET,16,9,7,1.29,46,51,2.88,3.19,-0.31,29.19,9.85,18,51.5,53,10,18.9,45,9,80.0,98.9,52,118,2.737,42.27,48.17,48.54,30.04,42.25,0.45,7.18,1.82,DET,Atlantic,Eastern
2024-2025,20251113,24,Edmonton Oilers,EDM,18,8,6,1.33,54,60,3.0,3.33,-0.33,28.5,10.53,20,53.2,48,15,31.2,49,9,81.6,112.8,54,111,2.562,55.87,46.44,45.82,19.28,41.85,0.45,8.06,-0.06,EDM,Pacific,Western
2024-2025,20251113,4,Florida Panthers,FLO,16,8,7,1.14,43,47,2.69,2.94,-0.25,28.12,9.56,17,47.7,60,11,18.3,57,13,77.2,95.5,70,157,3.11,35.77,50.45,49.44,86.52,55.55,0.46,7.29,0.71,FLA,Atlantic,Eastern
2024-2025,20251113,28,Los Angeles Kings,LAK,17,8,5,1.6,50,49,2.94,2.88,0.06,29.06,10.12,20,49.9,54,9,16.7,62,14,77.4,94.1,65,145,2.861,41.66,49.4,51.06,38.46,45.14,0.51,8.68,-0.68,LAK,Pacific,Western
2024-2025,20251113,25,Minnesota Wild,MIN,18,7,7,1.0,51,59,2.83,3.28,-0.45,28.5,9.94,18,47.5,66,19,28.8,40,11,72.5,101.3,47,119,2.587,50.46,42.24,44.25,42.65,44.9,0.43,7.68,-0.68,MIN,Central,Western
