SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251105,29,Anaheim Ducks,ANA,12,8,3,2.67,48,37,4.0,3.08,0.92,31.42,12.73,17,47.3,49,10,20.4,39,8,79.5,99.9,51,131,3.368,76.89,50.93,49.44,63.62,60.22,0.63,7.53,0.47,ANA,Pacific,Western
2024-2025,20251105,11,Boston Bruins,BOS,15,8,7,1.14,49,51,3.27,3.4,-0.13,26.4,12.37,16,54.3,50,11,22.0,58,10,82.8,104.8,71,158,3.432,54.01,45.18,41.06,64.7,51.24,0.48,7.21,0.79,BOS,Atlantic,Eastern
2024-2025,20251105,15,Buffalo Sabres,BUF,13,5,4,1.25,38,40,2.92,3.08,-0.16,29.54,9.9,14,42.1,42,8,19.0,44,4,90.9,109.9,60,147,3.451,43.99,61.53,57.3,55.49,54.58,0.47,6.15,-1.15,BUF,Atlantic,Eastern
2024-2025,20251105,23,Calgary Flames,CGY,14,3,9,0.33,31,47,2.21,3.36,-1.15,28.0,7.91,8,46.4,52,7,13.5,53,12,77.4,90.9,67,165,3.676,18.52,39.24,37.94,65.8,40.38,0.3,4.23,-1.23,CGY,Pacific,Western
2024-2025,20251105,3,Carolina Hurricanes,CAR,12,8,4,2.0,44,32,3.67,2.67,1.0,32.67,11.22,16,50.4,35,4,11.4,43,7,83.7,95.1,53,106,2.784,60.57,66.02,62.0,46.17,58.69,0.65,7.85,0.15,CAR,Metropolitan,Eastern
2024-2025,20251105,20,Chicago Blackhawks,CHI,13,5,5,1.0,39,37,3.0,2.85,0.15,25.23,11.89,13,47.9,40,7,17.5,52,10,80.8,98.3,64,148,3.369,41.67,56.57,53.22,46.66,49.53,0.53,6.83,-1.83,CHI,Central,Western
2024-2025,20251105,22,Colorado Avalanche,COL,14,8,1,8.0,50,35,3.57,2.5,1.07,34.07,10.48,21,50.8,53,9,17.0,42,4,90.5,107.5,51,111,2.556,64.55,74.49,72.97,26.6,59.65,0.67,9.39,-1.39,COL,Central,Western
2024-2025,20251105,19,Columbus Blue Jackets,CBJ,12,7,5,1.4,40,36,3.33,3.0,0.33,31.92,10.44,14,50.7,30,5,16.7,36,12,66.7,83.4,42,96,2.749,54.79,43.47,44.24,40.54,45.76,0.55,6.62,0.38,CBJ,Metropolitan,Eastern
2024-2025,20251105,27,Dallas Stars,DAL,13,7,3,2.33,37,38,2.85,2.92,-0.07,26.08,10.91,17,52.3,45,14,31.1,39,11,71.8,102.9,44,104,2.762,49.47,44.22,49.7,50.46,48.46,0.49,6.34,0.66,DAL,Central,Western
2024-2025,20251105,16,Detroit Red Wings,DET,14,9,5,1.8,44,42,3.14,3.0,0.14,27.64,11.37,18,52.0,44,10,22.7,39,5,87.2,109.9,45,101,2.634,51.51,58.7,58.31,26.36,48.72,0.52,7.32,1.68,DET,Atlantic,Eastern
