SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20251119,29,Anaheim Ducks,ANA,19,12,6,2.0,70,60,3.68,3.16,0.52,30.0,12.28,25,46.8,67,14,20.9,67,15,77.6,98.5,84,212,3.449,70.74,45.28,41.19,65.63,55.71,0.58,10.94,1.06,ANA,Pacific,Western
2024-2025,20251119,11,Boston Bruins,BOS,21,12,9,1.33,69,69,3.29,3.29,0.0,26.95,12.19,24,53.1,71,18,25.4,80,14,82.5,107.9,106,240,3.591,60.92,42.04,40.89,69.51,53.34,0.5,10.5,1.5,BOS,Atlantic,Eastern
2024-2025,20251119,15,Buffalo Sabres,BUF,19,7,8,0.88,56,65,2.95,3.42,-0.47,27.84,10.59,18,42.3,58,10,17.2,58,6,89.7,106.9,79,207,3.52,41.27,53.55,48.04,54.23,49.27,0.43,8.11,-1.11,BUF,Atlantic,Eastern
2024-2025,20251119,23,Calgary Flames,CGY,21,5,13,0.38,45,65,2.14,3.1,-0.96,29.43,7.28,13,48.8,71,9,12.7,70,15,78.6,91.3,96,272,3.81,12.12,41.92,45.63,70.25,42.48,0.32,6.78,-1.78,CGY,Pacific,Western
2024-2025,20251119,3,Carolina Hurricanes,CAR,19,13,5,2.6,70,54,3.68,2.84,0.84,33.58,10.97,27,49.6,54,7,13.0,62,13,79.0,92.0,79,174,2.934,64.41,56.33,55.23,46.76,55.68,0.63,11.91,1.09,CAR,Metropolitan,Eastern
2024-2025,20251119,20,Chicago Blackhawks,CHI,19,10,5,2.0,64,48,3.37,2.53,0.84,25.16,13.39,24,46.5,56,13,23.2,70,11,84.3,107.5,91,251,3.608,60.15,70.0,68.95,49.58,62.17,0.64,12.15,-2.15,CHI,Central,Western
2024-2025,20251119,22,Colorado Avalanche,COL,19,13,1,13.0,78,45,4.11,2.37,1.74,33.74,12.17,31,50.0,72,12,16.7,62,7,88.7,105.4,73,158,2.593,82.42,82.17,81.13,32.51,69.56,0.75,14.26,-1.26,COL,Central,Western
2024-2025,20251119,19,Columbus Blue Jackets,CBJ,20,10,8,1.25,62,64,3.1,3.2,-0.1,30.55,10.15,22,51.4,46,8,17.4,50,14,72.0,89.4,64,157,2.814,47.62,37.89,42.78,35.96,41.06,0.48,9.68,0.32,CBJ,Metropolitan,Eastern
2024-2025,20251119,27,Dallas Stars,DAL,20,12,5,2.4,66,56,3.3,2.8,0.5,25.8,12.79,27,53.6,69,22,31.9,59,14,76.3,108.2,69,168,2.806,67.89,47.87,56.04,44.82,54.16,0.58,11.63,0.37,DAL,Central,Western
2024-2025,20251119,16,Detroit Red Wings,DET,20,12,7,1.71,62,62,3.1,3.1,0.0,29.85,10.39,25,52.6,69,15,21.7,56,11,80.4,102.1,68,166,2.892,52.86,47.82,51.0,35.9,46.89,0.5,10.0,2.0,DET,Atlantic,Eastern
