"adj_ppg_quartile","n","avg_ppg","avg_adj_ppg"
"Q1 (Lower)",17,0.433361006,0.132727972823529
"Q2",16,0.768868814,0.226710258625
"Q3",16,0.92779698275,0.2882231059375
"Q4 (Elite)",17,1.25183997588235,0.405702108352941
