artist_name,artist_id,followers,popularity,avg_top_track_popularity,estimated_revenue,date
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6188070,82,77.1,38168.01576,6/23/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2277588,81,76.8,13993.50067,6/23/2025
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6456869,86,83,42873.61016,6/24/2025
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23573700,92,89.4,168599.1024,6/24/2025
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22147794,91,83.9,148655.9933,6/24/2025
Anitta,7FNnA9vBm6EKceENgCGRMb,13184559,82,74,78052.58928,6/24/2025
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2131664,79,75.4,12858.19725,6/24/2025
RAC,4AGwPDdh1y8hochNzHy5HC,170032,57,51.5,700.53184,6/24/2025
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6190737,82,77.5,38382.5694,6/24/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2279137,82,76.9,14021.25082,6/24/2025
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6471371,86,83,42969.90344,6/27/2025
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23627947,92,89.4,168987.0769,6/27/2025
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22185085,91,84.1,149261.2519,6/27/2025
Anitta,7FNnA9vBm6EKceENgCGRMb,13185795,82,74,78059.9064,6/27/2025
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2133484,79,75.4,12869.17549,6/27/2025
RAC,4AGwPDdh1y8hochNzHy5HC,170015,57,51.5,700.4618,6/27/2025
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6199138,82,78,38682.62112,6/27/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2286143,82,77.9,14247.24318,6/27/2025
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6471371,86,83,42969.90344,6/27/2025
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23627947,92,89.4,168987.0769,6/27/2025
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22185085,91,84.1,149261.2519,6/27/2025
Anitta,7FNnA9vBm6EKceENgCGRMb,13185795,82,74,78059.9064,6/27/2025
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2133484,79,75.4,12869.17549,6/27/2025
RAC,4AGwPDdh1y8hochNzHy5HC,170015,57,51.5,700.4618,6/27/2025
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6199138,82,78,38682.62112,6/27/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2286143,82,77.9,14247.24318,6/27/2025
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6474936,86,82.9,42941.77555,6/28/2025
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23644856,92,89.4,169108.0101,6/28/2025
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22198285,92,84.1,149350.0615,6/28/2025
Anitta,7FNnA9vBm6EKceENgCGRMb,13186096,82,74,78061.68832,6/28/2025
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2134135,79,75.4,12873.10232,6/28/2025
RAC,4AGwPDdh1y8hochNzHy5HC,170018,57,51.5,700.47416,6/28/2025
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6201895,82,78.1,38749.43996,6/28/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2288221,82,77.9,14260.19327,6/28/2025
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6480809,86,82.9,42980.72529,6/29/2025
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23664575,92,89.5,169438.357,6/29/2025
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22211696,92,84.1,149440.2907,6/29/2025
Anitta,7FNnA9vBm6EKceENgCGRMb,13186675,82,74,78065.116,6/29/2025
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2134760,79,73.2,12501.15456,6/29/2025
RAC,4AGwPDdh1y8hochNzHy5HC,170014,57,51.5,700.45768,6/29/2025
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6204633,82,78.1,38766.54698,6/29/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2290750,82,77.9,14275.954,6/29/2025
