PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
Travis Mitchell,Bridgeport Islanders,40,0,11,11,0.275,0,0.28,1.6,2,https://www.eliteprospects.com/player/284033/travis-mitchell,2025-2026,ahl
Joseph LaBate,Abbotsford Canucks,23,6,4,10,0.174,0.261,0.43,2.783,-15,https://www.eliteprospects.com/player/75066/joseph-labate,2025-2026,ahl
Anthony Vincent,San Jose Barracuda,41,6,4,10,0.098,0.146,0.24,1.78,-6,https://www.eliteprospects.com/player/300460/anthony-vincent,2025-2026,ahl
Justin Kirkland,Calgary Wranglers,22,5,5,10,0.227,0.227,0.45,0.727,-9,https://www.eliteprospects.com/player/63133/justin-kirkland,2025-2026,ahl
Ryder Rolston,Milwaukee Admirals,35,5,5,10,0.143,0.143,0.29,0.171,2,https://www.eliteprospects.com/player/369853/ryder-rolston,2025-2026,ahl
Dominik Badinka,Chicago Wolves,44,5,5,10,0.114,0.114,0.23,0.136,8,https://www.eliteprospects.com/player/727927/dominik-badinka,2025-2026,ahl
Eetu Liukas,Bridgeport Islanders,24,4,6,10,0.25,0.167,0.42,0.5,4,https://www.eliteprospects.com/player/470708/eetu-liukas,2025-2026,ahl
Hunter St. Martin,Charlotte Checkers,29,4,6,10,0.207,0.138,0.34,0.828,7,https://www.eliteprospects.com/player/641459/hunter-st.-martin,2025-2026,ahl
Dmitri Kuzmin,Rockford IceHogs,37,4,6,10,0.162,0.108,0.27,0.297,1,https://www.eliteprospects.com/player/618502/dmitri-kuzmin,2025-2026,ahl
Miko Matikka,Tucson Roadrunners,39,4,6,10,0.154,0.103,0.26,0.359,-10,https://www.eliteprospects.com/player/628519/miko-matikka,2025-2026,ahl
Hunter Skinner,Springfield Thunderbirds,39,4,6,10,0.154,0.103,0.26,1.128,-4,https://www.eliteprospects.com/player/359531/hunter-skinner,2025-2026,ahl
Anton Blidh,Hartford Wolf Pack,42,4,6,10,0.143,0.095,0.24,0.762,-15,https://www.eliteprospects.com/player/67179/anton-blidh,2025-2026,ahl
Carter King,Calgary Wranglers,48,4,6,10,0.125,0.083,0.21,0.125,-7,https://www.eliteprospects.com/player/412951/carter-king,2025-2026,ahl
Guillaume Richard,Cleveland Monsters,49,4,6,10,0.122,0.082,0.2,0.286,9,https://www.eliteprospects.com/player/551201/guillaume-richard,2025-2026,ahl
Noah Ostlund,Rochester Americans,7,3,7,10,1,0.429,1.43,0.286,0,https://www.eliteprospects.com/player/535699/noah-ostlund,2025-2026,ahl
Cam Squires,Utica Comets,32,3,7,10,0.219,0.094,0.31,0.188,0,https://www.eliteprospects.com/player/649026/cam-squires,2025-2026,ahl
Aaron Huglen,Wilkes-Barre/Scranton Penguins,33,3,7,10,0.212,0.091,0.3,0.303,-1,https://www.eliteprospects.com/player/485574/aaron-huglen,2025-2026,ahl
David Goyette,Coachella Valley Firebirds,47,3,7,10,0.149,0.064,0.21,1.447,3,https://www.eliteprospects.com/player/562220/david-goyette,2025-2026,ahl
Phil Kemp,Wilkes-Barre/Scranton Penguins,53,3,7,10,0.132,0.057,0.19,0.736,4,https://www.eliteprospects.com/player/311901/phil-kemp,2025-2026,ahl
Samu Tuomaala,totals,19,2,8,10,0.421,0.105,0.53,0.316,-3,https://www.eliteprospects.com/player/499422/samu-tuomaala,2025-2026,ahl
Matt Benning,Toronto Marlies,21,2,8,10,0.381,0.095,0.48,0.905,4,https://www.eliteprospects.com/player/29261/matt-benning,2025-2026,ahl
David Jiricek,Iowa Wild,22,2,8,10,0.364,0.091,0.45,0.455,-12,https://www.eliteprospects.com/player/559522/david-ji%C5%99icek,2025-2026,ahl
Beau Akey,Bakersfield Condors,32,2,8,10,0.25,0.062,0.31,0.5,14,https://www.eliteprospects.com/player/613079/beau-akey,2025-2026,ahl
Jake Wise,Colorado Eagles,36,2,8,10,0.222,0.056,0.28,0.222,6,https://www.eliteprospects.com/player/268432/jake-wise,2025-2026,ahl
Noah Warren,San Diego Gulls,49,2,8,10,0.163,0.041,0.2,0.49,9,https://www.eliteprospects.com/player/574586/noah-warren,2025-2026,ahl
Tyler Thorpe,Laval Rocket,52,2,8,10,0.154,0.038,0.19,1.231,0,https://www.eliteprospects.com/player/735110/tyler-thorpe,2025-2026,ahl
Ethan Samson,totals,28,1,9,10,0.321,0.036,0.36,0.643,4,https://www.eliteprospects.com/player/559018/ethan-samson,2025-2026,ahl
Angus Booth,Ontario Reign,42,1,9,10,0.214,0.024,0.24,0.619,1,https://www.eliteprospects.com/player/578244/angus-booth,2025-2026,ahl
Luke Rowe,Bridgeport Islanders,44,1,9,10,0.205,0.023,0.23,1.182,9,https://www.eliteprospects.com/player/322571/luke-rowe,2025-2026,ahl
Oliver Moore,Rockford IceHogs,9,6,3,9,0.333,0.667,1,0.222,8,https://www.eliteprospects.com/player/603195/oliver-moore,2025-2026,ahl
Alexandre Doucet,Grand Rapids Griffins,40,6,3,9,0.075,0.15,0.23,0.25,6,https://www.eliteprospects.com/player/201898/alexandre-doucet,2025-2026,ahl
Vilmer Alriksson,Abbotsford Canucks,43,6,3,9,0.07,0.14,0.21,1.302,-28,https://www.eliteprospects.com/player/617583/vilmer-alriksson,2025-2026,ahl
Bradley Marek,Iowa Wild,49,6,3,9,0.061,0.122,0.18,1.245,-2,https://www.eliteprospects.com/player/370261/bradley-marek,2025-2026,ahl
Michael Buchinger,Springfield Thunderbirds,38,5,4,9,0.105,0.132,0.24,0.474,-10,https://www.eliteprospects.com/player/526053/michael-buchinger,2025-2026,ahl
Luke Krys,Texas Stars,18,4,5,9,0.278,0.222,0.5,0.889,3,https://www.eliteprospects.com/player/364240/luke-krys,2025-2026,ahl
Oliver Bonk,Lehigh Valley Phantoms,25,4,5,9,0.2,0.16,0.36,0.4,-4,https://www.eliteprospects.com/player/590255/oliver-bonk,2025-2026,ahl
Kyle McDonald,Texas Stars,20,3,6,9,0.3,0.15,0.45,0.3,-2,https://www.eliteprospects.com/player/413652/kyle-mcdonald,2025-2026,ahl
Jakov Novak,Coachella Valley Firebirds,25,3,6,9,0.24,0.12,0.36,0.4,2,https://www.eliteprospects.com/player/269880/jakov-novak,2025-2026,ahl
Isaac Ratcliffe,Milwaukee Admirals,35,3,6,9,0.171,0.086,0.26,1.457,-3,https://www.eliteprospects.com/player/300398/isaac-ratcliffe,2025-2026,ahl
Connor Mackey,Hartford Wolf Pack,42,3,6,9,0.143,0.071,0.21,1.738,-10,https://www.eliteprospects.com/player/316315/connor-mackey,2025-2026,ahl
Martin Misiak,Rockford IceHogs,43,3,6,9,0.14,0.07,0.21,0.395,-5,https://www.eliteprospects.com/player/527425/martin-misiak,2025-2026,ahl
Helge Grans,Lehigh Valley Phantoms,43,3,6,9,0.14,0.07,0.21,0.419,-10,https://www.eliteprospects.com/player/395302/helge-grans,2025-2026,ahl
Caleb MacDonald,Cleveland Monsters,45,3,6,9,0.133,0.067,0.2,1.111,0,https://www.eliteprospects.com/player/505193/caleb-macdonald,2025-2026,ahl
Joey Abate,Providence Bruins,45,3,6,9,0.133,0.067,0.2,1.756,3,https://www.eliteprospects.com/player/271357/joey-abate,2025-2026,ahl
Cameron Crotty,Belleville Senators,47,3,6,9,0.128,0.064,0.19,0.617,-5,https://www.eliteprospects.com/player/299556/cameron-crotty,2025-2026,ahl
Ryan Graves,Wilkes-Barre/Scranton Penguins,13,2,7,9,0.538,0.154,0.69,0.308,6,https://www.eliteprospects.com/player/103763/ryan-graves,2025-2026,ahl
Cam Dineen,Bakersfield Condors,19,2,7,9,0.368,0.105,0.47,0.421,-3,https://www.eliteprospects.com/player/268444/cam-dineen,2025-2026,ahl
Andreas Englund,Milwaukee Admirals,42,2,7,9,0.167,0.048,0.21,1.381,1,https://www.eliteprospects.com/player/115148/andreas-englund,2025-2026,ahl
Turner Ottenbreit,Calgary Wranglers,43,2,7,9,0.163,0.047,0.21,1.07,-6,https://www.eliteprospects.com/player/199124/turner-ottenbreit,2025-2026,ahl
Keaton Middleton,Colorado Eagles,46,2,7,9,0.152,0.043,0.2,0.913,16,https://www.eliteprospects.com/player/249597/keaton-middleton,2025-2026,ahl
Elias Salomonsson,Manitoba Moose,29,1,8,9,0.276,0.034,0.31,0.345,-2,https://www.eliteprospects.com/player/574931/elias-salomonsson,2025-2026,ahl
Lukas Dragicevic,Coachella Valley Firebirds,38,1,8,9,0.211,0.026,0.24,0.579,-3,https://www.eliteprospects.com/player/529817/lukas-dragicevic,2025-2026,ahl
Ashton Sautner,Manitoba Moose,43,1,8,9,0.186,0.023,0.21,0.721,11,https://www.eliteprospects.com/player/84404/ashton-sautner,2025-2026,ahl
Mackenzie MacEachern,Abbotsford Canucks,21,6,2,8,0.095,0.286,0.38,0.381,-9,https://www.eliteprospects.com/player/183505/mackenzie-maceachern,2025-2026,ahl
Scott Sabourin,Syracuse Crunch,24,6,2,8,0.083,0.25,0.33,0.917,2,https://www.eliteprospects.com/player/45588/scott-sabourin,2025-2026,ahl
Chase Bradley,Colorado Eagles,29,6,2,8,0.069,0.207,0.28,1.103,7,https://www.eliteprospects.com/player/201795/chase-bradley,2025-2026,ahl
Tate Singleton,Cleveland Monsters,28,5,3,8,0.107,0.179,0.29,1.143,-3,https://www.eliteprospects.com/player/362340/tate-singleton,2025-2026,ahl
Ryan Chesley,Hershey Bears,44,5,3,8,0.068,0.114,0.18,0.273,-18,https://www.eliteprospects.com/player/556717/ryan-chesley,2025-2026,ahl
Marc Gatcomb,Bridgeport Islanders,15,4,4,8,0.267,0.267,0.53,0.4,-4,https://www.eliteprospects.com/player/446950/marc-gatcomb,2025-2026,ahl
Kaden Hammell,Coachella Valley Firebirds,26,4,4,8,0.154,0.154,0.31,0.923,14,https://www.eliteprospects.com/player/535571/kaden-hammell,2025-2026,ahl
Jackson Cates,Rockford IceHogs,29,4,4,8,0.138,0.138,0.28,0.207,-12,https://www.eliteprospects.com/player/353776/jackson-cates,2025-2026,ahl
Hayden Hodgson,Belleville Senators,32,4,4,8,0.125,0.125,0.25,2.938,-14,https://www.eliteprospects.com/player/188193/hayden-hodgson,2025-2026,ahl
Gleb Trikozov,Chicago Wolves,34,4,4,8,0.118,0.118,0.24,0.471,-5,https://www.eliteprospects.com/player/690807/gleb-trikozov,2025-2026,ahl
Ian McKinnon,Coachella Valley Firebirds,43,4,4,8,0.093,0.093,0.19,3.837,2,https://www.eliteprospects.com/player/267844/ian-mckinnon,2025-2026,ahl
Alex Steeves,Providence Bruins,9,3,5,8,0.556,0.333,0.89,0.222,3,https://www.eliteprospects.com/player/354353/alex-steeves,2025-2026,ahl
Michael Pezzetta,Toronto Marlies,31,3,5,8,0.161,0.097,0.26,1.452,-8,https://www.eliteprospects.com/player/269038/michael-pezzetta,2025-2026,ahl
Mark Senden,Colorado Eagles,32,3,5,8,0.156,0.094,0.25,0.375,8,https://www.eliteprospects.com/player/300834/mark-senden,2025-2026,ahl
Luke Prokop,Bakersfield Condors,37,3,5,8,0.135,0.081,0.22,0.378,-5,https://www.eliteprospects.com/player/201923/luke-prokop,2025-2026,ahl
Jujhar Khaira,Abbotsford Canucks,39,3,5,8,0.128,0.077,0.21,1.308,-16,https://www.eliteprospects.com/player/93577/jujhar-khaira,2025-2026,ahl
Colby Barlow,Manitoba Moose,42,3,5,8,0.119,0.071,0.19,0.333,-3,https://www.eliteprospects.com/player/603562/colby-barlow,2025-2026,ahl
Kyle Marino,Milwaukee Admirals,47,3,5,8,0.106,0.064,0.17,2.489,-3,https://www.eliteprospects.com/player/210307/kyle-marino,2025-2026,ahl
Braden Hache,San Jose Barracuda,48,3,5,8,0.104,0.062,0.17,1.625,3,https://www.eliteprospects.com/player/614397/braden-hache,2025-2026,ahl
Chas Sharpe,Toronto Marlies,26,2,6,8,0.231,0.077,0.31,0.538,1,https://www.eliteprospects.com/player/582499/chas-sharpe,2025-2026,ahl
Vsevolod Komarov,Rochester Americans,37,2,6,8,0.162,0.054,0.22,1.108,2,https://www.eliteprospects.com/player/709023/vsevolod-komarov,2025-2026,ahl
Mathieu Cataford,Henderson Silver Knights,42,2,6,8,0.143,0.048,0.19,0.333,-15,https://www.eliteprospects.com/player/597877/mathieu-cataford,2025-2026,ahl
Shai Buium,Grand Rapids Griffins,18,1,7,8,0.389,0.056,0.44,0.222,-3,https://www.eliteprospects.com/player/512185/shai-buium,2025-2026,ahl
Ayrton Martino,Texas Stars,26,1,7,8,0.269,0.038,0.31,0,-2,https://www.eliteprospects.com/player/582779/ayrton-martino,2025-2026,ahl
Mason Millman,Bakersfield Condors,36,1,7,8,0.194,0.028,0.22,0.361,9,https://www.eliteprospects.com/player/418350/mason-millman,2025-2026,ahl
Nate Clurman,Laval Rocket,44,1,7,8,0.159,0.023,0.18,0.318,8,https://www.eliteprospects.com/player/353810/nate-clurman,2025-2026,ahl
Dino Kambeitz,Abbotsford Canucks,46,1,7,8,0.152,0.022,0.17,0.804,-6,https://www.eliteprospects.com/player/354044/dino-kambeitz,2025-2026,ahl
Blake Smith,Toronto Marlies,46,1,7,8,0.152,0.022,0.17,2.152,9,https://www.eliteprospects.com/player/709899/blake-smith,2025-2026,ahl
C.J. Smith,Bridgeport Islanders,17,0,8,8,0.471,0,0.47,0.471,-4,https://www.eliteprospects.com/player/151013/c.j.-smith,2025-2026,ahl
Ryan Mast,Rockford IceHogs,29,0,8,8,0.276,0,0.28,0.207,0,https://www.eliteprospects.com/player/512167/ryan-mast,2025-2026,ahl
Viliam Kmec,Henderson Silver Knights,41,0,8,8,0.195,0,0.2,0.512,1,https://www.eliteprospects.com/player/527420/viliam-kmec,2025-2026,ahl
Noah Gregor,Charlotte Checkers,13,5,2,7,0.154,0.385,0.54,0.154,-1,https://www.eliteprospects.com/player/162892/noah-gregor,2025-2026,ahl
Julien Gauthier,totals,14,5,2,7,0.143,0.357,0.5,0.429,1,https://www.eliteprospects.com/player/213464/julien-gauthier,2025-2026,ahl
Tanner Howe,Wilkes-Barre/Scranton Penguins,8,4,3,7,0.375,0.5,0.88,0.75,1,https://www.eliteprospects.com/player/647116/tanner-howe,2025-2026,ahl
Nick Poisson,Abbotsford Canucks,29,4,3,7,0.103,0.138,0.24,0.138,-5,https://www.eliteprospects.com/player/473851/nick-poisson,2025-2026,ahl
Landen Hookey,Belleville Senators,40,4,3,7,0.075,0.1,0.18,1,-2,https://www.eliteprospects.com/player/640828/landen-hookey,2025-2026,ahl
Marc McLaughlin,Utica Comets,6,3,4,7,0.667,0.5,1.17,0.333,2,https://www.eliteprospects.com/player/300610/marc-mclaughlin,2025-2026,ahl
Pierrick Dube,Bridgeport Islanders,10,3,4,7,0.4,0.3,0.7,0.6,2,https://www.eliteprospects.com/player/410529/pierrick-dube,2025-2026,ahl
Cam Allen,Hershey Bears,22,3,4,7,0.182,0.136,0.32,1,1,https://www.eliteprospects.com/player/740681/cam-allen,2025-2026,ahl
Ty Gallagher,Providence Bruins,25,3,4,7,0.16,0.12,0.28,0.56,2,https://www.eliteprospects.com/player/512168/ty-gallagher,2025-2026,ahl
Brandon Scanlin,Hartford Wolf Pack,27,3,4,7,0.148,0.111,0.26,1.037,-10,https://www.eliteprospects.com/player/283287/brandon-scanlin,2025-2026,ahl
Mark Duarte,Belleville Senators,28,3,4,7,0.143,0.107,0.25,0.214,-1,https://www.eliteprospects.com/player/534262/mark-duarte,2025-2026,ahl
Tommy Miller,Syracuse Crunch,35,3,4,7,0.114,0.086,0.2,0.543,5,https://www.eliteprospects.com/player/233517/tommy-miller,2025-2026,ahl
Dmitri Osipov,Utica Comets,37,3,4,7,0.108,0.081,0.19,1.108,8,https://www.eliteprospects.com/player/250313/dmitri-osipov,2025-2026,ahl
Jaycob Megna,Henderson Silver Knights,39,3,4,7,0.103,0.077,0.18,0.615,4,https://www.eliteprospects.com/player/84762/jaycob-megna,2025-2026,ahl
Julian Lutz,Tucson Roadrunners,42,3,4,7,0.095,0.071,0.17,1.095,-7,https://www.eliteprospects.com/player/601111/julian-lutz,2025-2026,ahl
Sebastian Aho,Wilkes-Barre/Scranton Penguins,14,2,5,7,0.357,0.143,0.5,0.429,5,https://www.eliteprospects.com/player/67208/sebastian-aho,2025-2026,ahl
Donavan Houle,San Jose Barracuda,15,2,5,7,0.333,0.133,0.47,1.267,1,https://www.eliteprospects.com/player/560870/donavan-houle,2025-2026,ahl
Ryan McAllister,totals,16,2,5,7,0.312,0.125,0.44,0.625,-5,https://www.eliteprospects.com/player/418420/ryan-mcallister,2025-2026,ahl
Kai Schwindt,Charlotte Checkers,22,2,5,7,0.227,0.091,0.32,0.182,3,https://www.eliteprospects.com/player/713317/kai-schwindt,2025-2026,ahl
Maros Jedlicka,Colorado Eagles,25,2,5,7,0.2,0.08,0.28,0.68,5,https://www.eliteprospects.com/player/472350/maros-jedlicka,2025-2026,ahl
Oscar Eklind,Lehigh Valley Phantoms,27,2,5,7,0.185,0.074,0.26,0.444,9,https://www.eliteprospects.com/player/233155/oscar-eklind,2025-2026,ahl
Joe Fleming,Henderson Silver Knights,38,2,5,7,0.132,0.053,0.18,2.447,-13,https://www.eliteprospects.com/player/617531/joe-fleming,2025-2026,ahl
Tobie Paquette-Bisson,Laval Rocket,41,2,5,7,0.122,0.049,0.17,0.341,14,https://www.eliteprospects.com/player/213820/tobie-paquette-bisson,2025-2026,ahl
Cole Clayton,totals,47,2,5,7,0.106,0.043,0.15,0.766,-10,https://www.eliteprospects.com/player/282470/cole-clayton,2025-2026,ahl
Andrew Gibson,Milwaukee Admirals,48,2,5,7,0.104,0.042,0.15,0.812,4,https://www.eliteprospects.com/player/702313/andrew-gibson,2025-2026,ahl
Luca Marrelli,Cleveland Monsters,14,1,6,7,0.429,0.071,0.5,0.286,1,https://www.eliteprospects.com/player/726394/luca-marrelli,2025-2026,ahl
Kyle Burroughs,Ontario Reign,18,1,6,7,0.333,0.056,0.39,0.556,8,https://www.eliteprospects.com/player/87758/kyle-burroughs,2025-2026,ahl
Lleyton Moore,Tucson Roadrunners,21,1,6,7,0.286,0.048,0.33,0.19,-6,https://www.eliteprospects.com/player/201922/lleyton-moore,2025-2026,ahl
Tobias Bjornfot,Charlotte Checkers,22,1,6,7,0.273,0.045,0.32,0.273,6,https://www.eliteprospects.com/player/344751/tobias-bjornfot,2025-2026,ahl
Noah Laaouan,Rochester Americans,24,1,6,7,0.25,0.042,0.29,0.5,1,https://www.eliteprospects.com/player/294620/noah-laaouan,2025-2026,ahl
Jett Woo,Abbotsford Canucks,24,1,6,7,0.25,0.042,0.29,3.25,-9,https://www.eliteprospects.com/player/281813/jett-woo,2025-2026,ahl
Montana Onyebuchi,Tucson Roadrunners,25,1,6,7,0.24,0.04,0.28,1.64,-5,https://www.eliteprospects.com/player/351091/montana-onyebuchi,2025-2026,ahl
Ivan Ryabkin,Chicago Wolves,25,1,6,7,0.24,0.04,0.28,2.24,-2,https://www.eliteprospects.com/player/690132/ivan-ryabkin,2025-2026,ahl
Nikita Susuyev,Springfield Thunderbirds,31,1,6,7,0.194,0.032,0.23,0.387,-10,https://www.eliteprospects.com/player/691473/nikita-susuyev,2025-2026,ahl
Matt Kiersted,Iowa Wild,33,1,6,7,0.182,0.03,0.21,0.848,-5,https://www.eliteprospects.com/player/291904/matt-kiersted,2025-2026,ahl
Michael Callahan,Providence Bruins,35,1,6,7,0.171,0.029,0.2,0.4,21,https://www.eliteprospects.com/player/201479/michael-callahan,2025-2026,ahl
Wyatt Newpower,totals,41,1,6,7,0.146,0.024,0.17,0.634,-7,https://www.eliteprospects.com/player/336478/wyatt-newpower,2025-2026,ahl
Jackson Dorrington,Hartford Wolf Pack,48,1,6,7,0.125,0.021,0.15,0.833,-5,https://www.eliteprospects.com/player/603639/jackson-dorrington,2025-2026,ahl
Vincent Iorio,San Jose Barracuda,6,0,7,7,1.167,0,1.17,0.667,7,https://www.eliteprospects.com/player/201802/vincent-iorio,2025-2026,ahl
Simon Lundmark,Syracuse Crunch,37,0,7,7,0.189,0,0.19,0.432,2,https://www.eliteprospects.com/player/344757/simon-lundmark,2025-2026,ahl
Carter Mazur,Grand Rapids Griffins,5,4,2,6,0.4,0.8,1.2,0.4,7,https://www.eliteprospects.com/player/201766/carter-mazur,2025-2026,ahl
Sloan Stanick,Henderson Silver Knights,12,4,2,6,0.167,0.333,0.5,0.167,1,https://www.eliteprospects.com/player/527498/sloan-stanick,2025-2026,ahl
Daniel Walcott,Hartford Wolf Pack,23,4,2,6,0.087,0.174,0.26,1.087,-2,https://www.eliteprospects.com/player/257725/daniel-walcott,2025-2026,ahl
Kyle Looft,Texas Stars,33,4,2,6,0.061,0.121,0.18,0.545,-12,https://www.eliteprospects.com/player/306341/kyle-looft,2025-2026,ahl
Lucas Ciona,Calgary Wranglers,40,4,2,6,0.05,0.1,0.15,1.625,-4,https://www.eliteprospects.com/player/475634/lucas-ciona,2025-2026,ahl
Zach Aston-Reese,Cleveland Monsters,11,3,3,6,0.273,0.273,0.55,0.818,2,https://www.eliteprospects.com/player/98068/zach-aston-reese,2025-2026,ahl
Jacob Perreault,Providence Bruins,12,3,3,6,0.25,0.25,0.5,0,2,https://www.eliteprospects.com/player/418243/jacob-perreault,2025-2026,ahl
Bryan Yoon,Colorado Eagles,28,3,3,6,0.107,0.107,0.21,0.071,3,https://www.eliteprospects.com/player/272201/bryan-yoon,2025-2026,ahl
Jakub Dvorak,Ontario Reign,36,3,3,6,0.083,0.083,0.17,0.917,5,https://www.eliteprospects.com/player/619016/jakub-dvo%C5%99ak,2025-2026,ahl
Carson Bantle,Grand Rapids Griffins,42,3,3,6,0.071,0.071,0.14,1.262,0,https://www.eliteprospects.com/player/201849/carson-bantle,2025-2026,ahl
Ryan Sandelin,Iowa Wild,48,3,3,6,0.062,0.062,0.13,0.292,-10,https://www.eliteprospects.com/player/311758/ryan-sandelin,2025-2026,ahl
Carey Terrance,Hartford Wolf Pack,50,3,3,6,0.06,0.06,0.12,0.52,-9,https://www.eliteprospects.com/player/574539/carey-terrance,2025-2026,ahl
Nikita Nesterenko,San Diego Gulls,14,2,4,6,0.286,0.143,0.43,0.429,-5,https://www.eliteprospects.com/player/295642/nikita-nesterenko,2025-2026,ahl
Zach Dean,Springfield Thunderbirds,20,2,4,6,0.2,0.1,0.3,0.4,-3,https://www.eliteprospects.com/player/492218/zach-dean,2025-2026,ahl
Jack Millar,Ontario Reign,21,2,4,6,0.19,0.095,0.29,0.333,5,https://www.eliteprospects.com/player/376625/jack-millar,2025-2026,ahl
Raivis Ansons,Wilkes-Barre/Scranton Penguins,25,2,4,6,0.16,0.08,0.24,0.24,-1,https://www.eliteprospects.com/player/477490/raivis-ansons,2025-2026,ahl
Michael Milne,totals,28,2,4,6,0.143,0.071,0.21,1.143,-13,https://www.eliteprospects.com/player/477344/michael-milne,2025-2026,ahl
Ty Murchison,Lehigh Valley Phantoms,29,2,4,6,0.138,0.069,0.21,1.586,12,https://www.eliteprospects.com/player/512190/ty-murchison,2025-2026,ahl
Blake Hillman,Hartford Wolf Pack,34,2,4,6,0.118,0.059,0.18,0.059,-5,https://www.eliteprospects.com/player/248356/blake-hillman,2025-2026,ahl
Connor Mylymok,Rockford IceHogs,37,2,4,6,0.108,0.054,0.16,3.676,-11,https://www.eliteprospects.com/player/352007/connor-mylymok,2025-2026,ahl
Robbie Russo,Tucson Roadrunners,40,2,4,6,0.1,0.05,0.15,0.4,-8,https://www.eliteprospects.com/player/38628/robbie-russo,2025-2026,ahl
Max McCue,Cleveland Monsters,19,1,5,6,0.263,0.053,0.32,1.211,-6,https://www.eliteprospects.com/player/475247/max-mccue,2025-2026,ahl
Ludvig Jansson,Charlotte Checkers,22,1,5,6,0.227,0.045,0.27,0.545,1,https://www.eliteprospects.com/player/590628/ludvig-jansson,2025-2026,ahl
Jarred Tinordi,Syracuse Crunch,24,1,5,6,0.208,0.042,0.25,2.625,7,https://www.eliteprospects.com/player/20706/jarred-tinordi,2025-2026,ahl
Eriks Mateiko,Hershey Bears,27,1,5,6,0.185,0.037,0.22,0.593,1,https://www.eliteprospects.com/player/620208/eriks-mateiko,2025-2026,ahl
Simon Robertsson,Springfield Thunderbirds,29,1,5,6,0.172,0.034,0.21,0.655,-9,https://www.eliteprospects.com/player/473175/simon-robertsson,2025-2026,ahl
Tommy Bergsland,Texas Stars,34,1,5,6,0.147,0.029,0.18,0.353,-1,https://www.eliteprospects.com/player/493505/tommy-bergsland,2025-2026,ahl
Austin Strand,Utica Comets,35,1,5,6,0.143,0.029,0.17,1.114,-7,https://www.eliteprospects.com/player/161123/austin-strand,2025-2026,ahl
Aaron Ness,Hershey Bears,36,1,5,6,0.139,0.028,0.17,0.667,-6,https://www.eliteprospects.com/player/17497/aaron-ness,2025-2026,ahl
Jeremie Poirier,totals,36,1,5,6,0.139,0.028,0.17,0.667,-18,https://www.eliteprospects.com/player/201907/jeremie-poirier,2025-2026,ahl
David Silye,Calgary Wranglers,39,1,5,6,0.128,0.026,0.15,0.513,-8,https://www.eliteprospects.com/player/299441/david-silye,2025-2026,ahl
Eamon Powell,Charlotte Checkers,14,0,6,6,0.429,0,0.43,0.286,-4,https://www.eliteprospects.com/player/480401/eamon-powell,2025-2026,ahl
Steven Santini,Syracuse Crunch,28,0,6,6,0.214,0,0.21,0.357,8,https://www.eliteprospects.com/player/96780/steven-santini,2025-2026,ahl
Jack Malone,Utica Comets,36,0,6,6,0.167,0,0.17,0.167,0,https://www.eliteprospects.com/player/364031/jack-malone,2025-2026,ahl
Hunter McDonald,Lehigh Valley Phantoms,43,0,6,6,0.14,0,0.14,1.674,8,https://www.eliteprospects.com/player/508274/hunter-mcdonald,2025-2026,ahl
Nikolai Knyzhov,Abbotsford Canucks,45,0,6,6,0.133,0,0.13,0.2,-20,https://www.eliteprospects.com/player/308784/nikolai-knyzhov,2025-2026,ahl
Kevin Gravel,Milwaukee Admirals,49,0,6,6,0.122,0,0.12,0.49,-11,https://www.eliteprospects.com/player/35674/kevin-gravel,2025-2026,ahl
Matvei Petrov,Bakersfield Condors,23,4,1,5,0.043,0.174,0.22,0.087,0,https://www.eliteprospects.com/player/527464/matvei-petrov,2025-2026,ahl
MacKenzie Entwistle,Charlotte Checkers,30,4,1,5,0.033,0.133,0.17,1,3,https://www.eliteprospects.com/player/273678/mackenzie-entwistle,2025-2026,ahl
Dominic James,Syracuse Crunch,4,3,2,5,0.5,0.75,1.25,0,3,https://www.eliteprospects.com/player/418282/dominic-james,2025-2026,ahl
Dalibor Dvorsky,Springfield Thunderbirds,6,3,2,5,0.333,0.5,0.83,0.667,-4,https://www.eliteprospects.com/player/527424/dalibor-dvorsky,2025-2026,ahl
Liam Ohgren,Iowa Wild,9,3,2,5,0.222,0.333,0.56,0,-3,https://www.eliteprospects.com/player/535698/liam-ohgren,2025-2026,ahl
Redmond Savage,Rochester Americans,19,3,2,5,0.105,0.158,0.26,0.526,4,https://www.eliteprospects.com/player/512173/redmond-savage,2025-2026,ahl
Alexander Alexeyev,Wilkes-Barre/Scranton Penguins,25,3,2,5,0.08,0.12,0.2,0.6,5,https://www.eliteprospects.com/player/333787/alexander-alexeyev,2025-2026,ahl
Sam Bitten,totals,27,3,2,5,0.074,0.111,0.19,1.778,-7,https://www.eliteprospects.com/player/245966/sam-bitten,2025-2026,ahl
Gavin White,totals,31,3,2,5,0.065,0.097,0.16,0.323,-8,https://www.eliteprospects.com/player/413836/gavin-white,2025-2026,ahl
Zayne Parekh,Calgary Wranglers,4,2,3,5,0.75,0.5,1.25,0.5,1,https://www.eliteprospects.com/player/535574/zayne-parekh,2025-2026,ahl
Tim Rego,Ontario Reign,13,2,3,5,0.231,0.154,0.38,0.462,6,https://www.eliteprospects.com/player/393782/tim-rego,2025-2026,ahl
