PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
Taylor Makar,Colorado Eagles,39,8,6,14,0.154,0.205,0.36,1.179,8,https://www.eliteprospects.com/player/351159/taylor-makar,2025-2026,ahl
Stian Solberg,San Diego Gulls,48,8,6,14,0.125,0.167,0.29,1.5,-12,https://www.eliteprospects.com/player/619175/stian-solberg,2025-2026,ahl
Kevin Lombardi,Rockford IceHogs,24,7,7,14,0.292,0.292,0.58,1.083,-3,https://www.eliteprospects.com/player/317209/kevin-lombardi,2025-2026,ahl
Marc Johnstone,Toronto Marlies,36,7,7,14,0.194,0.194,0.39,1.056,-2,https://www.eliteprospects.com/player/293866/marc-johnstone,2025-2026,ahl
Ethan Gauthier,Syracuse Crunch,39,7,7,14,0.179,0.179,0.36,0.256,2,https://www.eliteprospects.com/player/599319/ethan-gauthier,2025-2026,ahl
Brennan Othmann,Hartford Wolf Pack,23,6,8,14,0.348,0.261,0.61,1.957,-9,https://www.eliteprospects.com/player/529248/brennan-othmann,2025-2026,ahl
Aidan Thompson,Rockford IceHogs,37,6,8,14,0.216,0.162,0.38,0.324,-8,https://www.eliteprospects.com/player/536536/aidan-thompson,2025-2026,ahl
Cameron Berg,Bridgeport Islanders,40,6,8,14,0.2,0.15,0.35,0.35,-10,https://www.eliteprospects.com/player/536648/cameron-berg,2025-2026,ahl
Ronan Seeley,Chicago Wolves,48,5,9,14,0.188,0.104,0.29,0.167,-11,https://www.eliteprospects.com/player/413245/ronan-seeley,2025-2026,ahl
Curtis McKenzie,Texas Stars,50,5,9,14,0.18,0.1,0.28,1.02,-11,https://www.eliteprospects.com/player/19277/curtis-mckenzie,2025-2026,ahl
Parker Ford,Manitoba Moose,31,4,10,14,0.323,0.129,0.45,0.452,1,https://www.eliteprospects.com/player/394933/parker-ford,2025-2026,ahl
Ivan Ivan,Colorado Eagles,45,4,10,14,0.222,0.089,0.31,0.533,1,https://www.eliteprospects.com/player/427962/ivan-ivan,2025-2026,ahl
Ryan Johnson,Rochester Americans,46,4,10,14,0.217,0.087,0.3,0.652,-6,https://www.eliteprospects.com/player/290138/ryan-johnson,2025-2026,ahl
Aleksi Heimosalmi,Chicago Wolves,39,3,11,14,0.282,0.077,0.36,0.821,4,https://www.eliteprospects.com/player/601642/aleksi-heimosalmi,2025-2026,ahl
William Lagesson,Grand Rapids Griffins,41,3,11,14,0.268,0.073,0.34,0.634,26,https://www.eliteprospects.com/player/86158/william-lagesson,2025-2026,ahl
Maveric Lamoureux,Tucson Roadrunners,42,3,11,14,0.262,0.071,0.33,1.143,4,https://www.eliteprospects.com/player/578989/maveric-lamoureux,2025-2026,ahl
Topias Vilen,Utica Comets,44,3,11,14,0.25,0.068,0.32,0.364,2,https://www.eliteprospects.com/player/557184/topias-vilen,2025-2026,ahl
Sam Rinzel,Rockford IceHogs,23,2,12,14,0.522,0.087,0.61,0.696,-8,https://www.eliteprospects.com/player/670126/sam-rinzel,2025-2026,ahl
Sean Behrens,Colorado Eagles,35,2,12,14,0.343,0.057,0.4,0.457,6,https://www.eliteprospects.com/player/464775/sean-behrens,2025-2026,ahl
Ronnie Attard,Colorado Eagles,39,2,12,14,0.308,0.051,0.36,0.821,5,https://www.eliteprospects.com/player/284030/ronnie-attard,2025-2026,ahl
Jimmy Schuldt,Abbotsford Canucks,52,2,12,14,0.231,0.038,0.27,0.731,-18,https://www.eliteprospects.com/player/196941/jimmy-schuldt,2025-2026,ahl
Finn Harding,Wilkes-Barre/Scranton Penguins,38,1,13,14,0.342,0.026,0.37,0.842,23,https://www.eliteprospects.com/player/603127/finn-harding,2025-2026,ahl
William Wallinder,Grand Rapids Griffins,50,1,13,14,0.26,0.02,0.28,0.38,14,https://www.eliteprospects.com/player/482190/william-wallinder,2025-2026,ahl
Ben Meyers,Coachella Valley Firebirds,11,9,4,13,0.364,0.818,1.18,0.182,2,https://www.eliteprospects.com/player/300838/ben-meyers,2025-2026,ahl
David Edstrom,Milwaukee Admirals,39,7,6,13,0.154,0.179,0.33,0.462,5,https://www.eliteprospects.com/player/608308/david-edstrom,2025-2026,ahl
Keean Washkurak,Belleville Senators,49,7,6,13,0.122,0.143,0.27,1.837,-11,https://www.eliteprospects.com/player/433833/keean-washkurak,2025-2026,ahl
Brad Lambert,Manitoba Moose,32,6,7,13,0.219,0.188,0.41,0.562,-7,https://www.eliteprospects.com/player/414961/brad-lambert,2025-2026,ahl
Olivier Nadeau,Rochester Americans,34,6,7,13,0.206,0.176,0.38,0.353,2,https://www.eliteprospects.com/player/483754/olivier-nadeau,2025-2026,ahl
Caedan Bankier,Iowa Wild,45,6,7,13,0.156,0.133,0.29,0.267,-10,https://www.eliteprospects.com/player/538921/caedan-bankier,2025-2026,ahl
Theo Lindstein,Springfield Thunderbirds,51,6,7,13,0.137,0.118,0.25,0.353,-23,https://www.eliteprospects.com/player/704824/theo-lindstein,2025-2026,ahl
