RANK,SEASON,TEAM,AVG_AGE,GP,W,L,OL,PTS,PTS_PCT,GF,GA,SOW,SOL,SRS,SOS,GF_GAME,GA_GAME,PP,PPO,PP_PCT,PPA,PPOA,PK_PCT,SH,SHA,PIM_GAME,OPIM_GAME,S,SHOT_PCT,SA,SAVE_PCT,SO,SHOT_PCT_EV,SAVE_PCT_EV,PDO,CF,CA,CORSI_PCT,FF,FA,FENWICK_PCT,X_GF,X_GA,A_GF,A_GA,AX_DIFF,SCF,SCA,SCF_PCT,HDF,HDA,HDF_PCT,HDGF,HDC_PCT,HDGA,HDCO_PCT
6,20222023,Colorado Avalanche,28.1,82,51,24,7,109,0.665,274,223,6,3,0.61,-0.05,3.34,2.72,64,261,24.52,52,248,79.03,6,5,8.2,9.3,2727,10,2539,0.912,6,7.6,0.931,100.8,3897,3543,52.4,2816,2644,51.6,183.8,169.8,174,145,15,1880,1678,52.8,573,561,50.5,70,10.9,47,7.7
7,20222023,Edmonton Oilers,27.9,82,50,23,9,109,0.665,325,256,0,4,0.73,-0.07,3.96,3.12,89,275,32.36,64,278,76.98,18,7,8.6,8.8,2754,11.8,2572,0.9,2,8.5,0.92,100.5,3714,3406,52.2,2788,2618,51.6,199.6,169,191,168,-8,1917,1741,52.4,639,542,54.1,70,9.9,71,11.6
8,20222023,Dallas Stars,28.4,82,47,21,14,108,0.659,281,215,4,3,0.75,-0.07,3.43,2.62,64,256,25,40,242,83.47,10,5,7.8,8.5,2617,10.7,2452,0.912,6,8.2,0.928,101,3792,3552,51.6,2731,2653,50.7,178.2,160,175,145,12,1919,1706,52.9,680,527,56.3,72,9.6,54,9.3
9,20222023,New York Rangers,27.7,82,47,22,13,107,0.652,273,216,4,3,0.7,0,3.33,2.63,59,245,24.08,42,223,81.17,8,5,7.6,9.3,2582,10.6,2405,0.91,4,8.4,0.926,101.1,3607,3630,49.8,2698,2662,50.3,175.3,176.6,180,153,28,1866,1854,50.2,612,626,49.4,72,10.5,54,7.9
10,20222023,Los Angeles Kings,28.7,82,47,25,10,104,0.634,274,254,6,3,0.27,-0.02,3.34,3.1,68,269,25.28,65,269,75.84,7,9,8.6,9.9,2658,10.3,2289,0.889,3,7.7,0.914,99.1,3731,3405,52.3,2807,2415,53.8,180.4,157.6,169,159,-13,1861,1748,51.6,550,553,49.9,61,10,59,9.6
11,20222023,Minnesota Wild,29.3,82,46,25,11,103,0.628,239,219,7,6,0.21,-0.05,2.91,2.67,54,252,21.43,46,256,82.03,14,3,11.3,11.6,2535,9.4,2552,0.914,5,7.3,0.932,100.5,3578,3641,49.6,2655,2639,50.2,163.6,165.4,144,140,6,1728,1743,49.8,574,565,50.4,69,10.7,64,10.2
12,20222023,Seattle Kraken,29,82,46,28,8,100,0.61,289,252,0,4,0.36,-0.04,3.52,3.07,48,243,19.75,55,236,76.69,6,9,8.5,9.1,2497,11.6,2215,0.886,3,9.5,0.913,100.8,3759,3344,52.9,2842,2451,53.7,172.5,149,209,160,26,1839,1701,51.9,585,588,49.9,82,12.3,87,12.9
13,20222023,Tampa Bay Lightning,29.9,82,46,30,6,98,0.598,280,252,3,2,0.37,0.02,3.41,3.07,71,280,25.36,53,261,79.69,7,11,12.1,12.3,2621,10.7,2582,0.902,6,8.2,0.923,100.5,3736,3499,51.6,2795,2637,51.5,191.5,183,175,162,5,1963,1854,51.4,706,658,51.8,80,10.2,58,8.1
14,20222023,Winnipeg Jets,28.7,82,46,33,3,95,0.579,246,224,1,1,0.23,-0.04,3,2.73,52,270,19.26,42,239,82.43,7,6,8.5,9.7,2486,9.9,2487,0.91,4,7.7,0.928,100.5,3687,3440,51.7,2754,2585,51.6,167.2,165.9,158,147,10,1863,1711,52.1,641,566,53.1,58,8.3,64,10.2
15,20222023,Calgary Flames,29.8,82,38,27,17,93,0.567,258,247,2,5,0.05,-0.05,3.15,3.01,50,252,19.84,47,270,82.59,8,6,9.2,8.3,2948,8.8,2240,0.89,1,7.5,0.909,98.4,4244,3172,57.2,3147,2389,56.8,191.9,156.7,182,169,-22,2044,1658,55.2,689,559,55.2,79,10.3,74,11.7
16,20222023,New York Islanders,29.3,82,42,31,9,93,0.567,242,217,1,5,0.25,0,2.95,2.65,35,222,15.77,39,219,82.19,6,7,8,8,2524,9.6,2544,0.915,8,8.2,0.931,101.3,3818,3842,49.8,2774,2825,49.5,183.1,180.6,176,145,29,1988,1983,50.1,705,669,51.3,71,9.1,65,8.9
17,20222023,Florida Panthers,28.7,82,42,32,8,92,0.561,288,272,2,1,0.24,0.04,3.51,3.32,63,276,22.83,70,291,75.95,6,9,12.2,11.9,3019,9.5,2603,0.896,3,8,0.922,100.2,4023,3384,54.3,3023,2625,53.5,205.6,179.4,191,159,6,2135,1783,54.5,775,658,54.1,73,8.6,59,8.2
18,20222023,Nashville Predators,28.3,82,42,32,8,92,0.561,223,236,6,2,-0.12,-0.02,2.72,2.88,44,250,17.6,48,275,82.55,6,6,9.6,8.8,2419,9.2,2729,0.914,2,7.6,0.93,100.6,3454,3875,47.1,2522,2882,46.7,165.6,186.4,146,153,14,1853,2002,48.1,581,642,47.5,67,10.3,65,9.2
19,20222023,Buffalo Sabres,26.1,82,42,33,7,91,0.555,293,297,3,3,-0.01,0.04,3.57,3.62,63,269,23.42,61,226,73.01,9,7,7.4,8.5,2665,11,2710,0.89,2,8.7,0.911,99.8,3722,3524,51.4,2818,2782,50.3,188.8,200.9,197,204,5,1971,1961,50.1,615,691,47.1,65,9.6,81,10.5
20,20222023,Pittsburgh Penguins,31,82,40,31,11,91,0.555,261,263,1,1,0.01,0.04,3.18,3.21,63,290,21.72,55,263,79.09,5,5,8.6,9.2,2818,9.3,2687,0.902,2,7.2,0.922,99.4,4030,3719,52,3006,2767,52.1,198.5,181.9,168,172,-21,2074,1834,53.1,755,625,54.7,75,9,77,11
21,20222023,Ottawa Senators,27.3,82,39,35,8,86,0.524,259,270,2,1,-0.09,0.04,3.16,3.29,72,306,23.53,59,296,80.07,9,11,12.4,12.2,2746,9.4,2572,0.895,3,7.1,0.914,98.5,3751,3527,51.5,2801,2580,52.1,171.4,166.4,151,177,-31,1900,1772,51.7,680,611,52.7,68,9.1,76,11.1
22,20222023,Vancouver Canucks,27.3,82,38,37,7,83,0.506,270,296,6,2,-0.3,-0.04,3.29,3.61,62,273,22.71,69,243,71.6,15,14,9,10,2438,11.1,2527,0.883,1,8.5,0.911,99.6,3302,3635,47.6,2470,2728,47.5,167.7,177.8,169,192,-13,1730,1846,48.4,559,633,46.9,79,12.4,74,10.5
23,20222023,St. Louis Blues,29.3,82,37,38,7,81,0.494,260,298,3,3,-0.47,-0.01,3.17,3.63,46,238,19.33,60,217,72.35,7,14,7.8,7.6,2341,11.1,2652,0.888,4,8.8,0.917,100.5,3326,3893,46.1,2527,2922,46.4,170.8,196.1,180,188,17,1716,2058,45.5,488,690,41.4,67,12.1,91,11.7
24,20222023,Washington Capitals,30.9,82,35,37,10,80,0.488,253,261,2,4,-0.1,0.02,3.09,3.18,52,245,21.22,41,226,81.86,4,8,8.7,9.1,2549,9.9,2548,0.898,5,8,0.916,99.6,3787,3814,49.8,2776,2827,49.5,178.6,177.5,174,182,-9,1874,1920,49.4,651,596,52.2,68,9.5,65,9.8
25,20222023,Detroit Red Wings,27.3,82,35,37,10,80,0.488,237,275,3,4,-0.44,0.04,2.89,3.35,57,270,21.11,54,249,78.31,5,12,8.1,8.5,2312,10.3,2496,0.89,4,7.9,0.913,99.1,3164,3705,46.1,2361,2704,46.6,150,158.3,146,183,-29,1502,1803,45.4,491,585,45.6,51,9.4,73,11.1
26,20222023,Philadelphia Flyers,26.8,82,31,38,13,75,0.457,220,276,2,1,-0.62,0.05,2.68,3.37,35,225,15.56,59,233,74.68,11,9,10.4,9.7,2416,9.1,2585,0.893,3,7.3,0.92,99.3,3554,3940,47.4,2679,2823,48.7,166.3,173.8,152,174,-15,1741,1984,46.7,593,643,48,65,9.9,74,10.3
27,20222023,Arizona Coyotes,26.4,82,28,40,14,70,0.427,225,295,3,4,-0.85,0.01,2.74,3.6,45,238,18.91,81,319,74.61,5,6,11.9,9,2119,10.6,2874,0.897,4,8.4,0.92,100.4,3097,3788,45,2313,2870,44.6,149.6,189.7,151,180,11,1571,1940,44.7,531,624,46,60,10.2,72,10.3
28,20222023,Montreal Canadiens,27.3,82,31,45,6,68,0.415,227,305,5,2,-0.85,0.06,2.77,3.72,38,236,16.1,75,275,72.73,8,3,11.6,9.3,2237,10.1,2753,0.889,1,8.6,0.911,99.7,3261,3924,45.4,2359,2839,45.4,151.3,194,162,200,5,1601,2039,44,518,718,41.9,66,11.3,90,11.1
29,20222023,San Jose Sharks,29.4,82,22,44,16,60,0.366,233,315,1,6,-1.05,0.01,2.84,3.84,41,223,18.39,43,244,82.38,4,13,8,7.6,2415,9.6,2640,0.881,4,8.2,0.902,98.3,3622,3824,48.6,2659,2834,48.4,175.2,184.4,168,220,-43,1922,2009,48.9,666,656,50.4,70,9.5,94,12.5
30,20222023,Chicago Blackhawks,28.7,82,26,49,7,59,0.36,202,299,2,2,-1.16,0.02,2.46,3.65,38,232,16.38,55,231,76.19,7,10,8.6,8.9,2210,9.1,2758,0.892,2,7.4,0.914,98.7,3168,4045,43.9,2380,3017,44.1,149.7,204.1,135,208,-19,1553,2112,42.4,486,682,41.6,61,11.2,80,10.5
31,20222023,Columbus Blue Jackets,26.7,82,25,48,9,59,0.36,213,329,1,1,-1.34,0.07,2.6,4.01,41,224,18.3,59,237,75.11,5,9,8,7.3,2399,8.9,2904,0.887,0,7.2,0.909,98.1,3525,4316,45,2579,3212,44.5,159.8,205.3,143,231,-43,1745,2092,45.5,576,703,45,52,8.3,90,11.3
32,20222023,Anaheim Ducks,28.2,82,23,47,12,58,0.354,206,335,3,3,-1.54,0.03,2.51,4.09,36,229,15.72,78,280,72.14,1,7,11.3,9.3,2326,8.9,3207,0.896,1,7.5,0.918,99.3,3233,4349,42.6,2421,3392,41.6,150,233.7,143,224,3,1539,2185,41.3,505,743,40.5,53,9.5,80,9.7
