,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Sultan Al-Brake,DF,qa Qatar,30-084,1.qa Al Duhail SC,1996,2,1,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Joshua Brenet,DF,cw Curaçao,32-102,1.tr Kayserispor,1994,2,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Brian Brobbey,FW,nl Netherlands,24-149,1.eng Sunderland,2002,4,3,223,2.5,3,0,3,3,0,0,0,0,1.21,0,1.21,1.21,1.21,Matches
154,Dylan Bronn,DF,tn Tunisia,31-011,1.ch Servette FC,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Nathaniel Brown,DF,de Germany,23-014,1.de Frankfurt,2003,3,3,282,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches
156,Tajon Buchanan,MF,ca Canada,27-142,1.es Villarreal,1999,4,4,290,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Ante Budimir,FW,hr Croatia,34-343,1.es Osasuna,1991,2,1,110,1.2,1,0,1,1,0,0,0,0,0.82,0,0.82,0.82,0.82,Matches
158,Firas Al-Buraikan,FW,sa Saudi Arabia,26-047,1.sa Al-Ahli,2000,3,3,238,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
159,Cameron Burgess,DF,au Australia,30-252,2.eng Swansea City,1995,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Dženis Burni?,MF,ba Bosnia–Herz,28-039,2.de Karlsruher,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
161,Gustavo Caballero,"FW,MF",py Paraguay,24-282,2.eng Portsmouth,2001,1,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Jovane Cabral,FW,cv Cabo Verde,28-016,1.pt Estrela,1998,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Liberato Cacace,DF,nz New Zealand,25-276,2.eng Wrexham,2000,3,3,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
164,Juan Cáceres,DF,py Paraguay,26-029,1.ru Dynamo Moskva,2000,4,4,346,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
165,Sebastián Cáceres,DF,uy Uruguay,26-316,1.mx América,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Jordy Caicedo,FW,ec Ecuador,28-224,1.ar Huracán,1997,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Moisés Caicedo,MF,ec Ecuador,24-240,1.eng Chelsea,2001,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,U?urcan Çak?r,GK,tr Türkiye,30-086,1.tr Galatasaray,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
169,Hakan Çalhano?lu,MF,tr Türkiye,32-142,1.it Inter,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Lamine Camara,MF,sn Senegal,22-180,1.fr Monaco,2004,3,3,193,2.1,0,1,1,0,0,0,0,0,0,0.47,0.47,0,0.47,Matches
171,Jaminton Campaz,"FW,MF",co Colombia,26-037,1.ar Rosario Central,2000,1,0,19,0.2,1,0,1,1,0,0,0,0,4.74,0,4.74,4.74,4.74,Matches
172,?rfan Can Kahveci,MF,tr Türkiye,30-350,1.tr Kas?mpa?a,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,José Canale,DF,py Paraguay,29-345,1.ar Lanús,1996,3,1,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,João Cancelo,DF,pt Portugal,32-034,1.es Barcelona,1994,3,3,180,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
175,Agustín Canobbio,FW,uy Uruguay,27-272,1.br Fluminense,1998,3,2,224,2.5,1,0,1,1,0,0,0,1,0.4,0,0.4,0.4,0.4,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Casemiro,MF,br Brazil,34-127,1.eng Manchester Utd,1992,4,4,289,3.2,1,0,1,1,0,0,2,0,0.31,0,0.31,0.31,0.31,Matches
177,Josué Casimir,MF,ht Haiti,24-279,1.fr Auxerre,2001,3,2,182,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
178,Timothy Castagne,DF,be Belgium,30-207,1.eng Fulham,1995,3,2,178,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
179,Kevin Castaño,MF,co Colombia,25-274,1.ar River Plate,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Jens Castrop,MF,kr Korea Republic,22-336,1.de Gladbach,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Zeki Çelik,DF,tr Türkiye,29-133,1.it Roma,1997,2,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Lukáš ?erv,MF,cz Czechia,25-081,1.cz Viktoria Plze?,2001,2,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Fares Chaïbi,MF,dz Algeria,23-214,1.de Frankfurt,2002,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
184,Št?pán Chaloupek,DF,cz Czechia,23-114,1.cz Slavia Prague,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
185,Mouhib Chamakh,GK,tn Tunisia,24-309,1.tn Club Africain,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Firas Chaouat,FW,tn Tunisia,30-053,1.tn Club Africain,1996,3,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Luis Chávez,MF,mx Mexico,30-166,1.ru Dynamo Moskva,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
188,Mateo Chávez,DF,mx Mexico,22-049,1.nl AZ Alkmaar,2004,1,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0,1.17,1.17,1.17,Matches
189,Samir Chergui,DF,dz Algeria,27-144,1.fr Paris FC,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
190,Rayan Cherki,"FW,MF",fr France,22-317,1.eng Manchester City,2003,3,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Mathieu Choinière,MF,ca Canada,27-143,1.us LAFC,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Tahith Chong,MF,cw Curaçao,26-208,2.eng Sheffield United,1999,3,3,247,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Tomáš Chorý,FW,cz Czechia,31-155,1.cz Slavia Prague,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
194,Ryan Christie,MF,sct Scotland,31-128,1.eng Bournemouth,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
195,Carney Chukwuemeka,MF,at Austria,22-253,1.de Dortmund,2003,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Mojmír Chytil,FW,cz Czechia,27-062,1.cz Slavia Prague,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Brian Cipenga,MF,cd Congo DR,28-111,2.es Castellón,1998,1,1,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Alessandro Circati,DF,au Australia,22-263,1.it Parma,2003,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
199,Pathé Ciss,"DF,MF",sn Senegal,32-106,1.es Rayo Vallecano,1994,3,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
200,Livano Comenencia,MF,cw Curaçao,22-147,1.ch Zürich,2004,3,3,233,2.6,1,0,1,1,0,0,1,0,0.39,0,0.39,0.39,0.39,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Francisco Conceição,MF,pt Portugal,23-198,1.it Juventus,2002,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
202,Jhon Córdoba,FW,co Colombia,33-050,1.ru Krasnodar,1993,2,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,José Córdoba,DF,pa Panama,25-116,2.eng Norwich City,2001,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Derek Cornelius,DF,ca Canada,28-217,1.fr Marseille,1997,4,4,315,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
205,Diogo Costa,GK,pt Portugal,26-284,1.pt Porto,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Nuno da Costa,"FW,MF",cv Cabo Verde,35-140,1.tr Ba?ak?ehir,1991,3,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,Samu Costa,MF,pt Portugal,25-215,1.es Mallorca,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Vladimír Coufal,"MF,DF",cz Czechia,33-312,1.de Hoffenheim,1992,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
209,Thibaut Courtois,GK,be Belgium,34-050,1.es Real Madrid,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Maxime Crépeau,GK,ca Canada,32-050,1.us Orlando City,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
211,Max Crocombe,GK,nz New Zealand,32-322,2.eng Millwall,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Pau Cubarsí,DF,es Spain,19-159,1.es Barcelona,2007,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
213,Andrés Cubas,MF,py Paraguay,30-039,1.us Vancouver,1996,4,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
214,Cucho,"FW,MF",co Colombia,27-071,1.es Real Betis,1999,1,0,11,0.1,0,1,1,0,0,0,0,0,0,8.18,8.18,0,8.18,Matches
215,Marc Cucurella,DF,es Spain,27-343,1.eng Chelsea,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
216,Matheus Cunha,FW,br Brazil,27-034,1.eng Manchester Utd,1999,4,3,233,2.6,3,0,3,3,0,0,0,0,1.16,0,1.16,1.16,1.16,Matches
217,Findlay Curtis,MF,sct Scotland,19-272,1.sct Kilmarnock,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
218,Aymen Dahmen,GK,tn Tunisia,29-153,1.tn Ahly Sfaxien,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
219,Diogo Dalot,"DF,MF",pt Portugal,27-104,1.eng Manchester Utd,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Danilo,DF,br Brazil,34-350,1.br Flamengo,1991,4,3,315,3.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
221,Kevin Danso,DF,at Austria,27-284,1.eng Tottenham,1998,3,1,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
222,Vladimír Darida,MF,cz Czechia,35-326,1.cz Hradec Králové,1990,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
223,Jonathan David,FW,ca Canada,26-167,1.it Juventus,2000,4,4,330,3.7,3,0,3,3,0,0,0,0,0.82,0,0.82,0.82,0.82,Matches
224,Promise David,FW,ca Canada,24-362,1.be Union SG,2001,3,0,67,0.7,1,1,2,1,0,0,0,0,1.34,1.34,2.69,1.34,2.69,Matches
225,Alphonso Davies,"DF,FW",ca Canada,25-240,1.de Bayern Munich,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Erick Davis,DF,pa Panama,35-091,1.pa Plaza Amador,1991,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
227,Nasser Al-Dawsari,MF,sa Saudi Arabia,27-193,1.sa Al-Hilal,1998,3,2,207,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
228,Salem Al-Dawsari,MF,sa Saudi Arabia,34-315,1.sa Al-Hilal,1991,3,3,245,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
229,Mohammad Al-Dawud,"FW,MF",jo Jordan,34-079,1.jo Al-Wehdat SC,1992,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
230,Kevin De Bruyne,MF,be Belgium,35-002,1.it Napoli,1991,3,3,242,2.7,1,0,1,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
231,Maxim De Cuyper,DF,be Belgium,25-190,1.eng Brighton,2000,3,2,215,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
232,Luc De Fougerolles,DF,ca Canada,20-261,1.eng Fulham,2005,4,3,282,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
233,Charles De Ketelaere,FW,be Belgium,25-112,1.it Atalanta,2001,2,2,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Nicolás De La Cruz,MF,uy Uruguay,29-029,1.br Flamengo,1997,3,0,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
235,Rodrigo De Paul,MF,ar Argentina,32-037,1.us Inter Miami,1994,2,2,171,1.9,0,1,1,0,0,0,0,0,0,0.53,0.53,0,0.53,Matches
236,Amar Dedi?,DF,ba Bosnia–Herz,23-316,1.pt Benfica,2002,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
237,Louicius Deedson,MF,ht Haiti,25-139,1.us FC Dallas,2001,3,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
238,Hannes Delcroix,DF,ht Haiti,27-122,1.ch Lugano,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
239,Ousmane Dembélé,MF,fr France,29-046,1.fr PSG,1997,3,3,210,2.3,4,1,5,4,0,0,0,0,1.71,0.43,2.14,1.71,2.14,Matches
240,Merih Demiral,DF,tr Türkiye,28-117,1.sa Al-Ahli,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Ermedin Demirovi?,FW,ba Bosnia–Herz,28-097,1.de Stuttgart,1998,3,3,264,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
242,Sergiño Dest,MF,us United States,25-239,1.nl PSV,2000,3,2,165,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Frans Dhia Putros,DF,iq Iraq,32-351,1.id Persib Bandung,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Oumar Diakité,FW,ci Côte d'Ivoire,22-192,1.be Cercle Brugge,2003,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Amad Diallo,"MF,FW",ci Côte d'Ivoire,23-354,1.eng Manchester Utd,2002,3,2,154,1.7,1,0,1,1,0,0,0,0,0.58,0,0.58,0.58,0.58,Matches
246,Assane Diao,MF,sn Senegal,20-296,1.it Como,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Habib Diarra,MF,sn Senegal,22-178,1.eng Sunderland,2004,2,1,71,0.8,1,0,1,1,0,0,0,0,1.27,0,1.27,1.27,1.27,Matches
248,Rúben Dias,DF,pt Portugal,29-047,1.eng Manchester City,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
249,Krépin Diatta,DF,sn Senegal,27-125,1.fr Monaco,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
250,Mory Diaw,GK,sn Senegal,33-008,1.fr Le Havre,1993,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Brahim Díaz,MF,ma Morocco,26-331,1.es Real Madrid,1999,4,4,294,3.3,0,2,2,0,0,0,0,0,0,0.61,0.61,0,0.61,Matches
252,Ismael Díaz,"FW,MF",pa Panama,29-049,1.mx León,1997,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
253,Luis Díaz,FW,co Colombia,29-168,1.de Bayern Munich,1997,3,3,269,3,1,1,2,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,Matches
254,Bamba Dieng,FW,sn Senegal,26-099,1.fr Lorient,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Lucas Digne,DF,fr France,32-345,1.eng Aston Villa,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
256,Diney,DF,cv Cabo Verde,31-164,1.ae Al Bataeh,1995,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
257,Ousmane Diomande,DF,ci Côte d'Ivoire,22-208,1.pt Sporting CP,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
258,Yan Diomandé,"MF,FW",ci Côte d'Ivoire,19-228,1.de RB Leipzig,2006,3,3,240,2.7,0,1,1,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
259,Issa Diop,DF,ma Morocco,29-172,1.eng Fulham,1997,3,3,300,3.3,1,0,1,1,0,0,2,0,0.3,0,0.3,0.3,0.3,Matches
260,El Hadji Malick Diouf,DF,sn Senegal,21-184,1.eng West Ham,2004,2,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Ritsu Doan,MF,jp Japan,28-014,1.de Frankfurt,1998,4,4,278,3.1,0,1,1,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
262,Jeremy Doku,MF,be Belgium,24-034,1.eng Manchester City,2002,2,2,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
263,Merchas Doski,DF,iq Iraq,26-205,1.cz Viktoria Plze?,1999,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
264,David Doud?ra,MF,cz Czechia,28-030,1.cz Slavia Prague,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Désiré Doué,MF,fr France,21-027,1.fr PSG,2005,3,2,199,2.2,1,0,1,1,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
266,Guéla Doué,DF,ci Côte d'Ivoire,23-256,1.fr Strasbourg,2002,3,2,187,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
267,Deroy Duarte,MF,cv Cabo Verde,26-361,1.bg Ludogorets,1999,3,1,165,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
268,Laros Duarte,MF,cv Cabo Verde,29-122,1.hu Puskás Akad.,1997,3,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
269,Denzel Dumfries,"DF,MF",nl Netherlands,30-073,1.it Inter,1996,4,4,390,4.3,0,2,2,0,0,0,0,0,0,0.46,0.46,0,0.46,Matches
270,Jean-Kevin Duverne,DF,ht Haiti,28-353,1.be Gent,1997,2,2,169,1.9,0,1,1,0,0,0,0,0,0,0.53,0.53,0,0.53,Matches
271,Lyndon Dykes,"FW,MF",sct Scotland,30-266,2.eng Charlton Athletic,1995,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
272,Edin Džeko,FW,ba Bosnia–Herz,40-105,2.de Schalke 04,1986,2,2,126,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
273,Roshon van Eijma,DF,cw Curaçao,28-021,2.nl RKC Waalwijk,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Anthony Elanga,FW,se Sweden,24-064,1.eng Newcastle,2002,3,1,127,1.4,2,0,2,2,0,0,0,0,1.42,0,1.42,1.42,1.42,Matches
275,Meschak Elia,"FW,MF",cd Congo DR,28-328,1.tr Alanyaspor,1997,1,0,19,0.2,0,1,1,0,0,0,0,0,0,4.74,4.74,0,4.74,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Callan Elliot,DF,nz New Zealand,26-358,1.au Auckland FC,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
277,Eren Elmal?,DF,tr Türkiye,25-358,1.tr Galatasaray,2000,2,1,111,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
278,Nico Elvedi,DF,ch Switzerland,29-273,1.de Gladbach,1996,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
279,Breel Embolo,FW,ch Switzerland,29-136,1.fr Rennes,1997,3,3,262,2.9,1,2,3,0,1,1,0,0,0.34,0.69,1.03,0,0.69,Matches
280,Julio Enciso,FW,py Paraguay,22-158,1.fr Strasbourg,2004,4,4,326,3.6,1,2,3,1,0,0,0,0,0.28,0.55,0.83,0.28,0.83,Matches
281,Endrick,FW,br Brazil,19-344,1.fr Lyon,2006,3,0,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
282,Sherzod Esanov,MF,uz Uzbekistan,23-149,1.uz FK Bukhara Nurafshon,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
283,Fidel Escobar,DF,pa Panama,31-172,1.cr Saprissa,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Pervis Estupiñán,MF,ec Ecuador,28-160,1.it Milan,1998,2,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
285,Derrick Etienne,"FW,MF",ht Haiti,29-217,1.us Toronto FC,1996,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
286,Stephen Eustáquio,MF,ca Canada,29-191,1.pt Porto,1996,4,3,302,3.4,1,0,1,1,0,0,0,0,0.3,0,0.3,0.3,0.3,Matches
287,Martin Expérience,"DF,MF",ht Haiti,27-113,2.fr Nancy,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
288,Saeid Ezatolahi,MF,ir IR Iran,29-272,1.ae Al-Ahli Dubai FC,1996,3,3,264,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
289,Eberechi Eze,"FW,MF",eng England,28-001,1.eng Arsenal,1998,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Fabinho,"DF,MF",br Brazil,32-250,1.sa Al-Ittihad,1993,3,0,71,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
291,José Fajardo,FW,pa Panama,32-316,1.ec Univ Católica,1993,3,1,155,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
292,Odeh Al-Fakhouri,"MF,FW",jo Jordan,20-220,1.eg Pyramids FC,2005,3,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
293,Henrik Falchener,DF,no Norway,23-053,1.no Viking,2003,1,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
294,Marko Farji,MF,iq Iraq,22-106,2.it Venezia,2004,2,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
295,Christian Fassnacht,"FW,MF",ch Switzerland,32-231,1.ch Young Boys,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,Abdul Fatawu Issahaku,"FW,MF",gh Ghana,22-114,2.eng Leicester City,2004,3,0,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
297,Ahmed Fathy,MF,qa Qatar,33-156,1.qa Al-Arabi,1993,3,1,150,1.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
298,Hamdy Fathy,DF,eg Egypt,31-274,1.qa Al-Wakrah,1994,2,2,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Ahmed Fatouh,DF,eg Egypt,28-100,1.eg Zamalek SC,1998,3,3,267,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
300,Abbosbek Fayzullayev,MF,uz Uzbekistan,22-270,1.tr Ba?ak?ehir,2003,3,3,220,2.4,1,0,1,1,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,João Félix,MF,pt Portugal,26-232,1.sa Al-Nassr,1999,2,2,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
302,Lewis Ferguson,MF,sct Scotland,26-310,1.it Bologna,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
303,Bruno Fernandes,MF,pt Portugal,31-295,1.eng Manchester Utd,1994,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
304,Enzo Fernández,MF,ar Argentina,25-164,1.eng Chelsea,2001,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
305,Matias Fernandez-Pardo,"FW,MF",be Belgium,21-147,1.fr Lille,2005,3,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
306,Álvaro Fidalgo,MF,mx Mexico,29-082,1.es Real Betis,1997,2,1,84,0.9,1,0,1,1,0,0,0,0,1.07,0,1.07,1.07,1.07,Matches
307,Sherel Floranus,DF,cw Curaçao,27-311,1.nl Zwolle,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
308,Seko Fofana,MF,ci Côte d'Ivoire,31-054,1.pt Porto,1995,2,1,92,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
309,Yahia Fofana,GK,ci Côte d'Ivoire,25-313,1.tr Rizespor,2000,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
310,Deveron Fonville,DF,cw Curaçao,23-045,1.nl NEC Nijmegen,2003,3,3,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Yassin Fortuné,"FW,MF",ht Haiti,27-151,2.pt Vizela,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
312,Lyle Foster,FW,za South Africa,25-300,1.eng Burnley,2000,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
313,Alan Franco,DF,ec Ecuador,27-313,1.br Atlético Mineiro,1998,3,3,206,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
314,Alex Freeman,DF,us United States,21-325,1.es Villarreal,2004,3,2,194,2.2,1,1,2,1,0,0,0,0,0.46,0.46,0.93,0.46,0.93,Matches
