,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
37,Ahmed Alaaeldin,FW,qa Qatar,33-150,1.qa Al Rayyan SC,1993,2,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,David Alaba,DF,at Austria,34-006,1.es Real Madrid,1992,3,3,185,2.1,0,1,1,0,0,0,0,0,0,0.49,0.49,0,0.49,Matches
39,Kerim Alajbegovi?,MF,ba Bosnia–Herz,18-282,1.at RB Salzburg,2007,3,2,187,2.1,1,0,1,1,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches
40,Jordy Alcivar,MF,ec Ecuador,26-329,1.ec Independiente,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
41,Omar Alderete,DF,py Paraguay,29-186,1.eng Sunderland,1996,3,3,263,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Almoez Ali,FW,qa Qatar,29-315,1.qa Al Duhail SC,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Hussein Ali,DF,iq Iraq,24-121,1.pl Pogo? Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Mohanad Ali,FW,iq Iraq,26-010,1.ae Dibba Al Fujairah,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Taha Ali,"FW,MF",se Sweden,27-364,1.se Malmö,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29-072,1.uz Pakhtakor Tashkent FK,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
