Name,Pos,Team,GP,G,A,PTS,+/-,PIM,PPG,PPA,SHG,SHA,Pt/G,FOW,FO,WF%,PIMPG,SH,SH%,BLK,Hits,H/GP,TOI,TOI/GP
Clara Van Wieren,F,TOR,18,0,2,2,0,10,0,0,0,0,0.11,51,112,45.5,0.56,10,0,13,9,0.5,193:21:00,10:44
Nicole Vallario,D,NY,2,1,0,1,1,0,0,0,0,0,0.5,0,0,0,0,1,100,5,1,0.5,20:43,10:21
Maya Labad,F,MTL,4,1,0,1,1,4,0,0,0,0,0.25,0,0,0,1,1,100,0,0,0,25:06:00,6:16
Lauren Messier,F,TOR,4,1,0,1,1,0,0,0,0,0,0.25,0,0,0,0,2,50,1,4,1,19:40,4:55
Jade Downie-Landry,F,MTL,10,1,0,1,1,0,0,0,0,0,0.1,10,19,52.6,0,16,6.3,1,8,0.8,116:10:00,11:37
Katie Chan,F,VAN,13,1,0,1,-3,4,0,0,0,0,0.08,1,5,20,0.31,5,20,8,3,0.23,119:10:00,9:10
Daniela Pejšová,LD,BOS,13,1,0,1,0,2,0,0,0,0,0.08,0,0,0,0.15,13,7.7,7,15,1.15,169:36:00,13:02
Emma Gentry,F,TOR,16,1,0,1,-4,10,0,0,0,0,0.06,44,119,37,0.63,18,5.6,16,13,0.81,183:21:00,11:27
Nina Jobst-Smith,D,VAN,7,0,1,1,1,0,0,0,0,0,0.14,0,0,0,0,13,0,6,4,0.57,93:27:00,13:21
Samantha Isbell,D,OTT,8,0,1,1,-3,0,0,0,0,0,0.13,0,0,0,0,3,0,6,5,0.63,92:38:00,11:34
Zoe Boyd,LD,BOS,12,0,1,1,2,4,0,1,0,0,0.08,0,0,0,0.33,15,0,16,24,2,207:30:00,17:17
Darcie Lappan,F,VAN,12,0,1,1,0,0,0,0,0,0,0.08,20,73,27.4,0,4,0,1,13,1.08,100:28:00,8:22
Rylind MacKinnon,LD,BOS,13,0,1,1,3,0,0,0,0,0,0.08,0,0,0,0,5,0,4,20,1.54,124:48:00,9:36
Laura Kluge,LW,BOS,14,0,1,1,0,8,0,0,0,0,0.07,1,8,12.5,0.57,6,0,7,9,0.64,135:52:00,9:42
Brooke Becker,D,MIN,15,0,1,1,-1,8,0,0,0,0,0.07,0,0,0,0.53,14,0,10,9,0.6,195:07:00,13:00
Hannah Brandt,C,BOS,15,0,1,1,-2,2,0,0,0,0,0.07,84,160,52.5,0.13,13,0,4,3,0.2,169:47:00,11:19
Brooke Bryant,F,SEA,15,0,1,1,-1,0,0,0,0,0,0.07,2,6,33.3,0,7,0,5,2,0.13,114:26:00,7:37
Alexandra Labelle,F,MTL,15,0,1,1,1,2,0,0,0,0,0.07,46,80,57.5,0.13,11,0,13,9,0.6,156:44:00,10:26
Peyton Anderson,F,MIN,16,0,1,1,-2,6,0,0,0,0,0.06,0,0,0,0.38,17,0,1,5,0.31,123:44:00,7:44
Natalie Buchbinder,D,MIN,16,0,1,1,9,4,0,0,0,0,0.06,0,0,0,0.25,6,0,11,1,0.06,273:38:00,17:06
Claire Butorac,F,MIN,16,0,1,1,-2,0,0,0,0,0,0.06,1,10,10,0,6,0,6,5,0.31,155:49:00,9:44
Emmy Fecteau,F,NY,16,0,1,1,-2,6,0,0,0,0,0.06,4,9,44.4,0.38,11,0,0,17,1.06,115:35:00,7:13
Sydney Bard,D,VAN,17,0,1,1,-2,0,0,0,0,0,0.06,0,0,0,0,12,0,17,18,1.06,245:59:00,14:28
Brooke McQuigge,F,OTT,17,0,1,1,-5,4,0,0,0,0,0.06,4,6,66.7,0.24,10,0,3,23,1.35,52:03:00,10:38
